# results from simulated data from project "project.tab"
# date: 2024-05-28T06:20:04-03:00
tree	terms	rootAge	lambda	ml-lambda
cretaceous-avg-0	56	78.532	24.351854	49.218750
cretaceous-avg-1	72	87.448	57.091346	58.496094
cretaceous-avg-10	67	127.570	51.240853	66.308594
cretaceous-avg-11	54	73.214	75.019387	90.722656
cretaceous-avg-12	75	132.693	14.066012	16.503906
cretaceous-avg-13	82	67.452	37.717312	39.453125
cretaceous-avg-14	62	84.134	20.458935	21.875000
cretaceous-avg-15	65	125.221	66.133924	83.398438
cretaceous-avg-16	62	113.641	80.856472	97.070312
cretaceous-avg-17	74	72.025	82.350788	89.746094
cretaceous-avg-18	99	139.096	14.309715	12.109375
cretaceous-avg-19	90	78.649	60.791954	70.214844
cretaceous-avg-2	84	127.592	87.797383	137.109375
cretaceous-avg-20	90	142.651	71.288325	57.519531
cretaceous-avg-21	83	132.548	82.905789	79.980469
cretaceous-avg-22	60	123.016	70.207821	87.304688
cretaceous-avg-23	86	71.018	12.808305	17.968750
cretaceous-avg-24	73	103.168	68.287704	88.769531
cretaceous-avg-25	83	74.928	50.869835	83.886719
cretaceous-avg-26	75	124.064	48.054605	54.101562
cretaceous-avg-27	81	139.626	32.991197	42.871094
cretaceous-avg-28	88	101.287	54.586177	73.632812
cretaceous-avg-29	66	136.036	27.138410	31.152344
cretaceous-avg-3	57	128.682	43.816200	47.265625
cretaceous-avg-30	78	73.759	42.452866	43.847656
cretaceous-avg-31	85	95.717	83.021605	123.925781
cretaceous-avg-32	51	127.016	39.745464	49.707031
cretaceous-avg-33	69	129.699	38.585930	47.753906
cretaceous-avg-34	83	141.902	87.467105	117.089844
cretaceous-avg-35	72	136.487	28.530978	31.640625
cretaceous-avg-36	62	76.135	95.517038	124.414062
cretaceous-avg-37	56	104.385	89.442673	98.535156
cretaceous-avg-38	67	101.894	80.118389	110.253906
cretaceous-avg-39	53	113.197	98.476945	107.812500
cretaceous-avg-4	61	122.505	77.587056	79.980469
cretaceous-avg-40	53	102.335	41.265900	40.429688
cretaceous-avg-41	83	69.153	55.710210	126.855469
cretaceous-avg-42	74	132.424	69.076511	77.050781
cretaceous-avg-43	50	106.878	25.250883	23.828125
cretaceous-avg-44	59	71.285	31.104182	29.687500
cretaceous-avg-45	98	86.447	30.170928	33.105469
cretaceous-avg-46	60	111.147	42.138381	38.476562
cretaceous-avg-47	78	72.504	79.014575	116.601562
cretaceous-avg-48	71	120.615	61.181088	77.539062
cretaceous-avg-49	60	120.879	66.016022	79.492188
cretaceous-avg-5	61	116.992	79.473790	93.652344
cretaceous-avg-6	62	143.694	25.244563	21.875000
cretaceous-avg-7	50	93.198	84.019918	179.589844
cretaceous-avg-8	69	90.464	93.244858	114.160156
cretaceous-avg-9	73	75.118	91.498295	128.808594
