# simulated lambda of project "project.tab"
# date: 2024-05-27T21:33:48-03:00
tree	lambda
cretaceous-avg-0	24.351854
cretaceous-avg-1	57.091346
cretaceous-avg-10	51.240853
cretaceous-avg-11	75.019387
cretaceous-avg-12	14.066012
cretaceous-avg-13	37.717312
cretaceous-avg-14	20.458935
cretaceous-avg-15	66.133924
cretaceous-avg-16	80.856472
cretaceous-avg-17	82.350788
cretaceous-avg-18	14.309715
cretaceous-avg-19	60.791954
cretaceous-avg-2	87.797383
cretaceous-avg-20	71.288325
cretaceous-avg-21	82.905789
cretaceous-avg-22	70.207821
cretaceous-avg-23	12.808305
cretaceous-avg-24	68.287704
cretaceous-avg-25	50.869835
cretaceous-avg-26	48.054605
cretaceous-avg-27	32.991197
cretaceous-avg-28	54.586177
cretaceous-avg-29	27.138410
cretaceous-avg-3	43.816200
cretaceous-avg-30	42.452866
cretaceous-avg-31	83.021605
cretaceous-avg-32	39.745464
cretaceous-avg-33	38.585930
cretaceous-avg-34	87.467105
cretaceous-avg-35	28.530978
cretaceous-avg-36	95.517038
cretaceous-avg-37	89.442673
cretaceous-avg-38	80.118389
cretaceous-avg-39	98.476945
cretaceous-avg-4	77.587056
cretaceous-avg-40	41.265900
cretaceous-avg-41	55.710210
cretaceous-avg-42	69.076511
cretaceous-avg-43	25.250883
cretaceous-avg-44	31.104182
cretaceous-avg-45	30.170928
cretaceous-avg-46	42.138381
cretaceous-avg-47	79.014575
cretaceous-avg-48	61.181088
cretaceous-avg-49	66.016022
cretaceous-avg-5	79.473790
cretaceous-avg-6	25.244563
cretaceous-avg-7	84.019918
cretaceous-avg-8	93.244858
cretaceous-avg-9	91.498295
