# results from simulated data from project "project.tab"
# date: 2024-05-28T03:58:50-03:00
tree	terms	rootAge	lambda	ml-lambda
cretaceous-slow-0	71	136.518	486.061347	1135.644531
cretaceous-slow-1	55	133.938	954.538774	1574.121094
cretaceous-slow-10	69	98.982	553.077295	1545.800781
cretaceous-slow-11	59	86.806	998.112917	9774.316406
cretaceous-slow-12	59	122.997	838.559595	2043.847656
cretaceous-slow-13	75	127.222	940.433851	2383.203125
cretaceous-slow-14	86	83.170	462.081796	905.175781
cretaceous-slow-15	84	76.118	318.656664	1438.378906
cretaceous-slow-16	72	72.150	953.988510	2284.082031
cretaceous-slow-17	72	77.504	655.264563	1216.210938
cretaceous-slow-18	50	127.496	754.951487	2403.710938
cretaceous-slow-19	66	118.190	961.599462	5738.183594
cretaceous-slow-2	75	134.412	110.484438	148.339844
cretaceous-slow-20	76	108.151	505.374364	1140.039062
cretaceous-slow-21	99	111.639	125.621479	268.945312
cretaceous-slow-22	60	144.601	682.819503	3332.910156
cretaceous-slow-23	51	122.739	856.010428	6935.937500
cretaceous-slow-24	72	88.973	942.238290	3970.117188
cretaceous-slow-25	56	140.074	365.422547	542.871094
cretaceous-slow-26	62	133.175	966.610257	1911.523438
cretaceous-slow-27	95	90.802	539.431779	1401.757812
cretaceous-slow-28	81	100.060	997.421455	2243.066406
cretaceous-slow-29	67	104.480	481.860043	1829.980469
cretaceous-slow-3	74	142.713	814.219131	5237.695312
cretaceous-slow-30	70	78.083	220.047984	482.324219
cretaceous-slow-31	62	88.794	955.989793	932.031250
cretaceous-slow-32	78	144.781	754.440880	1777.246094
cretaceous-slow-33	58	111.504	586.914606	964.257812
cretaceous-slow-34	54	122.184	848.176021	4138.085938
cretaceous-slow-35	95	78.747	672.164023	2246.972656
cretaceous-slow-36	58	118.706	212.064428	259.179688
cretaceous-slow-37	53	92.545	918.384605	1950.097656
cretaceous-slow-38	62	123.038	801.758017	2220.605469
cretaceous-slow-39	71	141.982	758.286290	1030.664062
cretaceous-slow-4	54	73.996	960.465043	7176.660156
cretaceous-slow-40	77	75.916	327.288145	1031.152344
cretaceous-slow-41	74	91.365	545.140486	1123.437500
cretaceous-slow-42	64	141.339	579.076793	1097.558594
cretaceous-slow-43	64	70.551	627.660759	2082.421875
cretaceous-slow-44	64	84.709	131.870932	223.535156
cretaceous-slow-45	90	135.553	253.088686	465.722656
cretaceous-slow-46	62	113.222	426.155110	379.785156
cretaceous-slow-47	50	116.980	881.055152	2765.039062
cretaceous-slow-48	60	85.386	490.954807	1002.832031
cretaceous-slow-49	80	77.170	624.981426	1362.207031
cretaceous-slow-5	93	79.419	248.422430	691.308594
cretaceous-slow-6	59	70.014	965.391652	8004.296875
cretaceous-slow-7	88	132.008	699.337001	2433.496094
cretaceous-slow-8	99	98.341	673.285457	2655.175781
cretaceous-slow-9	67	134.190	718.311110	6356.835938
