# simulated lambda of project "project.tab"
# date: 2024-05-27T21:30:18-03:00
tree	lambda
cretaceous-slow-0	486.061347
cretaceous-slow-1	954.538774
cretaceous-slow-10	553.077295
cretaceous-slow-11	998.112917
cretaceous-slow-12	838.559595
cretaceous-slow-13	940.433851
cretaceous-slow-14	462.081796
cretaceous-slow-15	318.656664
cretaceous-slow-16	953.988510
cretaceous-slow-17	655.264563
cretaceous-slow-18	754.951487
cretaceous-slow-19	961.599462
cretaceous-slow-2	110.484438
cretaceous-slow-20	505.374364
cretaceous-slow-21	125.621479
cretaceous-slow-22	682.819503
cretaceous-slow-23	856.010428
cretaceous-slow-24	942.238290
cretaceous-slow-25	365.422547
cretaceous-slow-26	966.610257
cretaceous-slow-27	539.431779
cretaceous-slow-28	997.421455
cretaceous-slow-29	481.860043
cretaceous-slow-3	814.219131
cretaceous-slow-30	220.047984
cretaceous-slow-31	955.989793
cretaceous-slow-32	754.440880
cretaceous-slow-33	586.914606
cretaceous-slow-34	848.176021
cretaceous-slow-35	672.164023
cretaceous-slow-36	212.064428
cretaceous-slow-37	918.384605
cretaceous-slow-38	801.758017
cretaceous-slow-39	758.286290
cretaceous-slow-4	960.465043
cretaceous-slow-40	327.288145
cretaceous-slow-41	545.140486
cretaceous-slow-42	579.076793
cretaceous-slow-43	627.660759
cretaceous-slow-44	131.870932
cretaceous-slow-45	253.088686
cretaceous-slow-46	426.155110
cretaceous-slow-47	881.055152
cretaceous-slow-48	490.954807
cretaceous-slow-49	624.981426
cretaceous-slow-5	248.422430
cretaceous-slow-6	965.391652
cretaceous-slow-7	699.337001
cretaceous-slow-8	673.285457
cretaceous-slow-9	718.311110
