# simulated lambda of project "project.tab"
# date: 2024-05-27T21:48:16-03:00
tree	lambda
jurassic-avg-0	74.720202
jurassic-avg-1	85.096264
jurassic-avg-10	11.400127
jurassic-avg-11	10.548149
jurassic-avg-12	15.672297
jurassic-avg-13	80.960291
jurassic-avg-14	69.395449
jurassic-avg-15	94.694910
jurassic-avg-16	57.709147
jurassic-avg-17	78.510341
jurassic-avg-18	94.820151
jurassic-avg-19	75.360908
jurassic-avg-2	28.745710
jurassic-avg-20	38.232828
jurassic-avg-21	61.004819
jurassic-avg-22	18.795928
jurassic-avg-23	42.407594
jurassic-avg-24	81.131802
jurassic-avg-25	86.808060
jurassic-avg-26	71.546139
jurassic-avg-27	47.160482
jurassic-avg-28	11.268589
jurassic-avg-29	55.492129
jurassic-avg-3	24.188539
jurassic-avg-30	95.959148
jurassic-avg-31	45.347051
jurassic-avg-32	20.525742
jurassic-avg-33	28.225771
jurassic-avg-34	26.916470
jurassic-avg-35	60.008713
jurassic-avg-36	38.251644
jurassic-avg-37	82.547510
jurassic-avg-38	92.818447
jurassic-avg-39	27.726077
jurassic-avg-4	89.562271
jurassic-avg-40	42.137193
jurassic-avg-41	51.989517
jurassic-avg-42	90.704310
jurassic-avg-43	68.691188
jurassic-avg-44	51.378861
jurassic-avg-45	24.486578
jurassic-avg-46	79.026098
jurassic-avg-47	94.591306
jurassic-avg-48	63.483040
jurassic-avg-49	94.505306
jurassic-avg-5	86.228224
jurassic-avg-6	82.752466
jurassic-avg-7	16.422573
jurassic-avg-8	53.805428
jurassic-avg-9	30.685519
