# results from simulated data from project "project.tab"
# date: 2024-05-27T23:26:10-03:00
tree	terms	rootAge	lambda	ml-lambda
neogene-avg-0	60	7.765	60.200359	139.062500
neogene-avg-1	70	9.615	27.324837	68.750000
neogene-avg-10	60	6.122	33.634352	50.195312
neogene-avg-11	59	5.151	88.111338	2294.335938
neogene-avg-12	50	12.586	59.081984	430.566406
neogene-avg-13	90	19.077	39.840249	67.773438
neogene-avg-14	73	14.249	65.084932	108.300781
neogene-avg-15	91	19.605	42.550906	56.542969
neogene-avg-16	64	7.869	42.095552	77.050781
neogene-avg-17	54	9.301	10.471979	10.156250
neogene-avg-18	95	10.526	97.459506	157.617188
neogene-avg-19	58	13.639	98.825463	216.699219
neogene-avg-2	53	14.670	86.973604	202.050781
neogene-avg-20	55	11.868	14.633475	30.664062
neogene-avg-21	85	9.597	49.690956	126.855469
neogene-avg-22	67	18.298	57.854530	136.132812
neogene-avg-23	80	11.936	63.685163	204.980469
neogene-avg-24	52	10.867	63.074670	364.160156
neogene-avg-25	51	8.241	26.554588	70.214844
neogene-avg-26	100	13.346	69.923662	266.015625
neogene-avg-27	80	20.646	30.989863	43.359375
neogene-avg-28	81	13.285	39.534754	80.957031
neogene-avg-29	51	6.027	26.164953	54.101562
neogene-avg-3	67	16.954	76.783528	161.035156
neogene-avg-30	53	6.346	44.488880	79.003906
neogene-avg-31	77	18.266	13.923256	20.898438
neogene-avg-32	99	8.501	68.524424	247.949219
neogene-avg-33	51	16.129	27.316054	44.824219
neogene-avg-34	71	19.764	47.631066	94.140625
neogene-avg-35	59	19.413	63.562188	187.890625
neogene-avg-36	64	21.500	98.598751	165.917969
neogene-avg-37	86	5.566	44.978227	160.546875
neogene-avg-38	58	5.896	12.988589	20.410156
neogene-avg-39	78	9.851	19.459195	59.960938
neogene-avg-4	58	6.007	23.780434	37.011719
neogene-avg-40	80	6.532	82.051853	475.000000
neogene-avg-41	60	18.258	58.371217	90.722656
neogene-avg-42	61	8.451	22.420440	30.664062
neogene-avg-43	84	19.185	78.416992	191.308594
neogene-avg-44	58	7.868	81.937053	831.933594
neogene-avg-45	99	6.292	87.223509	299.218750
neogene-avg-46	56	16.730	80.075210	148.828125
neogene-avg-47	60	20.285	27.909911	70.703125
neogene-avg-48	75	18.467	56.284523	66.796875
neogene-avg-49	92	20.047	46.520804	100.000000
neogene-avg-5	50	21.673	11.435710	13.085938
neogene-avg-6	74	9.335	77.679035	268.457031
neogene-avg-7	73	15.816	10.463460	15.527344
neogene-avg-8	86	12.985	68.397170	182.031250
neogene-avg-9	76	7.423	92.731660	647.363281
