# simulated lambda of project "project.tab"
# date: 2024-05-27T21:20:40-03:00
tree	lambda
neogene-fast-0	3.861081
neogene-fast-1	1.370549
neogene-fast-10	2.954091
neogene-fast-11	9.617091
neogene-fast-12	3.004379
neogene-fast-13	7.007068
neogene-fast-14	8.255347
neogene-fast-15	6.501773
neogene-fast-16	5.928787
neogene-fast-17	5.366613
neogene-fast-18	1.742840
neogene-fast-19	1.027133
neogene-fast-2	9.330789
neogene-fast-20	7.758092
neogene-fast-21	3.604394
neogene-fast-22	4.520189
neogene-fast-23	2.548738
neogene-fast-24	1.419387
neogene-fast-25	2.925351
neogene-fast-26	4.155185
neogene-fast-27	5.933742
neogene-fast-28	2.035907
neogene-fast-29	9.328022
neogene-fast-3	9.413537
neogene-fast-30	3.014206
neogene-fast-31	4.404672
neogene-fast-32	3.404583
neogene-fast-33	7.610825
neogene-fast-34	7.942275
neogene-fast-35	5.612938
neogene-fast-36	9.602450
neogene-fast-37	9.130334
neogene-fast-38	9.620076
neogene-fast-39	1.825711
neogene-fast-4	2.590708
neogene-fast-40	9.991892
neogene-fast-41	5.252732
neogene-fast-42	7.833068
neogene-fast-43	8.870109
neogene-fast-44	3.111643
neogene-fast-45	2.660722
neogene-fast-46	8.663919
neogene-fast-47	4.063383
neogene-fast-48	7.596283
neogene-fast-49	4.952266
neogene-fast-5	4.937314
neogene-fast-6	1.296944
neogene-fast-7	7.595193
neogene-fast-8	3.173620
neogene-fast-9	2.771436
