# results from simulated data from project "project.tab"
# date: 2024-05-27T22:14:09-03:00
tree	terms	rootAge	lambda	ml-lambda
neogene-slow-0	78	22.334	264.883733	1256.738281
neogene-slow-1	77	10.345	946.329179	3997.460938
neogene-slow-10	81	10.225	811.945937	6661.523438
neogene-slow-11	65	18.976	842.777786	23850.000000
neogene-slow-12	93	9.753	287.915011	1775.292969
neogene-slow-13	70	9.874	995.990424	7609.765625
neogene-slow-14	70	10.921	142.130145	344.140625
neogene-slow-15	93	17.638	603.969541	4714.746094
neogene-slow-16	50	17.598	360.875596	1083.886719
neogene-slow-17	65	11.371	318.251907	1394.433594
neogene-slow-18	77	21.264	659.886606	9856.347656
neogene-slow-19	98	20.227	896.065493	10248.437500
neogene-slow-2	61	8.770	835.030270	5516.992188
neogene-slow-20	62	8.952	185.784328	1245.019531
neogene-slow-21	99	6.006	668.834419	23850.000000
neogene-slow-22	66	13.382	613.797565	1696.679688
neogene-slow-23	75	11.437	763.373345	23850.000000
neogene-slow-24	85	15.770	372.705192	3854.394531
neogene-slow-25	65	18.650	674.020735	2082.910156
neogene-slow-26	72	9.596	428.015702	1539.453125
neogene-slow-27	66	7.224	419.919341	1070.703125
neogene-slow-28	66	22.667	385.718462	2281.640625
neogene-slow-29	62	10.473	597.884644	4510.156250
neogene-slow-3	60	16.184	107.125322	424.707031
neogene-slow-30	78	6.512	651.735380	13845.605469
neogene-slow-31	91	5.499	703.615657	23850.000000
neogene-slow-32	100	16.315	733.251104	23850.000000
neogene-slow-33	69	18.974	729.907102	6402.734375
neogene-slow-34	95	8.045	752.807667	4724.511719
neogene-slow-35	89	15.458	528.454586	5177.636719
neogene-slow-36	88	21.301	483.517231	1745.019531
neogene-slow-37	83	9.289	599.238751	5343.164062
neogene-slow-38	55	17.001	814.540139	10439.843750
neogene-slow-39	62	17.236	460.261043	3546.289062
neogene-slow-4	86	9.209	262.141639	2325.097656
neogene-slow-40	74	18.049	820.200254	6002.343750
neogene-slow-41	51	6.497	847.841505	5852.441406
neogene-slow-42	83	22.543	833.569818	4914.453125
neogene-slow-43	89	5.536	204.323398	1299.707031
neogene-slow-44	63	10.119	463.328876	2468.164062
neogene-slow-45	59	22.610	478.362015	2122.949219
neogene-slow-46	96	13.897	580.506458	4620.996094
neogene-slow-47	58	7.768	591.642493	23850.000000
neogene-slow-48	55	12.269	753.678378	10556.054688
neogene-slow-49	92	19.289	569.090090	2743.066406
neogene-slow-5	74	22.638	199.807451	520.410156
neogene-slow-6	66	21.304	512.570596	3866.601562
neogene-slow-7	93	19.800	217.749853	369.042969
neogene-slow-8	53	16.751	397.556566	1850.488281
neogene-slow-9	52	15.662	899.001881	5606.347656
