# time calibrated phylogenetic trees
# data saved on: 2024-05-27T21:18:28-03:00
tree	node	parent	age	taxon
neogene-slow-0	0	-1	22333806	
neogene-slow-0	1	0	19467470	
neogene-slow-0	2	1	18506545	
neogene-slow-0	3	2	4093660	
neogene-slow-0	4	3	0	Term77
neogene-slow-0	5	3	519181	
neogene-slow-0	6	5	0	Term75
neogene-slow-0	7	5	0	Term76
neogene-slow-0	8	2	12061987	
neogene-slow-0	9	8	2761091	
neogene-slow-0	10	9	0	Term63
neogene-slow-0	11	9	2388411	
neogene-slow-0	12	11	0	Term64
neogene-slow-0	13	11	0	Term65
neogene-slow-0	14	8	8758536	
neogene-slow-0	15	14	3925341	
neogene-slow-0	16	15	0	Term73
neogene-slow-0	17	15	0	Term74
neogene-slow-0	18	14	5675929	
neogene-slow-0	19	18	1812695	
neogene-slow-0	20	19	0	Term66
neogene-slow-0	21	19	264951	
neogene-slow-0	22	21	0	Term67
neogene-slow-0	23	21	0	Term68
neogene-slow-0	24	18	2633030	
neogene-slow-0	25	24	0	Term69
neogene-slow-0	26	24	569914	
neogene-slow-0	27	26	0	Term70
neogene-slow-0	28	26	238527	
neogene-slow-0	29	28	0	Term71
neogene-slow-0	30	28	0	Term72
neogene-slow-0	31	1	18337792	
neogene-slow-0	32	31	9123688	
neogene-slow-0	33	32	4671464	
neogene-slow-0	34	33	0	Term46
neogene-slow-0	35	33	0	Term47
neogene-slow-0	36	32	5857965	
neogene-slow-0	37	36	1485012	
neogene-slow-0	38	37	0	Term44
neogene-slow-0	39	37	0	Term45
neogene-slow-0	40	36	4014858	
neogene-slow-0	41	40	0	Term43
neogene-slow-0	42	40	3297364	
neogene-slow-0	43	42	0	Term41
neogene-slow-0	44	42	0	Term42
neogene-slow-0	45	31	14114702	
neogene-slow-0	46	45	8918774	
neogene-slow-0	47	46	0	Term56
neogene-slow-0	48	46	5721181	
neogene-slow-0	49	48	3300091	
neogene-slow-0	50	49	0	Term57
neogene-slow-0	51	49	0	Term58
neogene-slow-0	52	48	2994673	
neogene-slow-0	53	52	269154	
neogene-slow-0	54	53	0	Term61
neogene-slow-0	55	53	0	Term62
neogene-slow-0	56	52	33086	
neogene-slow-0	57	56	0	Term59
neogene-slow-0	58	56	0	Term60
neogene-slow-0	59	45	10262864	
neogene-slow-0	60	59	7079309	
neogene-slow-0	61	60	0	Term55
neogene-slow-0	62	60	5570838	
neogene-slow-0	63	62	0	Term53
neogene-slow-0	64	62	0	Term54
neogene-slow-0	65	59	3980283	
neogene-slow-0	66	65	0	Term48
neogene-slow-0	67	65	1400331	
neogene-slow-0	68	67	1184885	
neogene-slow-0	69	68	0	Term49
neogene-slow-0	70	68	0	Term50
neogene-slow-0	71	67	64945	
neogene-slow-0	72	71	0	Term51
neogene-slow-0	73	71	0	Term52
neogene-slow-0	74	0	18873937	
neogene-slow-0	75	74	13188049	
neogene-slow-0	76	75	829677	
neogene-slow-0	77	76	0	Term6
neogene-slow-0	78	76	0	Term7
neogene-slow-0	79	75	13173767	
neogene-slow-0	80	79	0	Term5
neogene-slow-0	81	79	10954284	
neogene-slow-0	82	81	0	Term0
neogene-slow-0	83	81	10039564	
neogene-slow-0	84	83	0	Term4
neogene-slow-0	85	83	3840730	
neogene-slow-0	86	85	0	Term3
neogene-slow-0	87	85	1845605	
neogene-slow-0	88	87	0	Term1
neogene-slow-0	89	87	0	Term2
neogene-slow-0	90	74	18122236	
neogene-slow-0	91	90	13638403	
neogene-slow-0	92	91	0	Term40
neogene-slow-0	93	91	11452675	
neogene-slow-0	94	93	0	Term37
neogene-slow-0	95	93	1577327	
neogene-slow-0	96	95	0	Term38
neogene-slow-0	97	95	0	Term39
neogene-slow-0	98	90	16327424	
neogene-slow-0	99	98	10248982	
neogene-slow-0	100	99	0	Term36
neogene-slow-0	101	99	6355209	
neogene-slow-0	102	101	2714421	
neogene-slow-0	103	102	0	Term35
neogene-slow-0	104	102	72860	
neogene-slow-0	105	104	0	Term33
neogene-slow-0	106	104	0	Term34
neogene-slow-0	107	101	6329060	
neogene-slow-0	108	107	3112019	
neogene-slow-0	109	108	0	Term25
neogene-slow-0	110	108	0	Term26
neogene-slow-0	111	107	5425825	
neogene-slow-0	112	111	3592316	
neogene-slow-0	113	112	0	Term27
neogene-slow-0	114	112	0	Term28
neogene-slow-0	115	111	5338628	
neogene-slow-0	116	115	4892994	
neogene-slow-0	117	116	0	Term29
neogene-slow-0	118	116	0	Term30
neogene-slow-0	119	115	1860678	
neogene-slow-0	120	119	0	Term31
neogene-slow-0	121	119	0	Term32
neogene-slow-0	122	98	16004402	
neogene-slow-0	123	122	7790772	
neogene-slow-0	124	123	154731	
neogene-slow-0	125	124	0	Term8
neogene-slow-0	126	124	0	Term9
neogene-slow-0	127	123	6446665	
neogene-slow-0	128	127	6195130	
neogene-slow-0	129	128	0	Term15
neogene-slow-0	130	128	5436893	
neogene-slow-0	131	130	0	Term13
neogene-slow-0	132	130	0	Term14
neogene-slow-0	133	127	2317647	
neogene-slow-0	134	133	0	Term10
neogene-slow-0	135	133	592647	
neogene-slow-0	136	135	0	Term11
neogene-slow-0	137	135	0	Term12
neogene-slow-0	138	122	14306149	
neogene-slow-0	139	138	9279027	
neogene-slow-0	140	139	0	Term18
neogene-slow-0	141	139	1370738	
neogene-slow-0	142	141	0	Term16
neogene-slow-0	143	141	0	Term17
neogene-slow-0	144	138	12760506	
neogene-slow-0	145	144	0	Term19
neogene-slow-0	146	144	8859874	
neogene-slow-0	147	146	0	Term24
neogene-slow-0	148	146	2081602	
neogene-slow-0	149	148	0	Term20
neogene-slow-0	150	148	1872012	
neogene-slow-0	151	150	0	Term21
neogene-slow-0	152	150	1449796	
neogene-slow-0	153	152	0	Term22
neogene-slow-0	154	152	0	Term23
neogene-slow-1	0	-1	10344965	
neogene-slow-1	1	0	9769513	
neogene-slow-1	2	1	7201218	
neogene-slow-1	3	2	0	Term76
neogene-slow-1	4	2	783390	
neogene-slow-1	5	4	0	Term74
neogene-slow-1	6	4	0	Term75
neogene-slow-1	7	1	8314542	
neogene-slow-1	8	7	2842455	
neogene-slow-1	9	8	0	Term72
neogene-slow-1	10	8	0	Term73
neogene-slow-1	11	7	3258858	
neogene-slow-1	12	11	0	Term68
neogene-slow-1	13	11	2863442	
neogene-slow-1	14	13	0	Term69
neogene-slow-1	15	13	554430	
neogene-slow-1	16	15	0	Term70
neogene-slow-1	17	15	0	Term71
neogene-slow-1	18	0	9676613	
neogene-slow-1	19	18	6655268	
neogene-slow-1	20	19	6216282	
neogene-slow-1	21	20	4144582	
