# results from simulated data from project "project.tab"
# date: 2024-05-30T03:22:32-03:00
tree	terms	rootAge	lambda	ml-lambda
cretaceous-avg-0	56	78.532	24.351854	98.535156
cretaceous-avg-1	72	87.448	57.091346	105.859375
cretaceous-avg-10	67	127.570	51.240853	115.136719
cretaceous-avg-11	54	73.214	75.019387	110.742188
cretaceous-avg-12	75	132.693	14.066012	44.824219
cretaceous-avg-13	82	67.452	37.717312	66.308594
cretaceous-avg-14	62	84.134	20.458935	47.265625
cretaceous-avg-15	65	125.221	66.133924	185.937500
cretaceous-avg-16	62	113.641	80.856472	132.226562
cretaceous-avg-17	74	72.025	82.350788	143.457031
cretaceous-avg-18	99	139.096	14.309715	26.269531
cretaceous-avg-19	90	78.649	60.791954	128.320312
cretaceous-avg-2	84	127.592	87.797383	267.968750
cretaceous-avg-20	90	142.651	71.288325	104.882812
cretaceous-avg-21	83	132.548	82.905789	140.527344
cretaceous-avg-22	60	123.016	70.207821	171.289062
cretaceous-avg-23	86	71.018	12.808305	42.871094
cretaceous-avg-24	73	103.168	68.287704	165.917969
cretaceous-avg-25	83	74.928	50.869835	128.320312
cretaceous-avg-26	75	124.064	48.054605	100.976562
cretaceous-avg-27	81	139.626	32.991197	80.957031
cretaceous-avg-28	88	101.287	54.586177	126.367188
cretaceous-avg-29	66	136.036	27.138410	65.820312
cretaceous-avg-3	57	128.682	43.816200	63.378906
cretaceous-avg-30	78	73.759	42.452866	96.582031
cretaceous-avg-31	85	95.717	83.021605	246.972656
cretaceous-avg-32	51	127.016	39.745464	66.796875
cretaceous-avg-33	69	129.699	38.585930	129.296875
cretaceous-avg-34	83	141.902	87.467105	202.050781
cretaceous-avg-35	72	136.487	28.530978	48.730469
cretaceous-avg-36	62	76.135	95.517038	224.511719
cretaceous-avg-37	56	104.385	89.442673	174.707031
cretaceous-avg-38	67	101.894	80.118389	170.800781
cretaceous-avg-39	53	113.197	98.476945	225.488281
cretaceous-avg-4	61	122.505	77.587056	68.750000
cretaceous-avg-40	53	102.335	41.265900	69.238281
cretaceous-avg-41	83	69.153	55.710210	169.824219
cretaceous-avg-42	74	132.424	69.076511	119.531250
cretaceous-avg-43	50	106.878	25.250883	56.054688
cretaceous-avg-44	59	71.285	31.104182	42.871094
cretaceous-avg-45	98	86.447	30.170928	63.378906
cretaceous-avg-46	60	111.147	42.138381	101.953125
cretaceous-avg-47	78	72.504	79.014575	180.566406
cretaceous-avg-48	71	120.615	61.181088	132.226562
cretaceous-avg-49	60	120.879	66.016022	93.652344
cretaceous-avg-5	61	116.992	79.473790	161.523438
cretaceous-avg-6	62	143.694	25.244563	53.125000
cretaceous-avg-7	50	93.198	84.019918	340.722656
cretaceous-avg-8	69	90.464	93.244858	202.050781
cretaceous-avg-9	73	75.118	91.498295	198.632812
