# results from simulated data from project "project.tab"
# date: 2024-05-30T01:15:26-03:00
tree	terms	rootAge	lambda	ml-lambda
cretaceous-slow-0	71	136.518	486.061347	1016.503906
cretaceous-slow-1	55	133.938	954.538774	1887.597656
cretaceous-slow-10	69	98.982	553.077295	1852.929688
cretaceous-slow-11	59	86.806	998.112917	7454.492188
cretaceous-slow-12	59	122.997	838.559595	2704.980469
cretaceous-slow-13	75	127.222	940.433851	1915.429688
cretaceous-slow-14	86	83.170	462.081796	1087.304688
cretaceous-slow-15	84	76.118	318.656664	1714.746094
cretaceous-slow-16	72	72.150	953.988510	2266.503906
cretaceous-slow-17	72	77.504	655.264563	1165.917969
cretaceous-slow-18	50	127.496	754.951487	1781.640625
cretaceous-slow-19	66	118.190	961.599462	3309.472656
cretaceous-slow-2	75	134.412	110.484438	275.292969
cretaceous-slow-20	76	108.151	505.374364	1404.687500
cretaceous-slow-21	99	111.639	125.621479	618.066406
cretaceous-slow-22	60	144.601	682.819503	2947.167969
cretaceous-slow-23	51	122.739	856.010428	3137.109375
cretaceous-slow-24	72	88.973	942.238290	11992.089844
cretaceous-slow-25	56	140.074	365.422547	659.082031
cretaceous-slow-26	62	133.175	966.610257	1653.710938
cretaceous-slow-27	95	90.802	539.431779	1557.519531
cretaceous-slow-28	81	100.060	997.421455	4566.796875
cretaceous-slow-29	67	104.480	481.860043	1803.613281
cretaceous-slow-3	74	142.713	814.219131	2662.988281
cretaceous-slow-30	70	78.083	220.047984	777.734375
cretaceous-slow-31	62	88.794	955.989793	1329.003906
cretaceous-slow-32	78	144.781	754.440880	1892.968750
cretaceous-slow-33	58	111.504	586.914606	1269.921875
cretaceous-slow-34	54	122.184	848.176021	7095.605469
cretaceous-slow-35	95	78.747	672.164023	1568.750000
cretaceous-slow-36	58	118.706	212.064428	517.480469
cretaceous-slow-37	53	92.545	918.384605	2164.453125
cretaceous-slow-38	62	123.038	801.758017	2002.343750
cretaceous-slow-39	71	141.982	758.286290	1020.410156
cretaceous-slow-4	54	73.996	960.465043	6699.609375
cretaceous-slow-40	77	75.916	327.288145	1045.800781
cretaceous-slow-41	74	91.365	545.140486	1181.542969
cretaceous-slow-42	64	141.339	579.076793	1143.945312
cretaceous-slow-43	64	70.551	627.660759	2529.199219
cretaceous-slow-44	64	84.709	131.870932	370.019531
cretaceous-slow-45	90	135.553	253.088686	640.039062
cretaceous-slow-46	62	113.222	426.155110	782.128906
cretaceous-slow-47	50	116.980	881.055152	1592.675781
cretaceous-slow-48	60	85.386	490.954807	1141.015625
cretaceous-slow-49	80	77.170	624.981426	1940.332031
cretaceous-slow-5	93	79.419	248.422430	951.562500
cretaceous-slow-6	59	70.014	965.391652	7457.910156
cretaceous-slow-7	88	132.008	699.337001	2552.148438
cretaceous-slow-8	99	98.341	673.285457	2654.687500
cretaceous-slow-9	67	134.190	718.311110	4655.664062
