# time calibrated phylogenetic trees
# data saved on: 2024-05-27T21:30:18-03:00
tree	node	parent	age	taxon
cretaceous-slow-0	0	-1	136517518	
cretaceous-slow-0	1	0	119882431	
cretaceous-slow-0	2	1	65494478	
cretaceous-slow-0	3	2	0	Term8
cretaceous-slow-0	4	2	46040918	
cretaceous-slow-0	5	4	0	Term9
cretaceous-slow-0	6	4	13935909	
cretaceous-slow-0	7	6	12405458	
cretaceous-slow-0	8	7	0	Term10
cretaceous-slow-0	9	7	0	Term11
cretaceous-slow-0	10	6	6597564	
cretaceous-slow-0	11	10	0	Term12
cretaceous-slow-0	12	10	0	Term13
cretaceous-slow-0	13	1	107119214	
cretaceous-slow-0	14	13	12627068	
cretaceous-slow-0	15	14	0	Term7
cretaceous-slow-0	16	14	4771297	
cretaceous-slow-0	17	16	0	Term5
cretaceous-slow-0	18	16	0	Term6
cretaceous-slow-0	19	13	104541294	
cretaceous-slow-0	20	19	0	Term0
cretaceous-slow-0	21	19	29625117	
cretaceous-slow-0	22	21	0	Term1
cretaceous-slow-0	23	21	8658724	
cretaceous-slow-0	24	23	0	Term4
cretaceous-slow-0	25	23	6633809	
cretaceous-slow-0	26	25	0	Term2
cretaceous-slow-0	27	25	0	Term3
cretaceous-slow-0	28	0	123958461	
cretaceous-slow-0	29	28	88007651	
cretaceous-slow-0	30	29	33501482	
cretaceous-slow-0	31	30	23609095	
cretaceous-slow-0	32	31	0	Term67
cretaceous-slow-0	33	31	0	Term68
cretaceous-slow-0	34	30	4862813	
cretaceous-slow-0	35	34	0	Term69
cretaceous-slow-0	36	34	0	Term70
cretaceous-slow-0	37	29	47109835	
cretaceous-slow-0	38	37	36070425	
cretaceous-slow-0	39	38	0	Term54
cretaceous-slow-0	40	38	0	Term55
cretaceous-slow-0	41	37	46604012	
cretaceous-slow-0	42	41	0	Term66
cretaceous-slow-0	43	41	38469075	
cretaceous-slow-0	44	43	32447075	
cretaceous-slow-0	45	44	0	Term61
cretaceous-slow-0	46	44	20477525	
cretaceous-slow-0	47	46	0	Term62
cretaceous-slow-0	48	46	19344971	
cretaceous-slow-0	49	48	0	Term63
cretaceous-slow-0	50	48	17926318	
cretaceous-slow-0	51	50	0	Term64
cretaceous-slow-0	52	50	0	Term65
cretaceous-slow-0	53	43	17256739	
cretaceous-slow-0	54	53	0	Term60
cretaceous-slow-0	55	53	14314936	
cretaceous-slow-0	56	55	0	Term59
cretaceous-slow-0	57	55	8208205	
cretaceous-slow-0	58	57	0	Term58
cretaceous-slow-0	59	57	87666	
cretaceous-slow-0	60	59	0	Term56
cretaceous-slow-0	61	59	0	Term57
cretaceous-slow-0	62	28	77172475	
cretaceous-slow-0	63	62	70995295	
cretaceous-slow-0	64	63	28406791	
cretaceous-slow-0	65	64	0	Term17
cretaceous-slow-0	66	64	4916333	
cretaceous-slow-0	67	66	0	Term14
cretaceous-slow-0	68	66	943875	
cretaceous-slow-0	69	68	0	Term15
cretaceous-slow-0	70	68	0	Term16
cretaceous-slow-0	71	63	70600015	
cretaceous-slow-0	72	71	24284291	
cretaceous-slow-0	73	72	21496692	
cretaceous-slow-0	74	73	0	Term25
cretaceous-slow-0	75	73	0	Term26
cretaceous-slow-0	76	72	17339425	
cretaceous-slow-0	77	76	0	Term23
cretaceous-slow-0	78	76	0	Term24
cretaceous-slow-0	79	71	62638049	
cretaceous-slow-0	80	79	0	Term18
cretaceous-slow-0	81	79	17375697	
cretaceous-slow-0	82	81	0	Term22
cretaceous-slow-0	83	81	12566802	
cretaceous-slow-0	84	83	0	Term19
cretaceous-slow-0	85	83	11090474	
cretaceous-slow-0	86	85	0	Term20
cretaceous-slow-0	87	85	0	Term21
cretaceous-slow-0	88	62	67167008	
cretaceous-slow-0	89	88	51575662	
cretaceous-slow-0	90	89	23721483	
cretaceous-slow-0	91	90	0	Term34
cretaceous-slow-0	92	90	12852561	
cretaceous-slow-0	93	92	0	Term37
cretaceous-slow-0	94	92	5647468	
cretaceous-slow-0	95	94	0	Term35
cretaceous-slow-0	96	94	0	Term36
cretaceous-slow-0	97	89	28874246	
cretaceous-slow-0	98	97	0	Term33
cretaceous-slow-0	99	97	26322095	
cretaceous-slow-0	100	99	0	Term27
cretaceous-slow-0	101	99	24602736	
cretaceous-slow-0	102	101	0	Term32
cretaceous-slow-0	103	101	22977038	
cretaceous-slow-0	104	103	0	Term31
cretaceous-slow-0	105	103	12241380	
cretaceous-slow-0	106	105	0	Term28
cretaceous-slow-0	107	105	5425163	
cretaceous-slow-0	108	107	0	Term29
cretaceous-slow-0	109	107	0	Term30
cretaceous-slow-0	110	88	64180161	
cretaceous-slow-0	111	110	17914577	
cretaceous-slow-0	112	111	0	Term52
cretaceous-slow-0	113	111	0	Term53
cretaceous-slow-0	114	110	50054347	
cretaceous-slow-0	115	114	0	Term38
cretaceous-slow-0	116	114	35984966	
cretaceous-slow-0	117	116	17581078	
cretaceous-slow-0	118	117	0	Term41
cretaceous-slow-0	119	117	11430000	
cretaceous-slow-0	120	119	0	Term39
cretaceous-slow-0	121	119	0	Term40
cretaceous-slow-0	122	116	35591135	
cretaceous-slow-0	123	122	11969008	
cretaceous-slow-0	124	123	0	Term44
cretaceous-slow-0	125	123	8329197	
cretaceous-slow-0	126	125	0	Term42
cretaceous-slow-0	127	125	0	Term43
cretaceous-slow-0	128	122	23742009	
cretaceous-slow-0	129	128	0	Term51
cretaceous-slow-0	130	128	22107642	
cretaceous-slow-0	131	130	19766683	
cretaceous-slow-0	132	131	0	Term49
cretaceous-slow-0	133	131	0	Term50
cretaceous-slow-0	134	130	9269853	
cretaceous-slow-0	135	134	0	Term45
cretaceous-slow-0	136	134	8282037	
cretaceous-slow-0	137	136	0	Term48
cretaceous-slow-0	138	136	5313665	
cretaceous-slow-0	139	138	0	Term46
cretaceous-slow-0	140	138	0	Term47
cretaceous-slow-1	0	-1	133937982	
cretaceous-slow-1	1	0	103001503	
cretaceous-slow-1	2	1	58934065	
cretaceous-slow-1	3	2	0	Term0
cretaceous-slow-1	4	2	29239772	
cretaceous-slow-1	5	4	0	Term1
cretaceous-slow-1	6	4	25532913	
cretaceous-slow-1	7	6	0	Term2
cretaceous-slow-1	8	6	0	Term3
cretaceous-slow-1	9	1	89828218	
cretaceous-slow-1	10	9	0	Term4
cretaceous-slow-1	11	9	86402615	
cretaceous-slow-1	12	11	26542280	
cretaceous-slow-1	13	12	0	Term15
cretaceous-slow-1	14	12	0	Term16
cretaceous-slow-1	15	11	77718331	
cretaceous-slow-1	16	15	77633128	
cretaceous-slow-1	17	16	0	Term14
cretaceous-slow-1	18	16	15262826	
cretaceous-slow-1	19	18	0	Term13
cretaceous-slow-1	20	18	3791236	
cretaceous-slow-1	21	20	0	Term12
cretaceous-slow-1	22	20	2272951	
cretaceous-slow-1	23	22	0	Term10
cretaceous-slow-1	24	22	0	Term11
cretaceous-slow-1	25	15	65355364	
cretaceous-slow-1	26	25	0	Term5
cretaceous-slow-1	27	25	52195273	
cretaceous-slow-1	28	27	0	Term9
cretaceous-slow-1	29	27	47256139	
cretaceous-slow-1	30	29	0	Term6
cretaceous-slow-1	31	29	22974687	
cretaceous-slow-1	32	31	0	Term7
cretaceous-slow-1	33	31	0	Term8
cretaceous-slow-1	34	0	101379395	
cretaceous-slow-1	35	34	40519944	
cretaceous-slow-1	36	35	0	Term20
cretaceous-slow-1	37	35	14513293	
cretaceous-slow-1	38	37	0	Term17
cretaceous-slow-1	39	37	9482267	
cretaceous-slow-1	40	39	0	Term18
cretaceous-slow-1	41	39	0	Term19
cretaceous-slow-1	42	34	96522148	
cretaceous-slow-1	43	42	85716686	
cretaceous-slow-1	44	43	71433879	
cretaceous-slow-1	45	44	0	Term44
cretaceous-slow-1	46	44	69918111	
cretaceous-slow-1	47	46	40886331	
cretaceous-slow-1	48	47	0	Term38
cretaceous-slow-1	49	47	0	Term39
cretaceous-slow-1	50	46	34548133	
cretaceous-slow-1	51	50	0	Term40
cretaceous-slow-1	52	50	18197475	
cretaceous-slow-1	53	52	0	Term41
cretaceous-slow-1	54	52	758717	
cretaceous-slow-1	55	54	0	Term42
cretaceous-slow-1	56	54	0	Term43
cretaceous-slow-1	57	43	81055097	
cretaceous-slow-1	58	57	10412189	
cretaceous-slow-1	59	58	0	Term54
cretaceous-slow-1	60	58	6192398	
cretaceous-slow-1	61	60	0	Term53
cretaceous-slow-1	62	60	3614265	
cretaceous-slow-1	63	62	0	Term51
cretaceous-slow-1	64	62	0	Term52
cretaceous-slow-1	65	57	45429558	
cretaceous-slow-1	66	65	2581845	
