# results from simulated data from project "project.tab"
# date: 2024-05-30T08:31:43-03:00
tree	terms	rootAge	lambda	ml-lambda
jurassic-avg-0	63	196.051	74.720202	141.992188
jurassic-avg-1	53	169.207	85.096264	207.421875
jurassic-avg-10	62	170.260	11.400127	27.734375
jurassic-avg-11	54	199.336	10.548149	42.382812
jurassic-avg-12	84	188.776	15.672297	34.082031
jurassic-avg-13	52	164.644	80.960291	209.863281
jurassic-avg-14	81	158.740	69.395449	136.132812
jurassic-avg-15	65	168.362	94.694910	556.054688
jurassic-avg-16	55	184.441	57.709147	175.683594
jurassic-avg-17	51	195.665	78.510341	213.769531
jurassic-avg-18	83	190.459	94.820151	212.304688
jurassic-avg-19	81	151.264	75.360908	144.433594
jurassic-avg-2	62	191.220	28.745710	79.980469
jurassic-avg-20	70	154.213	38.232828	76.562500
jurassic-avg-21	64	159.151	61.004819	122.949219
jurassic-avg-22	59	153.094	18.795928	42.871094
jurassic-avg-23	80	157.287	42.407594	59.960938
jurassic-avg-24	66	181.503	81.131802	257.714844
jurassic-avg-25	61	188.321	86.808060	135.156250
jurassic-avg-26	62	159.400	71.546139	216.699219
jurassic-avg-27	64	178.000	47.160482	174.707031
jurassic-avg-28	95	192.878	11.268589	22.363281
jurassic-avg-29	66	181.827	55.492129	89.746094
jurassic-avg-3	95	173.686	24.188539	101.464844
jurassic-avg-30	83	200.484	95.959148	209.863281
jurassic-avg-31	84	149.571	45.347051	101.953125
jurassic-avg-32	100	190.775	20.525742	52.636719
jurassic-avg-33	92	173.168	28.225771	65.332031
jurassic-avg-34	50	166.148	26.916470	86.816406
jurassic-avg-35	56	155.318	60.008713	116.601562
jurassic-avg-36	74	146.946	38.251644	100.976562
jurassic-avg-37	66	190.819	82.547510	127.832031
jurassic-avg-38	72	199.341	92.818447	158.593750
jurassic-avg-39	73	163.362	27.726077	85.839844
jurassic-avg-4	92	187.684	89.562271	231.835938
jurassic-avg-40	80	184.616	42.137193	80.468750
jurassic-avg-41	66	148.988	51.989517	84.375000
jurassic-avg-42	71	170.528	90.704310	213.769531
jurassic-avg-43	52	199.177	68.691188	137.597656
jurassic-avg-44	59	164.107	51.378861	164.941406
jurassic-avg-45	90	199.769	24.486578	55.078125
jurassic-avg-46	77	162.501	79.026098	220.117188
jurassic-avg-47	56	181.269	94.591306	266.503906
jurassic-avg-48	94	188.973	63.483040	119.531250
jurassic-avg-49	63	165.583	94.505306	212.792969
jurassic-avg-5	93	149.037	86.228224	275.292969
jurassic-avg-6	56	175.280	82.752466	144.433594
jurassic-avg-7	99	147.587	16.422573	35.546875
jurassic-avg-8	83	198.641	53.805428	98.535156
jurassic-avg-9	54	184.940	30.685519	62.890625
