# simulated lambda of project "project.tab"
# date: 2024-05-27T21:53:57-03:00
tree	lambda
jurassic-fast-0	8.857818
jurassic-fast-1	2.134748
jurassic-fast-10	4.500291
jurassic-fast-11	1.435720
jurassic-fast-12	4.105499
jurassic-fast-13	5.193699
jurassic-fast-14	9.812010
jurassic-fast-15	3.244868
jurassic-fast-16	5.301931
jurassic-fast-17	1.074796
jurassic-fast-18	2.146031
jurassic-fast-19	6.965006
jurassic-fast-2	5.324708
jurassic-fast-20	7.097418
jurassic-fast-21	6.853190
jurassic-fast-22	6.360815
jurassic-fast-23	1.168181
jurassic-fast-24	6.229455
jurassic-fast-25	5.383225
jurassic-fast-26	2.454995
jurassic-fast-27	1.842336
jurassic-fast-28	3.403643
jurassic-fast-29	9.913008
jurassic-fast-3	4.131213
jurassic-fast-30	2.804672
jurassic-fast-31	7.190031
jurassic-fast-32	4.995721
jurassic-fast-33	5.812296
jurassic-fast-34	9.436229
jurassic-fast-35	2.114595
jurassic-fast-36	9.544309
jurassic-fast-37	4.299024
jurassic-fast-38	4.882115
jurassic-fast-39	2.003925
jurassic-fast-4	9.615288
jurassic-fast-40	9.225992
jurassic-fast-41	9.918170
jurassic-fast-42	5.450918
jurassic-fast-43	1.278972
jurassic-fast-44	7.540420
jurassic-fast-45	3.632684
jurassic-fast-46	4.428505
jurassic-fast-47	2.841235
jurassic-fast-48	3.650869
jurassic-fast-49	7.465021
jurassic-fast-5	2.120640
jurassic-fast-6	1.318702
jurassic-fast-7	4.161624
jurassic-fast-8	8.741536
jurassic-fast-9	1.552741
