# time calibrated phylogenetic trees
# data saved on: 2024-05-27T21:53:57-03:00
tree	node	parent	age	taxon
jurassic-fast-0	0	-1	168199166	
jurassic-fast-0	1	0	162445733	
jurassic-fast-0	2	1	90202427	
jurassic-fast-0	3	2	76179540	
jurassic-fast-0	4	3	34222582	
jurassic-fast-0	5	4	0	Term7
jurassic-fast-0	6	4	0	Term8
jurassic-fast-0	7	3	7837412	
jurassic-fast-0	8	7	0	Term5
jurassic-fast-0	9	7	0	Term6
jurassic-fast-0	10	2	59134879	
jurassic-fast-0	11	10	33195235	
jurassic-fast-0	12	11	0	Term3
jurassic-fast-0	13	11	0	Term4
jurassic-fast-0	14	10	45339307	
jurassic-fast-0	15	14	0	Term0
jurassic-fast-0	16	14	25989028	
jurassic-fast-0	17	16	0	Term1
jurassic-fast-0	18	16	0	Term2
jurassic-fast-0	19	1	142069882	
jurassic-fast-0	20	19	80269520	
jurassic-fast-0	21	20	0	Term26
jurassic-fast-0	22	20	38052827	
jurassic-fast-0	23	22	0	Term29
jurassic-fast-0	24	22	13990934	
jurassic-fast-0	25	24	0	Term27
jurassic-fast-0	26	24	0	Term28
jurassic-fast-0	27	19	73696911	
jurassic-fast-0	28	27	0	Term25
jurassic-fast-0	29	27	60676158	
jurassic-fast-0	30	29	42341764	
jurassic-fast-0	31	30	13375194	
jurassic-fast-0	32	31	0	Term9
jurassic-fast-0	33	31	3652642	
jurassic-fast-0	34	33	0	Term10
jurassic-fast-0	35	33	0	Term11
jurassic-fast-0	36	30	40580847	
jurassic-fast-0	37	36	23984861	
jurassic-fast-0	38	37	0	Term14
jurassic-fast-0	39	37	0	Term15
jurassic-fast-0	40	36	14688425	
jurassic-fast-0	41	40	0	Term12
jurassic-fast-0	42	40	0	Term13
jurassic-fast-0	43	29	40121575	
jurassic-fast-0	44	43	23775569	
jurassic-fast-0	45	44	0	Term16
jurassic-fast-0	46	44	19238989	
jurassic-fast-0	47	46	0	Term17
jurassic-fast-0	48	46	0	Term18
jurassic-fast-0	49	43	13625305	
jurassic-fast-0	50	49	13026703	
jurassic-fast-0	51	50	0	Term23
jurassic-fast-0	52	50	0	Term24
jurassic-fast-0	53	49	10752322	
jurassic-fast-0	54	53	5688892	
jurassic-fast-0	55	54	0	Term19
jurassic-fast-0	56	54	0	Term20
jurassic-fast-0	57	53	3483764	
jurassic-fast-0	58	57	0	Term21
jurassic-fast-0	59	57	0	Term22
jurassic-fast-0	60	0	142940466	
jurassic-fast-0	61	60	125037703	
jurassic-fast-0	62	61	8246911	
jurassic-fast-0	63	62	0	Term73
jurassic-fast-0	64	62	0	Term74
jurassic-fast-0	65	61	86670483	
jurassic-fast-0	66	65	0	Term78
jurassic-fast-0	67	65	67425589	
jurassic-fast-0	68	67	0	Term75
jurassic-fast-0	69	67	3425109	
jurassic-fast-0	70	69	0	Term76
jurassic-fast-0	71	69	0	Term77
jurassic-fast-0	72	60	141301135	
jurassic-fast-0	73	72	107589609	
jurassic-fast-0	74	73	69272423	
jurassic-fast-0	75	74	0	Term56
jurassic-fast-0	76	74	61634505	
jurassic-fast-0	77	76	0	Term55
jurassic-fast-0	78	76	11872561	
jurassic-fast-0	79	78	0	Term54
jurassic-fast-0	80	78	7735904	
jurassic-fast-0	81	80	0	Term52
jurassic-fast-0	82	80	0	Term53
jurassic-fast-0	83	73	99097781	
jurassic-fast-0	84	83	64006528	
jurassic-fast-0	85	84	21972054	
jurassic-fast-0	86	85	0	Term61
jurassic-fast-0	87	85	0	Term62
jurassic-fast-0	88	84	27566131	
jurassic-fast-0	89	88	12661829	
jurassic-fast-0	90	89	0	Term59
jurassic-fast-0	91	89	0	Term60
jurassic-fast-0	92	88	2930131	
jurassic-fast-0	93	92	0	Term57
jurassic-fast-0	94	92	0	Term58
jurassic-fast-0	95	83	81775916	
jurassic-fast-0	96	95	37175506	
jurassic-fast-0	97	96	22037074	
jurassic-fast-0	98	97	0	Term69
jurassic-fast-0	99	97	0	Term70
jurassic-fast-0	100	96	17723978	
jurassic-fast-0	101	100	0	Term71
jurassic-fast-0	102	100	0	Term72
jurassic-fast-0	103	95	19649508	
jurassic-fast-0	104	103	1048863	
jurassic-fast-0	105	104	0	Term63
jurassic-fast-0	106	104	0	Term64
jurassic-fast-0	107	103	10399046	
jurassic-fast-0	108	107	0	Term68
jurassic-fast-0	109	107	5581141	
jurassic-fast-0	110	109	0	Term67
jurassic-fast-0	111	109	4317761	
jurassic-fast-0	112	111	0	Term65
jurassic-fast-0	113	111	0	Term66
jurassic-fast-0	114	72	133480057	
jurassic-fast-0	115	114	103559455	
jurassic-fast-0	116	115	15462204	
jurassic-fast-0	117	116	0	Term30
jurassic-fast-0	118	116	0	Term31
jurassic-fast-0	119	115	51425095	
jurassic-fast-0	120	119	5252204	
jurassic-fast-0	121	120	0	Term36
jurassic-fast-0	122	120	0	Term37
jurassic-fast-0	123	119	24165368	
jurassic-fast-0	124	123	0	Term32
jurassic-fast-0	125	123	9750919	
jurassic-fast-0	126	125	0	Term35
jurassic-fast-0	127	125	1196289	
jurassic-fast-0	128	127	0	Term33
jurassic-fast-0	129	127	0	Term34
jurassic-fast-0	130	114	113843458	
jurassic-fast-0	131	130	74543488	
jurassic-fast-0	132	131	0	Term41
jurassic-fast-0	133	131	7390178	
jurassic-fast-0	134	133	0	Term38
jurassic-fast-0	135	133	114310	
jurassic-fast-0	136	135	0	Term39
jurassic-fast-0	137	135	0	Term40
jurassic-fast-0	138	130	108479464	
jurassic-fast-0	139	138	8588165	
jurassic-fast-0	140	139	0	Term50
jurassic-fast-0	141	139	0	Term51
jurassic-fast-0	142	138	80009540	
jurassic-fast-0	143	142	54560054	
jurassic-fast-0	144	143	0	Term42
jurassic-fast-0	145	143	10125975	
jurassic-fast-0	146	145	0	Term43
jurassic-fast-0	147	145	6068022	
jurassic-fast-0	148	147	0	Term44
jurassic-fast-0	149	147	0	Term45
jurassic-fast-0	150	142	32121512	
jurassic-fast-0	151	150	24911060	
