# results from simulated data from project "project.tab"
# date: 2024-05-30T06:29:06-03:00
tree	terms	rootAge	lambda	ml-lambda
jurassic-slow-0	57	167.330	305.053792	899.804688
jurassic-slow-1	75	172.661	842.217049	3642.480469
jurassic-slow-10	72	197.401	735.222728	1675.683594
jurassic-slow-11	87	187.009	648.075543	2038.476562
jurassic-slow-12	67	172.151	884.031370	1572.167969
jurassic-slow-13	71	170.450	924.908455	1556.054688
jurassic-slow-14	61	149.795	797.231428	909.082031
jurassic-slow-15	96	198.273	547.319070	918.847656
jurassic-slow-16	91	159.093	192.353520	455.468750
jurassic-slow-17	98	180.951	198.585964	437.890625
jurassic-slow-18	73	190.546	802.611473	1948.632812
jurassic-slow-19	71	199.302	919.936168	2032.128906
jurassic-slow-2	62	197.903	116.289531	286.523438
jurassic-slow-20	93	167.262	991.000228	2751.367188
jurassic-slow-21	79	169.607	404.545613	1170.312500
jurassic-slow-22	84	173.441	759.394026	1781.152344
jurassic-slow-23	55	197.543	967.081800	2473.046875
jurassic-slow-24	66	148.647	749.171514	6669.335938
jurassic-slow-25	55	163.769	506.635732	1715.722656
jurassic-slow-26	59	188.856	300.184984	465.234375
jurassic-slow-27	57	148.592	162.163309	277.734375
jurassic-slow-28	80	185.184	648.072776	2364.648438
jurassic-slow-29	61	161.604	579.217439	1582.910156
jurassic-slow-3	79	155.461	202.330781	556.054688
jurassic-slow-30	68	170.888	360.193393	626.367188
jurassic-slow-31	61	151.378	987.164374	3987.695312
jurassic-slow-32	51	183.344	421.907181	782.128906
jurassic-slow-33	61	197.896	803.953026	2190.332031
jurassic-slow-34	52	180.020	337.940292	713.281250
jurassic-slow-35	71	145.381	390.562261	1006.738281
jurassic-slow-36	63	200.753	253.205940	702.050781
jurassic-slow-37	76	169.641	346.091955	1941.796875
jurassic-slow-38	78	176.430	171.621357	430.078125
jurassic-slow-39	55	179.537	223.567513	598.535156
jurassic-slow-4	100	182.748	303.578295	540.917969
jurassic-slow-40	85	157.595	243.758930	444.238281
jurassic-slow-41	84	176.617	777.301114	5850.488281
jurassic-slow-42	70	149.902	920.087435	2259.667969
jurassic-slow-43	57	200.994	735.276718	1678.125000
jurassic-slow-44	59	179.978	606.830214	2646.386719
jurassic-slow-45	82	193.924	784.387192	1530.175781
jurassic-slow-46	77	162.159	814.170974	3505.273438
jurassic-slow-47	73	161.604	735.097104	2129.296875
jurassic-slow-48	82	189.809	564.731259	1571.191406
jurassic-slow-49	75	161.056	372.036123	788.964844
jurassic-slow-5	90	151.684	232.888707	422.753906
jurassic-slow-6	80	157.034	959.331434	3778.710938
jurassic-slow-7	54	149.319	176.776647	558.007812
jurassic-slow-8	89	149.756	836.435179	2247.949219
jurassic-slow-9	78	197.062	315.456939	837.304688
