# results from simulated data from project "project.tab"
# date: 2024-05-29T15:46:06-03:00
tree	terms	rootAge	lambda	ml-lambda
neogene-avg-0	60	7.765	60.200359	213.769531
neogene-avg-1	70	9.615	27.324837	100.488281
neogene-avg-10	60	6.122	33.634352	94.628906
neogene-avg-11	59	5.151	88.111338	2307.519531
neogene-avg-12	50	12.586	59.081984	1103.417969
neogene-avg-13	90	19.077	39.840249	94.628906
neogene-avg-14	73	14.249	65.084932	261.132812
neogene-avg-15	91	19.605	42.550906	84.375000
neogene-avg-16	64	7.869	42.095552	132.226562
neogene-avg-17	54	9.301	10.471979	19.921875
neogene-avg-18	95	10.526	97.459506	162.988281
neogene-avg-19	58	13.639	98.825463	256.738281
neogene-avg-2	53	14.670	86.973604	308.007812
neogene-avg-20	55	11.868	14.633475	49.707031
neogene-avg-21	85	9.597	49.690956	299.707031
neogene-avg-22	67	18.298	57.854530	317.773438
neogene-avg-23	80	11.936	63.685163	396.386719
neogene-avg-24	52	10.867	63.074670	567.773438
neogene-avg-25	51	8.241	26.554588	139.550781
neogene-avg-26	100	13.346	69.923662	579.980469
neogene-avg-27	80	20.646	30.989863	71.679688
neogene-avg-28	81	13.285	39.534754	114.648438
neogene-avg-29	51	6.027	26.164953	78.027344
neogene-avg-3	67	16.954	76.783528	261.132812
neogene-avg-30	53	6.346	44.488880	138.085938
neogene-avg-31	77	18.266	13.923256	36.523438
neogene-avg-32	99	8.501	68.524424	394.433594
neogene-avg-33	51	16.129	27.316054	81.445312
neogene-avg-34	71	19.764	47.631066	175.195312
neogene-avg-35	59	19.413	63.562188	229.882812
neogene-avg-36	64	21.500	98.598751	188.867188
neogene-avg-37	86	5.566	44.978227	250.390625
neogene-avg-38	58	5.896	12.988589	28.222656
neogene-avg-39	78	9.851	19.459195	184.472656
neogene-avg-4	58	6.007	23.780434	53.613281
neogene-avg-40	80	6.532	82.051853	646.386719
neogene-avg-41	60	18.258	58.371217	177.636719
neogene-avg-42	61	8.451	22.420440	60.449219
neogene-avg-43	84	19.185	78.416992	242.578125
neogene-avg-44	58	7.868	81.937053	959.375000
neogene-avg-45	99	6.292	87.223509	454.003906
neogene-avg-46	56	16.730	80.075210	193.750000
neogene-avg-47	60	20.285	27.909911	179.101562
neogene-avg-48	75	18.467	56.284523	85.351562
neogene-avg-49	92	20.047	46.520804	294.824219
neogene-avg-5	50	21.673	11.435710	23.828125
neogene-avg-6	74	9.335	77.679035	861.230469
neogene-avg-7	73	15.816	10.463460	26.757812
neogene-avg-8	86	12.985	68.397170	206.933594
neogene-avg-9	76	7.423	92.731660	791.894531
