# results from simulated data from project "project.tab"
# date: 2024-05-29T17:30:53-03:00
tree	terms	rootAge	lambda	ml-lambda
neogene-fast-0	80	9.945	3.861081	12.109375
neogene-fast-1	73	15.102	1.370549	3.808594
neogene-fast-10	85	16.442	2.954091	6.250000
neogene-fast-11	51	6.633	9.617091	26.757812
neogene-fast-12	65	7.057	3.004379	5.761719
neogene-fast-13	90	22.403	7.007068	16.015625
neogene-fast-14	50	15.138	8.255347	16.503906
neogene-fast-15	57	6.418	6.501773	11.132812
neogene-fast-16	64	19.122	5.928787	12.109375
neogene-fast-17	87	22.627	5.366613	15.527344
neogene-fast-18	56	7.410	1.742840	3.320312
neogene-fast-19	79	20.313	1.027133	2.832031
neogene-fast-2	79	12.695	9.330789	14.550781
neogene-fast-20	84	22.798	7.758092	17.968750
neogene-fast-21	64	14.346	3.604394	10.644531
neogene-fast-22	67	5.409	4.520189	10.156250
neogene-fast-23	55	8.811	2.548738	10.156250
neogene-fast-24	71	8.249	1.419387	3.320312
neogene-fast-25	53	6.944	2.925351	7.714844
neogene-fast-26	58	5.561	4.155185	9.179688
neogene-fast-27	52	6.916	5.933742	11.621094
neogene-fast-28	56	15.624	2.035907	3.808594
neogene-fast-29	74	14.673	9.328022	18.945312
neogene-fast-3	55	22.723	9.413537	18.945312
neogene-fast-30	50	18.456	3.014206	7.714844
neogene-fast-31	70	14.473	4.404672	6.738281
neogene-fast-32	78	12.495	3.404583	7.226562
neogene-fast-33	56	7.467	7.610825	17.480469
neogene-fast-34	68	9.745	7.942275	19.433594
neogene-fast-35	69	20.546	5.612938	14.550781
neogene-fast-36	58	20.253	9.602450	21.875000
neogene-fast-37	77	10.391	9.130334	22.363281
neogene-fast-38	98	11.264	9.620076	19.433594
neogene-fast-39	81	19.150	1.825711	7.226562
neogene-fast-4	80	22.114	2.590708	8.691406
neogene-fast-40	61	10.109	9.991892	24.804688
neogene-fast-41	59	17.077	5.252732	10.156250
neogene-fast-42	99	19.572	7.833068	17.480469
neogene-fast-43	66	21.653	8.870109	19.433594
neogene-fast-44	59	5.206	3.111643	6.250000
neogene-fast-45	80	7.407	2.660722	5.273438
neogene-fast-46	69	8.873	8.663919	19.921875
neogene-fast-47	84	6.256	4.063383	9.179688
neogene-fast-48	56	20.897	7.596283	13.085938
neogene-fast-49	60	19.620	4.952266	13.574219
neogene-fast-5	80	15.189	4.937314	15.527344
neogene-fast-6	76	17.319	1.296944	2.832031
neogene-fast-7	64	6.219	7.595193	20.898438
neogene-fast-8	84	21.006	3.173620	7.226562
neogene-fast-9	67	14.623	2.771436	10.156250
