# time calibrated phylogenetic trees
# data saved on: 2024-05-27T21:20:40-03:00
tree	node	parent	age	taxon
neogene-fast-0	0	-1	9945457	
neogene-fast-0	1	0	0	Term79
neogene-fast-0	2	0	9901130	
neogene-fast-0	3	2	9715928	
neogene-fast-0	4	3	1551906	
neogene-fast-0	5	4	0	Term76
neogene-fast-0	6	4	996201	
neogene-fast-0	7	6	0	Term77
neogene-fast-0	8	6	0	Term78
neogene-fast-0	9	3	2945687	
neogene-fast-0	10	9	429710	
neogene-fast-0	11	10	0	Term71
neogene-fast-0	12	10	0	Term72
neogene-fast-0	13	9	1811525	
neogene-fast-0	14	13	0	Term75
neogene-fast-0	15	13	18528	
neogene-fast-0	16	15	0	Term73
neogene-fast-0	17	15	0	Term74
neogene-fast-0	18	2	6928803	
neogene-fast-0	19	18	6728030	
neogene-fast-0	20	19	5969007	
neogene-fast-0	21	20	5332472	
neogene-fast-0	22	21	0	Term52
neogene-fast-0	23	21	5282800	
neogene-fast-0	24	23	3623560	
neogene-fast-0	25	24	0	Term55
neogene-fast-0	26	24	0	Term56
neogene-fast-0	27	23	1856961	
neogene-fast-0	28	27	0	Term53
neogene-fast-0	29	27	0	Term54
neogene-fast-0	30	20	1663828	
neogene-fast-0	31	30	483493	
neogene-fast-0	32	31	0	Term46
neogene-fast-0	33	31	0	Term47
neogene-fast-0	34	30	1239722	
neogene-fast-0	35	34	0	Term48
neogene-fast-0	36	34	920953	
neogene-fast-0	37	36	0	Term49
neogene-fast-0	38	36	776098	
neogene-fast-0	39	38	0	Term50
neogene-fast-0	40	38	0	Term51
neogene-fast-0	41	19	5753215	
neogene-fast-0	42	41	3991727	
neogene-fast-0	43	42	0	Term66
neogene-fast-0	44	42	3326261	
neogene-fast-0	45	44	1441227	
neogene-fast-0	46	45	0	Term67
neogene-fast-0	47	45	0	Term68
neogene-fast-0	48	44	19785	
neogene-fast-0	49	48	0	Term69
neogene-fast-0	50	48	0	Term70
neogene-fast-0	51	41	4729232	
neogene-fast-0	52	51	2816670	
neogene-fast-0	53	52	0	Term57
neogene-fast-0	54	52	0	Term58
neogene-fast-0	55	51	3081925	
neogene-fast-0	56	55	802351	
neogene-fast-0	57	56	0	Term63
neogene-fast-0	58	56	325802	
neogene-fast-0	59	58	0	Term64
neogene-fast-0	60	58	0	Term65
neogene-fast-0	61	55	2568811	
neogene-fast-0	62	61	0	Term62
neogene-fast-0	63	61	1886214	
neogene-fast-0	64	63	0	Term59
neogene-fast-0	65	63	889748	
neogene-fast-0	66	65	0	Term60
neogene-fast-0	67	65	0	Term61
neogene-fast-0	68	18	5223420	
neogene-fast-0	69	68	2665071	
neogene-fast-0	70	69	0	Term45
neogene-fast-0	71	69	2124270	
neogene-fast-0	72	71	0	Term44
neogene-fast-0	73	71	1279604	
neogene-fast-0	74	73	0	Term40
neogene-fast-0	75	73	844042	
neogene-fast-0	76	75	0	Term41
neogene-fast-0	77	75	110658	
neogene-fast-0	78	77	0	Term42
neogene-fast-0	79	77	0	Term43
neogene-fast-0	80	68	4806548	
neogene-fast-0	81	80	2128218	
neogene-fast-0	82	81	120846	
neogene-fast-0	83	82	0	Term35
neogene-fast-0	84	82	0	Term36
neogene-fast-0	85	81	1429024	
neogene-fast-0	86	85	0	Term39
neogene-fast-0	87	85	1310665	
neogene-fast-0	88	87	0	Term37
neogene-fast-0	89	87	0	Term38
neogene-fast-0	90	80	4342759	
neogene-fast-0	91	90	3240535	
neogene-fast-0	92	91	0	Term4
neogene-fast-0	93	91	329813	
neogene-fast-0	94	93	175706	
neogene-fast-0	95	94	0	Term0
neogene-fast-0	96	94	0	Term1
neogene-fast-0	97	93	19460	
neogene-fast-0	98	97	0	Term2
neogene-fast-0	99	97	0	Term3
neogene-fast-0	100	90	4149798	
neogene-fast-0	101	100	2598112	
neogene-fast-0	102	101	1655913	
neogene-fast-0	103	102	0	Term7
neogene-fast-0	104	102	405576	
neogene-fast-0	105	104	0	Term5
neogene-fast-0	106	104	0	Term6
neogene-fast-0	107	101	2248760	
neogene-fast-0	108	107	0	Term8
neogene-fast-0	109	107	1667812	
neogene-fast-0	110	109	0	Term9
neogene-fast-0	111	109	1161740	
neogene-fast-0	112	111	0	Term12
neogene-fast-0	113	111	121361	
neogene-fast-0	114	113	0	Term10
neogene-fast-0	115	113	0	Term11
neogene-fast-0	116	100	4048548	
neogene-fast-0	117	116	1700340	
neogene-fast-0	118	117	0	Term27
neogene-fast-0	119	117	1685458	
neogene-fast-0	120	119	0	Term34
neogene-fast-0	121	119	961592	
neogene-fast-0	122	121	0	Term33
neogene-fast-0	123	121	952952	
neogene-fast-0	124	123	0	Term32
neogene-fast-0	125	123	662595	
neogene-fast-0	126	125	549250	
neogene-fast-0	127	126	0	Term28
neogene-fast-0	128	126	0	Term29
neogene-fast-0	129	125	483325	
neogene-fast-0	130	129	0	Term30
neogene-fast-0	131	129	0	Term31
neogene-fast-0	132	116	3743113	
neogene-fast-0	133	132	3697156	
neogene-fast-0	134	133	0	Term25
neogene-fast-0	135	133	0	Term26
neogene-fast-0	136	132	3475986	
neogene-fast-0	137	136	2801175	
neogene-fast-0	138	137	0	Term13
neogene-fast-0	139	137	2104569	
neogene-fast-0	140	139	0	Term16
neogene-fast-0	141	139	566814	
neogene-fast-0	142	141	0	Term14
neogene-fast-0	143	141	0	Term15
neogene-fast-0	144	136	3263100	
