# results from simulated data from project "project.tab"
# date: 2024-05-29T11:46:05-03:00
tree	terms	rootAge	lambda	ml-lambda
neogene-slow-0	78	22.334	264.883733	1440.820312
neogene-slow-1	77	10.345	946.329179	23850.000000
neogene-slow-10	81	10.225	811.945937	7328.027344
neogene-slow-11	65	18.976	842.777786	23850.000000
neogene-slow-12	93	9.753	287.915011	4733.300781
neogene-slow-13	70	9.874	995.990424	23850.000000
neogene-slow-14	70	10.921	142.130145	1148.828125
neogene-slow-15	93	17.638	603.969541	5591.210938
neogene-slow-16	50	17.598	360.875596	1017.968750
neogene-slow-17	65	11.371	318.251907	2619.531250
neogene-slow-18	77	21.264	659.886606	10443.750000
neogene-slow-19	98	20.227	896.065493	22336.328125
neogene-slow-2	61	8.770	835.030270	23850.000000
neogene-slow-20	62	8.952	185.784328	2210.351562
neogene-slow-21	99	6.006	668.834419	23850.000000
neogene-slow-22	66	13.382	613.797565	6766.015625
neogene-slow-23	75	11.437	763.373345	23850.000000
neogene-slow-24	85	15.770	372.705192	5213.281250
neogene-slow-25	65	18.650	674.020735	4182.031250
neogene-slow-26	72	9.596	428.015702	2202.539062
neogene-slow-27	66	7.224	419.919341	23850.000000
neogene-slow-28	66	22.667	385.718462	2680.566406
neogene-slow-29	62	10.473	597.884644	5099.511719
neogene-slow-3	60	16.184	107.125322	706.933594
neogene-slow-30	78	6.512	651.735380	23850.000000
neogene-slow-31	91	5.499	703.615657	23850.000000
neogene-slow-32	100	16.315	733.251104	23850.000000
neogene-slow-33	69	18.974	729.907102	7858.300781
neogene-slow-34	95	8.045	752.807667	23850.000000
neogene-slow-35	89	15.458	528.454586	5710.351562
neogene-slow-36	88	21.301	483.517231	1911.523438
neogene-slow-37	83	9.289	599.238751	5834.375000
neogene-slow-38	55	17.001	814.540139	23850.000000
neogene-slow-39	62	17.236	460.261043	4362.207031
neogene-slow-4	86	9.209	262.141639	2321.679688
neogene-slow-40	74	18.049	820.200254	15643.945312
neogene-slow-41	51	6.497	847.841505	23850.000000
neogene-slow-42	83	22.543	833.569818	6269.433594
neogene-slow-43	89	5.536	204.323398	1547.753906
neogene-slow-44	63	10.119	463.328876	4881.738281
neogene-slow-45	59	22.610	478.362015	4435.937500
neogene-slow-46	96	13.897	580.506458	4875.390625
neogene-slow-47	58	7.768	591.642493	23850.000000
neogene-slow-48	55	12.269	753.678378	14863.671875
neogene-slow-49	92	19.289	569.090090	2917.382812
neogene-slow-5	74	22.638	199.807451	611.718750
neogene-slow-6	66	21.304	512.570596	4311.425781
neogene-slow-7	93	19.800	217.749853	435.937500
neogene-slow-8	53	16.751	397.556566	1951.074219
neogene-slow-9	52	15.662	899.001881	6301.660156
