# simulated lambda of project "project.tab"
# date: 2024-05-27T21:18:28-03:00
tree	lambda
neogene-slow-0	264.883733
neogene-slow-1	946.329179
neogene-slow-10	811.945937
neogene-slow-11	842.777786
neogene-slow-12	287.915011
neogene-slow-13	995.990424
neogene-slow-14	142.130145
neogene-slow-15	603.969541
neogene-slow-16	360.875596
neogene-slow-17	318.251907
neogene-slow-18	659.886606
neogene-slow-19	896.065493
neogene-slow-2	835.030270
neogene-slow-20	185.784328
neogene-slow-21	668.834419
neogene-slow-22	613.797565
neogene-slow-23	763.373345
neogene-slow-24	372.705192
neogene-slow-25	674.020735
neogene-slow-26	428.015702
neogene-slow-27	419.919341
neogene-slow-28	385.718462
neogene-slow-29	597.884644
neogene-slow-3	107.125322
neogene-slow-30	651.735380
neogene-slow-31	703.615657
neogene-slow-32	733.251104
neogene-slow-33	729.907102
neogene-slow-34	752.807667
neogene-slow-35	528.454586
neogene-slow-36	483.517231
neogene-slow-37	599.238751
neogene-slow-38	814.540139
neogene-slow-39	460.261043
neogene-slow-4	262.141639
neogene-slow-40	820.200254
neogene-slow-41	847.841505
neogene-slow-42	833.569818
neogene-slow-43	204.323398
neogene-slow-44	463.328876
neogene-slow-45	478.362015
neogene-slow-46	580.506458
neogene-slow-47	591.642493
neogene-slow-48	753.678378
neogene-slow-49	569.090090
neogene-slow-5	199.807451
neogene-slow-6	512.570596
neogene-slow-7	217.749853
neogene-slow-8	397.556566
neogene-slow-9	899.001881
