# results from simulated data from project "project.tab"
# date: 2024-05-29T22:05:51-03:00
tree	terms	rootAge	lambda	ml-lambda
paleogene-avg-0	77	52.950	17.489943	38.964844
paleogene-avg-1	94	40.861	53.110230	79.003906
paleogene-avg-10	61	39.413	55.493254	129.296875
paleogene-avg-11	100	61.055	39.668359	69.238281
paleogene-avg-12	63	27.469	39.836620	105.859375
paleogene-avg-13	66	47.533	78.564204	143.945312
paleogene-avg-14	57	51.699	70.648552	245.996094
paleogene-avg-15	51	32.240	93.513761	421.289062
paleogene-avg-16	95	50.510	48.492575	92.187500
paleogene-avg-17	80	27.360	14.652745	41.406250
paleogene-avg-18	73	39.825	42.498296	90.722656
paleogene-avg-19	93	47.030	88.747209	106.347656
paleogene-avg-2	84	64.221	89.679623	196.191406
paleogene-avg-20	73	37.554	31.390995	61.914062
paleogene-avg-21	54	45.330	66.618415	140.039062
paleogene-avg-22	87	31.819	22.530941	55.566406
paleogene-avg-23	55	47.859	20.222308	38.476562
paleogene-avg-24	66	33.641	57.035652	236.718750
paleogene-avg-25	87	50.031	90.669867	255.273438
paleogene-avg-26	68	56.841	14.827432	26.757812
paleogene-avg-27	64	47.858	82.072208	204.980469
paleogene-avg-28	78	48.232	86.586683	248.437500
paleogene-avg-29	81	41.532	31.869747	112.695312
paleogene-avg-3	80	41.268	16.795200	35.058594
paleogene-avg-30	51	43.971	85.428397	251.367188
paleogene-avg-31	54	52.284	49.271170	99.023438
paleogene-avg-32	53	60.563	93.711092	261.621094
paleogene-avg-33	71	51.358	22.273073	47.265625
paleogene-avg-34	78	59.983	96.363492	262.597656
paleogene-avg-35	77	29.431	82.783705	116.113281
paleogene-avg-36	74	24.206	41.882543	43.847656
paleogene-avg-37	53	38.081	13.008520	40.429688
paleogene-avg-38	99	44.222	18.784518	45.800781
paleogene-avg-39	80	46.218	47.576212	109.765625
paleogene-avg-4	94	33.414	21.807363	48.242188
paleogene-avg-40	56	50.214	66.835963	139.550781
paleogene-avg-41	69	37.225	29.362335	86.328125
paleogene-avg-42	56	62.583	79.907846	131.250000
paleogene-avg-43	60	35.804	71.362544	191.308594
paleogene-avg-44	63	45.708	58.762885	168.847656
paleogene-avg-45	57	53.253	36.111842	69.238281
paleogene-avg-46	50	25.440	71.902153	461.816406
paleogene-avg-47	68	40.238	13.140845	20.410156
paleogene-avg-48	100	34.535	79.703734	382.226562
paleogene-avg-49	73	46.156	95.598429	226.464844
paleogene-avg-5	62	46.819	55.248307	136.132812
paleogene-avg-6	63	46.515	89.438573	188.378906
paleogene-avg-7	90	60.660	17.538483	50.683594
paleogene-avg-8	54	55.365	90.572345	174.707031
paleogene-avg-9	69	34.903	84.325758	131.738281
