# results from simulated data from project "project.tab"
# date: 2024-05-30T06:28:55-03:00
tree	node	age	pixels	farthest
cretaceous-avg-0	0	78532285	0.660000	0.108802
cretaceous-avg-0	1	70030742	0.000000	0.482191
cretaceous-avg-0	2	62566236	0.030000	0.543372
cretaceous-avg-0	3	21244035	1.000000	0.000000
cretaceous-avg-0	4	6577007	0.000000	0.504067
cretaceous-avg-0	7	17347491	0.170000	0.380632
cretaceous-avg-0	8	8288793	0.990000	0.052459
cretaceous-avg-0	11	1211564	0.880000	0.209541
cretaceous-avg-0	14	20627940	0.990000	0.052263
cretaceous-avg-0	16	3876372	0.590000	0.230184
cretaceous-avg-0	18	3111939	0.410000	0.156910
cretaceous-avg-0	20	2465157	0.320000	0.158474
cretaceous-avg-0	22	991520	0.950000	0.099316
cretaceous-avg-0	25	41649498	0.010000	0.423837
cretaceous-avg-0	26	35199476	0.000000	0.373698
cretaceous-avg-0	28	23323190	0.110000	0.217775
cretaceous-avg-0	30	5294612	1.000000	0.000000
cretaceous-avg-0	33	34455249	1.000000	0.000000
cretaceous-avg-0	35	25336226	0.000000	0.630910
cretaceous-avg-0	37	21888475	0.000000	0.841060
cretaceous-avg-0	39	18063139	0.000000	0.578591
cretaceous-avg-0	40	2833146	0.060000	0.270739
cretaceous-avg-0	43	4109713	0.930000	0.118420
cretaceous-avg-0	44	1866087	0.960000	0.160514
cretaceous-avg-0	47	1764176	0.770000	0.124184
cretaceous-avg-0	50	43325985	0.150000	0.160422
cretaceous-avg-0	51	42870458	0.570000	0.110906
cretaceous-avg-0	53	24702026	1.000000	0.000000
cretaceous-avg-0	54	18796117	0.740000	0.143654
cretaceous-avg-0	55	4560510	0.000000	0.459427
cretaceous-avg-0	58	16300877	0.480000	0.190936
cretaceous-avg-0	60	1685611	0.340000	0.292907
cretaceous-avg-0	63	21689114	1.000000	0.000000
cretaceous-avg-0	64	8733877	0.920000	0.111115
cretaceous-avg-0	66	7485533	0.380000	0.264521
cretaceous-avg-0	69	17737156	1.000000	0.000000
cretaceous-avg-0	71	15257992	0.960000	0.104630
cretaceous-avg-0	73	3801297	1.000000	0.000000
cretaceous-avg-0	76	37530485	1.000000	0.000000
