# results from simulated data from project "project.tab"
# date: 2024-05-30T06:29:02-03:00
tree	node	age	pixels	farthest
cretaceous-fast-0	0	141049335	0.950000	0.058536
cretaceous-fast-0	1	62982360	0.930000	0.052320
cretaceous-fast-0	2	9313315	0.960000	0.055725
cretaceous-fast-0	4	6231190	1.000000	0.000000
cretaceous-fast-0	7	60773319	0.990000	0.052373
cretaceous-fast-0	8	16604774	0.440000	0.107088
cretaceous-fast-0	10	14014583	0.480000	0.117499
cretaceous-fast-0	13	33199465	0.910000	0.056919
cretaceous-fast-0	14	27614931	0.930000	0.053705
cretaceous-fast-0	16	9776381	0.810000	0.099004
cretaceous-fast-0	19	31043507	0.910000	0.066798
cretaceous-fast-0	20	13871296	0.280000	0.118762
cretaceous-fast-0	23	29696359	0.980000	0.052501
cretaceous-fast-0	25	14879474	0.160000	0.113692
cretaceous-fast-0	28	126399559	0.650000	0.074714
cretaceous-fast-0	29	103998220	0.900000	0.072735
cretaceous-fast-0	30	52951343	0.910000	0.074742
cretaceous-fast-0	31	24521441	0.850000	0.055725
cretaceous-fast-0	33	10368767	0.980000	0.052005
cretaceous-fast-0	35	7047914	1.000000	0.000000
cretaceous-fast-0	38	23975348	0.950000	0.052528
cretaceous-fast-0	39	19363209	0.720000	0.057659
cretaceous-fast-0	41	8618989	0.820000	0.052546
cretaceous-fast-0	44	9945642	1.000000	0.000000
cretaceous-fast-0	46	8612454	1.000000	0.000000
cretaceous-fast-0	49	57353240	0.980000	0.052342
cretaceous-fast-0	50	45230394	0.940000	0.052633
cretaceous-fast-0	52	3099040	1.000000	0.000000
cretaceous-fast-0	55	55908086	0.800000	0.060430
cretaceous-fast-0	56	45110993	0.960000	0.052546
cretaceous-fast-0	58	35122470	0.480000	0.098936
cretaceous-fast-0	60	13351926	1.000000	0.000000
cretaceous-fast-0	63	54124713	1.000000	0.000000
cretaceous-fast-0	64	19734315	0.820000	0.105047
cretaceous-fast-0	67	37086739	0.060000	0.239136
cretaceous-fast-0	69	36689561	0.300000	0.105116
cretaceous-fast-0	71	31791355	0.980000	0.052373
cretaceous-fast-0	73	1582643	1.000000	0.000000
cretaceous-fast-0	76	114168962	0.540000	0.104646
cretaceous-fast-0	77	84712503	0.840000	0.052801
cretaceous-fast-0	78	68697756	0.550000	0.104831
cretaceous-fast-0	79	64524060	0.790000	0.126078
cretaceous-fast-0	82	34524652	0.890000	0.071864
cretaceous-fast-0	84	19603158	0.780000	0.065231
cretaceous-fast-0	87	63385842	0.970000	0.052633
cretaceous-fast-0	89	51422685	0.960000	0.052320
cretaceous-fast-0	90	16151743	1.000000	0.000000
cretaceous-fast-0	92	7437268	0.840000	0.052324
cretaceous-fast-0	95	48916025	0.660000	0.055706
cretaceous-fast-0	97	46517223	1.000000	0.000000
cretaceous-fast-0	99	37424779	0.710000	0.057818
cretaceous-fast-0	102	73119774	0.960000	0.052180
