# results from simulated data from project "project.tab"
# date: 2024-05-30T06:28:52-03:00
tree	node	age	pixels	farthest
cretaceous-slow-0	0	136517518	0.000000	0.485479
cretaceous-slow-0	1	119882431	0.000000	0.476931
cretaceous-slow-0	2	65494478	0.320000	0.251332
cretaceous-slow-0	4	46040918	0.260000	0.284150
cretaceous-slow-0	6	13935909	0.890000	0.105514
cretaceous-slow-0	7	12405458	0.930000	0.066635
cretaceous-slow-0	10	6597564	0.790000	0.063880
cretaceous-slow-0	13	107119214	0.000000	0.409268
cretaceous-slow-0	14	12627068	0.960000	0.052375
cretaceous-slow-0	16	4771297	0.900000	0.110891
cretaceous-slow-0	19	104541294	0.000000	0.370701
cretaceous-slow-0	21	29625117	0.910000	0.105939
cretaceous-slow-0	23	8658724	0.970000	0.052417
cretaceous-slow-0	25	6633809	0.940000	0.092724
cretaceous-slow-0	28	123958461	0.060000	0.276921
cretaceous-slow-0	29	88007651	0.660000	0.210140
cretaceous-slow-0	30	33501482	1.000000	0.000000
cretaceous-slow-0	31	23609095	0.980000	0.097821
cretaceous-slow-0	34	4862813	0.810000	0.126163
cretaceous-slow-0	37	47109835	1.000000	0.000000
cretaceous-slow-0	38	36070425	0.990000	0.125960
cretaceous-slow-0	41	46604012	0.990000	0.052422
cretaceous-slow-0	43	38469075	0.920000	0.069476
cretaceous-slow-0	44	32447075	0.960000	0.086159
cretaceous-slow-0	46	20477525	0.990000	0.060912
cretaceous-slow-0	48	19344971	0.900000	0.096485
cretaceous-slow-0	50	17926318	0.940000	0.096485
cretaceous-slow-0	53	17256739	0.770000	0.123015
cretaceous-slow-0	55	14314936	0.730000	0.134672
cretaceous-slow-0	57	8208205	0.690000	0.118305
cretaceous-slow-0	59	87666	0.910000	0.104791
cretaceous-slow-0	62	77172475	0.990000	0.052546
cretaceous-slow-0	63	70995295	0.910000	0.155660
cretaceous-slow-0	64	28406791	1.000000	0.000000
cretaceous-slow-0	66	4916333	0.970000	0.116773
cretaceous-slow-0	68	943875	0.950000	0.121238
cretaceous-slow-0	71	70600015	0.880000	0.104576
cretaceous-slow-0	72	24284291	0.930000	0.090654
cretaceous-slow-0	73	21496692	0.770000	0.105794
cretaceous-slow-0	76	17339425	0.900000	0.105623
cretaceous-slow-0	79	62638049	0.910000	0.197234
cretaceous-slow-0	81	17375697	0.900000	0.104966
cretaceous-slow-0	83	12566802	0.940000	0.082350
cretaceous-slow-0	85	11090474	0.960000	0.142828
cretaceous-slow-0	88	67167008	0.950000	0.135476
cretaceous-slow-0	89	51575662	0.550000	0.277641
cretaceous-slow-0	90	23721483	1.000000	0.000000
cretaceous-slow-0	92	12852561	0.900000	0.137406
cretaceous-slow-0	94	5647468	0.970000	0.107320
cretaceous-slow-0	97	28874246	0.700000	0.118265
cretaceous-slow-0	99	26322095	0.850000	0.105220
cretaceous-slow-0	101	24602736	0.910000	0.097954
cretaceous-slow-0	103	22977038	0.790000	0.145250
cretaceous-slow-0	105	12241380	0.350000	0.186445
cretaceous-slow-0	107	5425163	0.830000	0.143658
cretaceous-slow-0	110	64180161	0.920000	0.155660
cretaceous-slow-0	111	17914577	0.990000	0.052501
cretaceous-slow-0	114	50054347	0.990000	0.090909
cretaceous-slow-0	116	35984966	0.910000	0.088924
cretaceous-slow-0	117	17581078	0.700000	0.139708
cretaceous-slow-0	119	11430000	0.960000	0.053858
cretaceous-slow-0	122	35591135	0.910000	0.077864
cretaceous-slow-0	123	11969008	0.650000	0.146189
cretaceous-slow-0	125	8329197	0.920000	0.105170
cretaceous-slow-0	128	23742009	0.940000	0.101632
cretaceous-slow-0	130	22107642	0.820000	0.125994
cretaceous-slow-0	131	19766683	0.810000	0.153225
cretaceous-slow-0	134	9269853	0.560000	0.203645
cretaceous-slow-0	136	8282037	0.580000	0.203645
cretaceous-slow-0	138	5313665	0.800000	0.157552
cretaceous-slow-1	0	133937982	0.380000	0.229557
cretaceous-slow-1	1	103001503	0.000000	0.367401
cretaceous-slow-1	2	58934065	0.340000	0.209840
cretaceous-slow-1	4	29239772	0.830000	0.105254
cretaceous-slow-1	6	25532913	0.580000	0.157095
