# results from simulated data from project "project.tab"
# date: 2024-05-30T11:42:06-03:00
tree	node	age	pixels	farthest
jurassic-avg-0	0	196051376	0.570000	0.089209
jurassic-avg-0	1	156710425	0.550000	0.088541
jurassic-avg-0	2	58166994	0.450000	0.161068
jurassic-avg-0	4	2294296	0.660000	0.121198
jurassic-avg-0	6	178694	0.950000	0.058536
jurassic-avg-0	9	144469418	0.650000	0.118968
jurassic-avg-0	10	20478716	1.000000	0.000000
jurassic-avg-0	13	57987769	0.000000	0.439862
jurassic-avg-0	14	8875372	0.770000	0.114555
jurassic-avg-0	17	4992738	1.000000	0.000000
jurassic-avg-0	20	163253916	0.150000	0.216829
jurassic-avg-0	21	142797726	0.010000	0.430969
jurassic-avg-0	22	34898657	0.000000	0.437035
jurassic-avg-0	25	75888703	0.140000	0.232320
jurassic-avg-0	26	73676155	0.160000	0.210716
jurassic-avg-0	28	63622859	0.090000	0.245893
jurassic-avg-0	31	68533261	1.000000	0.000000
jurassic-avg-0	32	18974417	0.070000	0.322016
jurassic-avg-0	34	8594752	1.000000	0.000000
jurassic-avg-0	36	3908151	0.960000	0.072030
jurassic-avg-0	39	52833585	1.000000	0.000000
jurassic-avg-0	40	30529807	1.000000	0.000000
jurassic-avg-0	42	6614106	0.980000	0.055629
jurassic-avg-0	45	45954957	0.790000	0.107746
jurassic-avg-0	47	38627174	0.360000	0.181675
jurassic-avg-0	49	10155994	0.870000	0.099659
jurassic-avg-0	52	153986557	0.050000	0.278747
jurassic-avg-0	53	102587301	0.920000	0.071654
jurassic-avg-0	54	70800141	1.000000	0.000000
jurassic-avg-0	56	42412531	1.000000	0.000000
jurassic-avg-0	58	15742558	1.000000	0.000000
jurassic-avg-0	61	85149260	0.950000	0.052419
jurassic-avg-0	62	51669437	0.320000	0.241611
jurassic-avg-0	65	61997331	1.000000	0.000000
jurassic-avg-0	67	44270307	1.000000	0.000000
jurassic-avg-0	69	17727014	0.980000	0.052375
jurassic-avg-0	72	101651619	0.020000	0.263833
jurassic-avg-0	73	90301026	0.630000	0.128813
jurassic-avg-0	74	28741611	0.850000	0.081949
jurassic-avg-0	76	8075240	0.800000	0.103944
jurassic-avg-0	79	50074347	0.650000	0.104731
jurassic-avg-0	80	23470985	1.000000	0.000000
jurassic-avg-0	83	13722652	1.000000	0.000000
jurassic-avg-0	86	88629390	0.950000	0.052371
jurassic-avg-0	87	74230734	0.310000	0.113565
jurassic-avg-0	89	41751675	0.860000	0.094370
jurassic-avg-0	91	27804836	1.000000	0.000000
jurassic-avg-0	92	6562663	1.000000	0.000000
jurassic-avg-0	95	156153	0.960000	0.094370
jurassic-avg-0	98	88073559	1.000000	0.000000
jurassic-avg-0	99	29034165	1.000000	0.000000
jurassic-avg-0	100	27931009	0.990000	0.052373
jurassic-avg-0	103	8627066	1.000000	0.000000
jurassic-avg-0	106	69615551	0.440000	0.207071
jurassic-avg-0	107	5693344	1.000000	0.000000
jurassic-avg-0	110	55010452	0.190000	0.238778
