# results from simulated data from project "project.tab"
# date: 2024-05-30T11:42:15-03:00
tree	node	age	pixels	farthest
jurassic-fast-0	0	168199166	0.920000	0.052528
jurassic-fast-0	1	162445733	0.860000	0.054200
jurassic-fast-0	2	90202427	0.960000	0.052417
jurassic-fast-0	3	76179540	0.780000	0.081744
jurassic-fast-0	4	34222582	0.920000	0.052633
jurassic-fast-0	7	7837412	0.030000	0.338168
jurassic-fast-0	10	59134879	0.860000	0.115353
jurassic-fast-0	11	33195235	1.000000	0.000000
jurassic-fast-0	14	45339307	0.100000	0.164605
jurassic-fast-0	16	25989028	0.000000	0.849779
jurassic-fast-0	19	142069882	0.780000	0.055903
jurassic-fast-0	20	80269520	0.890000	0.095470
jurassic-fast-0	22	38052827	0.400000	0.217808
jurassic-fast-0	24	13990934	1.000000	0.000000
jurassic-fast-0	27	73696911	1.000000	0.000000
jurassic-fast-0	29	60676158	0.710000	0.067147
jurassic-fast-0	30	42341764	0.870000	0.105393
jurassic-fast-0	31	13375194	1.000000	0.000000
jurassic-fast-0	33	3652642	0.050000	0.244763
jurassic-fast-0	36	40580847	1.000000	0.000000
jurassic-fast-0	37	23984861	1.000000	0.000000
jurassic-fast-0	40	14688425	0.000000	0.638629
jurassic-fast-0	43	40121575	0.920000	0.104831
jurassic-fast-0	44	23775569	0.000000	0.748375
jurassic-fast-0	46	19238989	0.000000	0.351010
jurassic-fast-0	49	13625305	0.990000	0.052459
jurassic-fast-0	50	13026703	0.390000	0.234094
jurassic-fast-0	53	10752322	0.030000	0.314661
jurassic-fast-0	54	5688892	0.990000	0.052501
jurassic-fast-0	57	3483764	1.000000	0.000000
jurassic-fast-0	60	142940466	0.640000	0.052529
jurassic-fast-0	61	125037703	0.780000	0.119329
jurassic-fast-0	62	8246911	1.000000	0.000000
jurassic-fast-0	65	86670483	0.970000	0.052288
jurassic-fast-0	67	67425589	0.910000	0.052546
jurassic-fast-0	69	3425109	0.130000	0.267844
jurassic-fast-0	72	141301135	0.960000	0.052401
jurassic-fast-0	73	107589609	0.980000	0.052263
jurassic-fast-0	74	69272423	1.000000	0.000000
jurassic-fast-0	76	61634505	1.000000	0.000000
jurassic-fast-0	78	11872561	0.200000	0.189059
jurassic-fast-0	80	7735904	0.670000	0.267027
jurassic-fast-0	83	99097781	0.760000	0.053221
jurassic-fast-0	84	64006528	1.000000	0.000000
jurassic-fast-0	85	21972054	0.980000	0.052546
jurassic-fast-0	88	27566131	0.170000	0.135294
jurassic-fast-0	89	12661829	0.010000	0.349552
jurassic-fast-0	92	2930131	0.020000	0.363820
