# results from simulated data from project "project.tab"
# date: 2024-05-30T11:42:02-03:00
tree	node	age	pixels	farthest
jurassic-slow-0	0	167330446	0.440000	0.169699
jurassic-slow-0	1	151697251	0.990000	0.052342
jurassic-slow-0	2	26622999	0.510000	0.162271
jurassic-slow-0	5	118533407	0.450000	0.243813
jurassic-slow-0	6	81290774	0.960000	0.104727
jurassic-slow-0	8	28069650	0.170000	0.229748
jurassic-slow-0	10	5925792	0.890000	0.138075
jurassic-slow-0	13	84488999	0.390000	0.200929
jurassic-slow-0	14	10112148	0.670000	0.170579
jurassic-slow-0	17	74617611	0.060000	0.327043
jurassic-slow-0	18	30251524	0.910000	0.106391
jurassic-slow-0	20	8391539	0.960000	0.094796
jurassic-slow-0	23	68494607	0.320000	0.273918
jurassic-slow-0	24	63522393	0.080000	0.318691
jurassic-slow-0	26	61011677	0.020000	0.383594
jurassic-slow-0	29	30618942	0.940000	0.104626
jurassic-slow-0	31	28854126	0.950000	0.104626
jurassic-slow-0	32	22236146	0.980000	0.132081
jurassic-slow-0	34	4453862	0.980000	0.056388
jurassic-slow-0	36	2132200	0.970000	0.124303
jurassic-slow-0	39	15365586	0.840000	0.160461
jurassic-slow-0	41	629011	0.990000	0.083774
jurassic-slow-0	43	149649	1.000000	0.000000
jurassic-slow-0	46	134381000	0.410000	0.157083
jurassic-slow-0	47	73154776	0.020000	0.372103
jurassic-slow-0	49	26809751	1.000000	0.000000
jurassic-slow-0	52	127637394	0.840000	0.111545
jurassic-slow-0	53	108571032	0.880000	0.152230
jurassic-slow-0	55	67076828	0.000000	0.437763
jurassic-slow-0	56	7708382	0.700000	0.157383
jurassic-slow-0	58	7368951	0.680000	0.157383
jurassic-slow-0	61	58326452	0.020000	0.369206
jurassic-slow-0	62	22342071	0.090000	0.209705
jurassic-slow-0	64	21477565	0.130000	0.209705
jurassic-slow-0	65	12934102	0.370000	0.158073
jurassic-slow-0	68	4362713	0.990000	0.052180
jurassic-slow-0	71	22335087	0.380000	0.211263
jurassic-slow-0	73	9873565	0.920000	0.079998
jurassic-slow-0	75	6567558	0.870000	0.157383
jurassic-slow-0	77	2576539	0.940000	0.064053
jurassic-slow-0	80	75352895	0.950000	0.052501
jurassic-slow-0	81	45689400	0.260000	0.278917
jurassic-slow-0	82	6089460	0.920000	0.052360
jurassic-slow-0	84	1320173	0.930000	0.215914
jurassic-slow-0	87	5142535	0.970000	0.066219
jurassic-slow-0	89	189881	0.980000	0.052320
jurassic-slow-0	92	70578275	0.810000	0.188444
jurassic-slow-0	93	41176928	0.880000	0.092381
jurassic-slow-0	94	30039299	0.980000	0.052401
jurassic-slow-0	97	5359836	0.950000	0.093528
jurassic-slow-0	100	54969523	0.960000	0.053226
jurassic-slow-0	101	16325599	0.940000	0.105883
jurassic-slow-0	103	9424146	0.960000	0.058253
jurassic-slow-0	106	17512522	0.880000	0.105267
jurassic-slow-0	108	6247245	0.970000	0.109445
jurassic-slow-0	110	1485722	0.940000	0.092265
jurassic-slow-1	0	172661044	0.000000	0.716070
jurassic-slow-1	1	86228527	0.710000	0.127469
jurassic-slow-1	3	74857084	0.810000	0.103944
jurassic-slow-1	4	57529561	0.960000	0.073072
jurassic-slow-1	6	3364532	0.950000	0.055175
jurassic-slow-1	9	33264791	0.780000	0.207538
jurassic-slow-1	10	24459146	0.750000	0.129374
