# results from simulated data from project "project.tab"
# date: 2024-05-29T19:01:34-03:00
tree	node	age	pixels	farthest
neogene-avg-0	0	7765059	0.900000	0.110495
neogene-avg-0	1	7412327	0.670000	0.177937
neogene-avg-0	2	2775695	0.520000	0.209440
neogene-avg-0	4	622429	0.790000	0.209585
neogene-avg-0	6	489262	0.820000	0.194782
neogene-avg-0	8	70225	0.800000	0.195812
neogene-avg-0	11	5599926	0.840000	0.099210
neogene-avg-0	12	5337356	0.830000	0.105095
neogene-avg-0	14	1913220	0.920000	0.060178
neogene-avg-0	15	1014550	0.900000	0.069459
neogene-avg-0	18	434007	0.580000	0.172044
neogene-avg-0	20	275187	0.670000	0.213517
neogene-avg-0	23	2783127	0.600000	0.222346
neogene-avg-0	24	1806507	0.930000	0.103985
neogene-avg-0	26	1420331	0.920000	0.052801
neogene-avg-0	28	161244	0.800000	0.166810
neogene-avg-0	31	1794290	0.840000	0.157833
neogene-avg-0	32	1737888	0.810000	0.107087
neogene-avg-0	35	114845	0.830000	0.107500
neogene-avg-0	38	6867327	0.840000	0.073474
neogene-avg-0	39	3954516	0.870000	0.056849
neogene-avg-0	41	2778363	0.570000	0.170133
neogene-avg-0	42	2271416	0.700000	0.128828
neogene-avg-0	43	1862754	0.830000	0.137442
neogene-avg-0	46	1308494	0.900000	0.107561
neogene-avg-0	48	213181	0.850000	0.185174
neogene-avg-0	51	1873559	0.800000	0.137442
neogene-avg-0	52	877324	0.850000	0.107104
neogene-avg-0	54	213970	0.890000	0.104354
neogene-avg-0	57	1332519	0.880000	0.093886
neogene-avg-0	59	1247170	0.920000	0.093886
neogene-avg-0	61	737971	0.990000	0.052373
neogene-avg-0	63	263915	0.950000	0.107696
neogene-avg-0	66	4648245	0.390000	0.258818
neogene-avg-0	67	580371	0.770000	0.115701
neogene-avg-0	69	505110	0.780000	0.104743
neogene-avg-0	71	392055	0.880000	0.148030
neogene-avg-0	73	179806	0.880000	0.131301
neogene-avg-0	75	140092	0.890000	0.117820
neogene-avg-0	78	4538713	0.280000	0.174636
neogene-avg-0	79	3207631	0.700000	0.210247
neogene-avg-0	81	1077909	0.740000	0.277743
neogene-avg-0	82	463371	0.820000	0.187100
neogene-avg-0	85	1037951	0.760000	0.277743
neogene-avg-0	87	283249	0.750000	0.133587
neogene-avg-0	89	218495	0.740000	0.134081
neogene-avg-0	92	4122756	0.480000	0.189443
neogene-avg-0	93	1942591	0.810000	0.158562
neogene-avg-0	96	2674650	0.350000	0.166263
neogene-avg-0	97	46575	0.550000	0.211399
neogene-avg-0	100	2397135	0.290000	0.155749
neogene-avg-0	101	1220685	0.830000	0.104760
neogene-avg-0	103	1009585	0.860000	0.111971
neogene-avg-0	105	335770	0.770000	0.132513
neogene-avg-0	108	1485202	0.540000	0.158065
neogene-avg-0	109	1095772	0.810000	0.178016
neogene-avg-0	111	1087083	0.810000	0.178016
neogene-avg-0	114	1026100	0.680000	0.155749
neogene-avg-0	116	262314	0.930000	0.157762
neogene-avg-1	0	9615139	0.700000	0.143300
neogene-avg-1	1	8152550	1.000000	0.000000
neogene-avg-1	2	5150794	0.730000	0.192041
neogene-avg-1	4	1891899	0.930000	0.053521
neogene-avg-1	6	248459	0.870000	0.075617
neogene-avg-1	9	3495419	0.120000	0.296035
neogene-avg-1	11	2348385	0.020000	0.303162
neogene-avg-1	12	926090	0.870000	0.194948
neogene-avg-1	15	347374	0.840000	0.155864
neogene-avg-1	18	9377974	0.770000	0.220998
neogene-avg-1	19	9184420	0.890000	0.139988
neogene-avg-1	20	3396124	0.440000	0.201970
neogene-avg-1	21	2919302	0.170000	0.299906
neogene-avg-1	23	449533	0.700000	0.206709
neogene-avg-1	26	1936206	0.910000	0.092806
neogene-avg-1	28	916837	0.700000	0.200130
neogene-avg-1	30	275590	0.810000	0.114012
neogene-avg-1	33	5137780	0.980000	0.052459
neogene-avg-1	34	1338095	0.970000	0.052439
neogene-avg-1	36	645115	0.810000	0.209715
neogene-avg-1	39	2396482	0.890000	0.128908
neogene-avg-1	40	2253178	0.940000	0.091990
neogene-avg-1	42	928975	0.890000	0.207352
neogene-avg-1	45	559589	0.630000	0.166380
neogene-avg-1	47	297240	0.680000	0.262855
neogene-avg-1	50	8949853	0.370000	0.242420
neogene-avg-1	51	6409795	0.050000	0.377374
neogene-avg-1	52	4842113	0.910000	0.111080
