# results from simulated data from project "project.tab"
# date: 2024-05-30T01:15:19-03:00
tree	node	age	pixels	farthest
paleogene-avg-0	0	52949969	1.000000	0.000000
paleogene-avg-0	1	48010921	1.000000	0.000000
paleogene-avg-0	2	36325410	0.950000	0.058535
paleogene-avg-0	3	28033735	1.000000	0.000000
paleogene-avg-0	6	20503932	0.160000	0.197574
paleogene-avg-0	8	10553898	0.230000	0.143028
paleogene-avg-0	11	30372771	0.410000	0.104834
paleogene-avg-0	12	22828374	1.000000	0.000000
paleogene-avg-0	14	10906104	0.830000	0.081307
paleogene-avg-0	15	3278573	1.000000	0.000000
paleogene-avg-0	18	755475	0.910000	0.157658
paleogene-avg-0	21	27268911	0.950000	0.080892
paleogene-avg-0	22	25850282	1.000000	0.000000
paleogene-avg-0	23	192767	0.970000	0.085719
paleogene-avg-0	26	12935253	0.520000	0.171839
paleogene-avg-0	28	6506544	0.070000	0.417132
paleogene-avg-0	31	5661206	0.550000	0.230029
paleogene-avg-0	32	3837249	0.540000	0.209694
paleogene-avg-0	35	2173584	0.970000	0.067980
paleogene-avg-0	37	1588254	1.000000	0.000000
paleogene-avg-0	40	41824698	0.000000	0.479929
paleogene-avg-0	41	32013117	0.990000	0.052319
paleogene-avg-0	42	4040445	1.000000	0.000000
paleogene-avg-0	44	1602633	0.980000	0.081260
paleogene-avg-0	47	25799897	0.820000	0.151619
paleogene-avg-0	48	998423	0.910000	0.131087
paleogene-avg-0	51	21505381	1.000000	0.000000
paleogene-avg-0	52	18444786	0.990000	0.052422
paleogene-avg-0	54	6533491	0.990000	0.052005
paleogene-avg-0	56	5947956	0.900000	0.144123
paleogene-avg-0	57	4342054	0.670000	0.170209
paleogene-avg-0	60	2428730	0.270000	0.262027
paleogene-avg-0	63	20657311	1.000000	0.000000
paleogene-avg-0	64	17817094	0.870000	0.090124
paleogene-avg-0	66	14122083	1.000000	0.000000
paleogene-avg-0	67	7828188	0.560000	0.123748
paleogene-avg-0	70	9379404	0.310000	0.251775
paleogene-avg-0	71	9197271	0.730000	0.171764
paleogene-avg-0	74	2955442	0.030000	0.473622
paleogene-avg-0	76	868133	0.860000	0.182621
paleogene-avg-0	79	17440079	0.000000	0.403298
paleogene-avg-0	80	13351603	0.560000	0.192465
paleogene-avg-0	82	8267134	0.620000	0.225649
paleogene-avg-0	84	6570455	1.000000	0.000000
paleogene-avg-0	87	13879800	0.710000	0.107553
paleogene-avg-0	89	11574908	0.180000	0.264212
paleogene-avg-0	91	6346512	0.960000	0.164676
paleogene-avg-0	93	6285107	0.960000	0.071939
paleogene-avg-0	96	34183661	0.080000	0.263066
paleogene-avg-0	97	29403608	0.280000	0.212490
paleogene-avg-0	99	27882235	0.380000	0.122462
paleogene-avg-0	101	368355	0.950000	0.158827
paleogene-avg-0	104	29853161	0.170000	0.131770
paleogene-avg-0	105	8214010	0.970000	0.060675
paleogene-avg-0	106	8163926	0.990000	0.052401
paleogene-avg-0	109	1811376	0.920000	0.059377
paleogene-avg-0	112	23503565	0.270000	0.165247
paleogene-avg-0	113	19098703	0.060000	0.213586
paleogene-avg-0	114	5549991	1.000000	0.000000
paleogene-avg-0	117	12693286	1.000000	0.000000
paleogene-avg-0	118	3313205	0.760000	0.161453
paleogene-avg-0	121	7639092	0.790000	0.143325
paleogene-avg-0	122	3363374	0.640000	0.157479
paleogene-avg-0	125	5215448	0.410000	0.144037
paleogene-avg-0	127	4539012	0.350000	0.131509
paleogene-avg-0	130	19828330	0.080000	0.224065
paleogene-avg-0	131	17807131	0.490000	0.156647
paleogene-avg-0	132	16489981	0.380000	0.085950
paleogene-avg-0	135	16626272	0.400000	0.104830
paleogene-avg-0	137	4655597	0.990000	0.052180
paleogene-avg-0	139	280676	0.990000	0.057105
paleogene-avg-0	142	14603044	0.590000	0.107938
paleogene-avg-0	144	7930487	0.480000	0.163995
paleogene-avg-0	145	3974984	0.430000	0.238865
paleogene-avg-0	148	6706699	0.980000	0.052263
paleogene-avg-0	150	2297930	1.000000	0.000000
paleogene-avg-1	0	40861091	0.990000	0.052263
paleogene-avg-1	1	30057595	0.800000	0.072989
paleogene-avg-1	2	7595560	1.000000	0.000000
paleogene-avg-1	4	5802860	1.000000	0.000000
paleogene-avg-1	7	29706299	0.990000	0.052456
paleogene-avg-1	8	10797759	0.830000	0.133968
paleogene-avg-1	11	21473946	0.820000	0.052501
paleogene-avg-1	12	13453941	0.000000	0.344079
paleogene-avg-1	13	9500237	0.000000	0.209543
paleogene-avg-1	15	402315	1.000000	0.000000
paleogene-avg-1	18	12577528	0.000000	0.329887
paleogene-avg-1	19	12024159	0.000000	0.319345
paleogene-avg-1	21	7692966	0.320000	0.328250
paleogene-avg-1	24	2913118	0.000000	0.471555
paleogene-avg-1	26	2825147	0.000000	0.423370
paleogene-avg-1	29	11116067	0.870000	0.086689
paleogene-avg-1	30	11090129	0.900000	0.086689
paleogene-avg-1	31	5911089	0.970000	0.055291
paleogene-avg-1	34	3803152	1.000000	0.000000
paleogene-avg-1	36	1410065	0.960000	0.120553
paleogene-avg-1	39	5410410	1.000000	0.000000
paleogene-avg-1	41	5402282	1.000000	0.000000
paleogene-avg-1	43	4277904	0.990000	0.069496
paleogene-avg-1	45	3949568	1.000000	0.000000
paleogene-avg-1	48	34739449	1.000000	0.000000
paleogene-avg-1	49	23649512	0.990000	0.103944
paleogene-avg-1	50	18690387	1.000000	0.000000
paleogene-avg-1	51	8327665	1.000000	0.000000
paleogene-avg-1	54	12757607	1.000000	0.000000
paleogene-avg-1	56	4767653	1.000000	0.000000
paleogene-avg-1	59	23461215	0.950000	0.052511
paleogene-avg-1	60	1585611	0.970000	0.055728
paleogene-avg-1	63	4852505	1.000000	0.000000
paleogene-avg-1	65	2479429	1.000000	0.000000
paleogene-avg-1	67	998600	0.960000	0.074160
paleogene-avg-1	69	851474	0.930000	0.156647
paleogene-avg-1	72	34559449	1.000000	0.000000
paleogene-avg-1	73	17680975	0.600000	0.231620
paleogene-avg-1	74	16629223	0.630000	0.209442
paleogene-avg-1	75	6440491	0.960000	0.052401
paleogene-avg-1	77	4416507	0.980000	0.056852
paleogene-avg-1	80	4163895	0.970000	0.088493
paleogene-avg-1	82	3883803	0.990000	0.052529
paleogene-avg-1	85	11295564	0.970000	0.058536
