# results from simulated data from project "project.tab"
# date: 2024-05-30T01:15:24-03:00
tree	node	age	pixels	farthest
paleogene-fast-0	0	60249280	0.930000	0.052419
paleogene-fast-0	1	21304540	0.050000	0.261904
paleogene-fast-0	3	21198987	0.010000	0.221659
paleogene-fast-0	4	14890563	0.860000	0.058535
paleogene-fast-0	6	6785135	0.990000	0.052633
paleogene-fast-0	8	1339013	0.990000	0.058152
paleogene-fast-0	11	17797076	0.000000	0.325881
paleogene-fast-0	13	12928780	1.000000	0.000000
paleogene-fast-0	14	9392450	0.210000	0.161152
paleogene-fast-0	17	11162854	1.000000	0.000000
paleogene-fast-0	19	6200136	0.430000	0.085676
paleogene-fast-0	22	59622879	1.000000	0.000000
paleogene-fast-0	23	32290896	0.080000	0.245867
paleogene-fast-0	24	5449463	0.370000	0.209765
paleogene-fast-0	26	5170481	0.050000	0.262027
paleogene-fast-0	28	5629	0.960000	0.139850
paleogene-fast-0	31	27925262	0.180000	0.171223
paleogene-fast-0	32	4167238	1.000000	0.000000
paleogene-fast-0	34	881000	0.990000	0.055008
paleogene-fast-0	37	17797908	0.520000	0.104630
paleogene-fast-0	38	3351793	1.000000	0.000000
paleogene-fast-0	41	11124692	1.000000	0.000000
paleogene-fast-0	42	8705970	1.000000	0.000000
paleogene-fast-0	45	1623996	0.950000	0.056192
paleogene-fast-0	48	49633982	0.460000	0.177242
paleogene-fast-0	49	30909069	0.930000	0.057730
paleogene-fast-0	50	22529714	0.860000	0.062827
paleogene-fast-0	52	1648617	0.960000	0.095085
paleogene-fast-0	55	21222042	0.070000	0.216342
paleogene-fast-0	56	14255130	1.000000	0.000000
paleogene-fast-0	58	9084776	1.000000	0.000000
paleogene-fast-0	61	14811943	0.990000	0.052342
paleogene-fast-0	62	8185910	0.180000	0.137590
paleogene-fast-0	65	3490389	0.800000	0.139134
paleogene-fast-0	66	576888	0.960000	0.101537
paleogene-fast-0	69	3155776	1.000000	0.000000
paleogene-fast-0	71	1412081	1.000000	0.000000
paleogene-fast-0	74	31383850	1.000000	0.000000
paleogene-fast-0	75	280231	0.920000	0.106830
paleogene-fast-0	78	29672585	0.990000	0.052125
paleogene-fast-0	79	28408815	1.000000	0.000000
paleogene-fast-0	80	7828973	0.970000	0.056438
paleogene-fast-0	82	6797509	1.000000	0.000000
paleogene-fast-0	85	25093217	0.100000	0.206996
paleogene-fast-0	86	16463748	0.080000	0.260553
paleogene-fast-0	89	11923765	0.340000	0.188383
paleogene-fast-0	92	28406643	0.110000	0.157208
paleogene-fast-0	94	9959246	1.000000	0.000000
paleogene-fast-0	96	9448029	0.990000	0.052288
paleogene-fast-0	97	6276533	1.000000	0.000000
paleogene-fast-0	98	3718969	0.990000	0.052319
paleogene-fast-0	101	3394680	0.970000	0.086701
paleogene-fast-0	104	7940315	0.400000	0.163977
paleogene-fast-0	105	7466683	0.270000	0.322083
paleogene-fast-0	107	1263476	0.990000	0.052342
paleogene-fast-0	110	4002939	1.000000	0.000000
paleogene-fast-0	112	2547838	0.010000	0.318800
paleogene-fast-1	0	52579307	1.000000	0.000000
paleogene-fast-1	2	49400145	1.000000	0.000000
paleogene-fast-1	3	22023417	1.000000	0.000000
paleogene-fast-1	4	13211029	1.000000	0.000000
paleogene-fast-1	6	3731708	0.860000	0.056375
paleogene-fast-1	9	16720715	0.830000	0.062188
paleogene-fast-1	10	6328734	0.970000	0.075510
paleogene-fast-1	13	11675652	0.360000	0.138742
paleogene-fast-1	14	7289546	0.880000	0.056778
paleogene-fast-1	17	3973818	0.820000	0.107473
paleogene-fast-1	19	2252247	0.000000	0.423837
paleogene-fast-1	22	47876944	1.000000	0.000000
paleogene-fast-1	23	46771002	1.000000	0.000000
paleogene-fast-1	24	42080229	0.610000	0.166054
paleogene-fast-1	25	16858458	0.990000	0.052122
paleogene-fast-1	27	4210416	0.010000	0.336882
paleogene-fast-1	29	1995874	1.000000	0.000000
paleogene-fast-1	32	6982707	1.000000	0.000000
