# results from simulated data from project "project.tab"
# date: 2024-05-30T01:15:17-03:00
tree	node	age	pixels	farthest
paleogene-slow-0	0	24432119	0.110000	0.428187
paleogene-slow-0	1	16063170	0.140000	0.323248
paleogene-slow-0	2	14710081	0.430000	0.358333
paleogene-slow-0	4	11336347	0.930000	0.358333
paleogene-slow-0	6	2020974	0.840000	0.413566
paleogene-slow-0	9	11783342	0.940000	0.358333
paleogene-slow-0	10	3770223	0.830000	0.338330
paleogene-slow-0	11	1401141	0.810000	0.373390
paleogene-slow-0	14	605171	0.880000	0.323248
paleogene-slow-0	17	1725150	0.840000	0.428187
paleogene-slow-0	19	681299	0.850000	0.371338
paleogene-slow-0	21	56166	0.850000	0.371338
paleogene-slow-0	24	15714164	0.290000	0.325384
paleogene-slow-0	25	9244525	0.890000	0.358333
paleogene-slow-0	26	8440464	0.880000	0.327744
paleogene-slow-0	27	5179494	0.810000	0.390742
paleogene-slow-0	30	356379	0.510000	0.333250
paleogene-slow-0	33	9154821	0.890000	0.327744
paleogene-slow-0	34	5823654	0.810000	0.358333
paleogene-slow-0	36	1543737	0.790000	0.333250
paleogene-slow-0	39	3571458	0.740000	0.378437
paleogene-slow-0	41	2989735	0.740000	0.333250
paleogene-slow-0	43	200123	0.720000	0.276260
paleogene-slow-0	46	15415908	0.290000	0.325384
paleogene-slow-0	47	14926189	0.280000	0.325384
paleogene-slow-0	48	11640816	0.930000	0.428187
paleogene-slow-0	50	7066387	0.860000	0.420751
paleogene-slow-0	52	3832866	0.670000	0.420751
paleogene-slow-0	55	7205660	0.960000	0.352272
paleogene-slow-0	57	5916211	0.930000	0.352272
paleogene-slow-0	58	3058202	0.790000	0.255639
paleogene-slow-0	60	2912134	0.740000	0.240408
paleogene-slow-0	62	1492191	0.850000	0.206860
paleogene-slow-0	64	556306	0.790000	0.183357
paleogene-slow-0	67	5565979	0.650000	0.327744
paleogene-slow-0	69	2282869	0.840000	0.240408
paleogene-slow-0	70	2034192	0.840000	0.182478
paleogene-slow-0	73	558606	0.850000	0.167421
paleogene-slow-0	75	441686	0.850000	0.158434
paleogene-slow-0	78	13974155	0.800000	0.376577
paleogene-slow-0	79	4638485	0.770000	0.371338
paleogene-slow-0	81	4384059	0.770000	0.371338
paleogene-slow-0	83	1400239	0.800000	0.304878
paleogene-slow-0	85	390701	0.840000	0.303398
paleogene-slow-0	88	10277616	0.940000	0.428187
paleogene-slow-0	89	4484687	0.780000	0.423928
paleogene-slow-0	90	4306995	0.780000	0.423928
paleogene-slow-0	92	1727734	0.810000	0.373390
paleogene-slow-0	95	2791158	0.790000	0.420751
paleogene-slow-0	97	1214580	0.850000	0.373390
paleogene-slow-0	100	4890559	0.790000	0.376577
paleogene-slow-0	101	836513	0.730000	0.323248
paleogene-slow-0	103	430604	0.700000	0.323248
paleogene-slow-0	106	1266985	0.660000	0.325384
paleogene-slow-0	108	1172192	0.660000	0.325384
paleogene-slow-0	110	1007865	0.660000	0.325384
paleogene-slow-1	0	33161173	0.230000	0.285552
paleogene-slow-1	1	29645806	0.190000	0.269516
paleogene-slow-1	2	13908542	0.280000	0.305411
paleogene-slow-1	4	7369859	0.190000	0.205078
paleogene-slow-1	6	2963858	0.530000	0.183466
paleogene-slow-1	7	2051899	0.530000	0.220872
paleogene-slow-1	10	1383395	0.540000	0.220872
paleogene-slow-1	11	957127	0.540000	0.220872
paleogene-slow-1	14	269074	0.540000	0.220872
paleogene-slow-1	17	28375860	0.150000	0.245526
paleogene-slow-1	18	24589316	0.270000	0.286972
paleogene-slow-1	19	11232698	0.230000	0.209559
paleogene-slow-1	22	20363499	0.270000	0.278403
paleogene-slow-1	24	18527136	0.150000	0.329069
paleogene-slow-1	26	9438717	0.250000	0.242584
paleogene-slow-1	28	2652976	0.540000	0.178672
paleogene-slow-1	30	253557	0.530000	0.220872
paleogene-slow-1	33	18674570	0.350000	0.155998
paleogene-slow-1	34	3289398	0.120000	0.164454
paleogene-slow-1	37	17631653	0.360000	0.155998
paleogene-slow-1	38	4974008	0.160000	0.273746
paleogene-slow-1	40	1338487	0.240000	0.265615
paleogene-slow-1	43	10813682	0.350000	0.164214
paleogene-slow-1	44	1791551	0.520000	0.174087
paleogene-slow-1	47	6592694	0.320000	0.191598
paleogene-slow-1	49	6316790	0.310000	0.191598
paleogene-slow-1	50	4088479	0.410000	0.141923
paleogene-slow-1	52	3850820	0.410000	0.141923
paleogene-slow-1	55	5522514	0.380000	0.164574
paleogene-slow-1	56	3900184	0.410000	0.164214
paleogene-slow-1	58	3412667	0.410000	0.164214
paleogene-slow-1	61	2997704	0.400000	0.174087
paleogene-slow-1	63	1473662	0.400000	0.164454
paleogene-slow-1	66	26463814	0.070000	0.325334
paleogene-slow-1	67	18001082	0.140000	0.325334
paleogene-slow-1	68	7109576	0.110000	0.305411
paleogene-slow-1	71	15473968	0.090000	0.227445
paleogene-slow-1	73	11878061	0.130000	0.285552
paleogene-slow-1	74	6537849	0.340000	0.258728
paleogene-slow-1	76	3142651	0.460000	0.211234
paleogene-slow-1	78	1796940	0.460000	0.211234
paleogene-slow-1	81	6278023	0.050000	0.350545
paleogene-slow-1	83	4019850	0.050000	0.347509
paleogene-slow-1	85	1481289	0.050000	0.378045
paleogene-slow-1	87	853171	0.050000	0.378045
paleogene-slow-1	90	12815484	0.180000	0.380896
paleogene-slow-1	91	12069133	0.180000	0.347509
paleogene-slow-1	92	285004	0.260000	0.164214
paleogene-slow-1	95	11045223	0.150000	0.350545
paleogene-slow-1	97	4841495	0.150000	0.378045
paleogene-slow-1	99	2674105	0.170000	0.378045
paleogene-slow-1	102	11440189	0.200000	0.379835
paleogene-slow-1	103	9335563	0.300000	0.328648
paleogene-slow-1	106	7487590	0.350000	0.344404
paleogene-slow-1	107	4593473	0.430000	0.341144
paleogene-slow-1	109	3066866	0.430000	0.421964
paleogene-slow-1	112	6718597	0.340000	0.344404
paleogene-slow-1	113	3682168	0.320000	0.370066
paleogene-slow-1	115	3287765	0.320000	0.370066
paleogene-slow-1	116	2212635	0.320000	0.370066
paleogene-slow-1	117	1940183	0.320000	0.370066
paleogene-slow-1	120	76055	0.310000	0.370066
paleogene-slow-1	123	2367168	0.320000	0.370066
paleogene-slow-1	125	1329234	0.320000	0.370066
paleogene-slow-1	127	1243271	0.320000	0.370066
paleogene-slow-1	129	1003888	0.320000	0.370066
paleogene-slow-1	132	6376791	0.340000	0.344404
paleogene-slow-1	133	5461835	0.330000	0.344404
paleogene-slow-1	136	6064784	0.340000	0.344404
paleogene-slow-1	137	4762743	0.300000	0.341144
paleogene-slow-1	139	3066040	0.320000	0.337470
paleogene-slow-1	142	5625976	0.330000	0.344404
paleogene-slow-1	143	4298659	0.350000	0.370066
paleogene-slow-1	144	2722224	0.350000	0.370066
paleogene-slow-1	147	2213355	0.340000	0.370066
paleogene-slow-1	150	4004615	0.410000	0.370066
paleogene-slow-1	151	146628	0.460000	0.410882
paleogene-slow-1	154	3131024	0.420000	0.370066
paleogene-slow-1	155	1018322	0.430000	0.370066
paleogene-slow-1	158	185016	0.370000	0.370066
paleogene-slow-10	0	65071114	0.090000	0.361946
paleogene-slow-10	1	61819431	0.220000	0.268712
paleogene-slow-10	2	22223210	0.690000	0.248283
paleogene-slow-10	4	2294448	0.670000	0.106934
paleogene-slow-10	7	35682684	0.530000	0.172719
paleogene-slow-10	8	10605672	0.730000	0.174357
paleogene-slow-10	10	9364333	0.750000	0.137860
paleogene-slow-10	12	8510509	0.720000	0.137860
paleogene-slow-10	14	4680591	0.780000	0.157570
paleogene-slow-10	16	3862584	0.740000	0.157086
paleogene-slow-10	19	31850889	0.680000	0.106332
paleogene-slow-10	21	30549215	0.670000	0.127576
paleogene-slow-10	22	1137128	0.830000	0.157833
paleogene-slow-10	25	9120233	0.700000	0.158789
paleogene-slow-10	27	8089213	0.660000	0.155842
paleogene-slow-10	29	804148	0.720000	0.146673
paleogene-slow-10	32	64560503	0.110000	0.361946
paleogene-slow-10	33	48170690	0.330000	0.271082
paleogene-slow-10	34	39662686	0.590000	0.160458
paleogene-slow-10	35	27738378	0.480000	0.210782
paleogene-slow-10	37	5732997	0.730000	0.160458
paleogene-slow-10	39	2763232	0.840000	0.104405
paleogene-slow-10	42	33519110	0.650000	0.214117
paleogene-slow-10	43	13018828	0.510000	0.161371
paleogene-slow-10	44	3679261	0.810000	0.084637
paleogene-slow-10	47	8896760	0.690000	0.209573
paleogene-slow-10	49	7535315	0.730000	0.157598
paleogene-slow-10	52	13684242	0.750000	0.157552
paleogene-slow-10	54	9443111	0.770000	0.157552
paleogene-slow-10	56	9118916	0.760000	0.157552
paleogene-slow-10	57	5965746	0.630000	0.157552
paleogene-slow-10	60	477591	0.870000	0.103944
paleogene-slow-10	63	25990691	0.590000	0.250036
paleogene-slow-10	64	11385719	0.510000	0.158192
paleogene-slow-10	66	10874806	0.540000	0.158192
paleogene-slow-10	69	21995781	0.580000	0.248077
paleogene-slow-10	70	1535312	0.890000	0.186511
paleogene-slow-10	73	19458349	0.640000	0.157270
paleogene-slow-10	74	16734882	0.660000	0.127469
paleogene-slow-10	75	10329720	0.780000	0.104405
paleogene-slow-10	77	7781191	0.660000	0.157833
paleogene-slow-10	80	12564292	0.620000	0.127469
paleogene-slow-10	81	8420097	0.680000	0.190726
paleogene-slow-10	84	6616404	0.660000	0.210902
paleogene-slow-10	87	16311520	0.720000	0.141492
paleogene-slow-10	88	7035659	0.420000	0.170231
paleogene-slow-10	89	5258717	0.380000	0.174812
paleogene-slow-10	92	4723628	0.350000	0.236710
paleogene-slow-10	95	13243504	0.670000	0.177213
paleogene-slow-10	97	11525087	0.710000	0.172693
paleogene-slow-10	99	9449995	0.770000	0.127469
paleogene-slow-10	101	6728164	0.730000	0.104072
paleogene-slow-10	103	5692517	0.720000	0.121081
