# results from simulated data from project "project.tab"
# date: 2024-05-30T13:29:34-03:00
tree	terms	rootAge	lambda	ml-lambda
triassic-avg-0	75	250.814	42.416659	127.832031
triassic-avg-1	95	227.335	15.507033	51.171875
triassic-avg-10	54	248.008	86.625642	207.910156
triassic-avg-11	97	203.825	26.221234	58.496094
triassic-avg-12	91	231.185	33.547779	79.003906
triassic-avg-13	58	227.302	70.795080	110.253906
triassic-avg-14	94	238.141	13.244118	77.539062
triassic-avg-15	74	214.628	35.645333	72.656250
triassic-avg-16	68	206.937	11.823298	50.683594
triassic-avg-17	50	201.207	61.430280	231.347656
triassic-avg-18	53	223.386	30.715682	53.613281
triassic-avg-19	89	238.161	83.754288	204.980469
triassic-avg-2	68	230.741	64.604957	72.656250
triassic-avg-20	58	230.523	28.331433	36.035156
triassic-avg-21	80	239.105	80.207037	206.933594
triassic-avg-22	57	250.833	95.519374	218.652344
triassic-avg-23	68	217.134	11.234266	29.687500
triassic-avg-24	84	205.402	52.720323	123.437500
triassic-avg-25	80	240.279	67.378647	138.085938
triassic-avg-26	73	234.755	81.046549	211.328125
triassic-avg-27	92	214.621	41.896416	114.160156
triassic-avg-28	72	223.000	36.386264	103.417969
triassic-avg-29	53	237.003	13.869510	71.191406
triassic-avg-3	55	220.600	57.415122	115.136719
triassic-avg-30	55	204.134	51.409604	130.761719
triassic-avg-31	79	209.025	96.990008	252.832031
triassic-avg-32	84	217.067	15.723282	59.960938
triassic-avg-33	93	242.914	36.075407	93.164062
triassic-avg-34	71	230.701	37.479312	111.230469
triassic-avg-35	72	250.398	70.865469	154.199219
triassic-avg-36	100	208.796	34.632225	112.695312
triassic-avg-37	72	216.008	28.012844	50.683594
triassic-avg-38	50	234.659	88.582697	125.878906
triassic-avg-39	63	245.759	65.023346	127.343750
triassic-avg-4	74	235.670	85.367859	159.570312
triassic-avg-40	95	234.116	74.280794	171.777344
triassic-avg-41	55	234.118	11.192547	7.714844
triassic-avg-42	52	212.306	83.980073	139.062500
triassic-avg-43	68	217.603	95.332039	217.187500
triassic-avg-44	93	249.666	25.215318	76.562500
triassic-avg-45	53	248.165	39.645158	174.707031
triassic-avg-46	76	217.776	38.285925	92.187500
triassic-avg-47	94	233.486	78.708298	173.730469
triassic-avg-48	89	213.996	93.500454	257.714844
triassic-avg-49	89	208.682	88.982275	170.312500
triassic-avg-5	50	202.212	17.955279	65.332031
triassic-avg-6	72	234.500	52.713997	87.304688
triassic-avg-7	81	248.996	85.072819	156.152344
triassic-avg-8	50	231.913	77.811241	173.242188
triassic-avg-9	65	249.745	95.400340	171.777344
