# simulated lambda of project "project.tab"
# date: 2024-05-27T22:13:54-03:00
tree	lambda
triassic-fast-0	4.070047
triassic-fast-1	7.075675
triassic-fast-10	3.652508
triassic-fast-11	8.765784
triassic-fast-12	4.337673
triassic-fast-13	1.962756
triassic-fast-14	5.662865
triassic-fast-15	3.105113
triassic-fast-16	8.404008
triassic-fast-17	5.257409
triassic-fast-18	6.953436
triassic-fast-19	7.277755
triassic-fast-2	6.634121
triassic-fast-20	1.783221
triassic-fast-21	1.677302
triassic-fast-22	6.926596
triassic-fast-23	3.224140
triassic-fast-24	6.256358
triassic-fast-25	5.261081
triassic-fast-26	1.315713
triassic-fast-27	9.799605
triassic-fast-28	5.954282
triassic-fast-29	4.405942
triassic-fast-3	5.847908
triassic-fast-30	3.858087
triassic-fast-31	1.159809
triassic-fast-32	8.643009
triassic-fast-33	3.663880
triassic-fast-34	2.244754
triassic-fast-35	8.591608
triassic-fast-36	5.143014
triassic-fast-37	9.619008
triassic-fast-38	6.296632
triassic-fast-39	9.985976
triassic-fast-4	4.067801
triassic-fast-40	6.490208
triassic-fast-41	3.511361
triassic-fast-42	8.859903
triassic-fast-43	2.158781
triassic-fast-44	5.733823
triassic-fast-45	3.818796
triassic-fast-46	5.666573
triassic-fast-47	9.035003
triassic-fast-48	5.037161
triassic-fast-49	6.979017
triassic-fast-5	5.250047
triassic-fast-6	7.365743
triassic-fast-7	8.392165
triassic-fast-8	3.313827
triassic-fast-9	9.981339
