# time calibrated phylogenetic trees
# data saved on: 2024-05-27T22:13:54-03:00
tree	node	parent	age	taxon
triassic-fast-0	0	-1	235396318	
triassic-fast-0	1	0	202240711	
triassic-fast-0	2	1	160068752	
triassic-fast-0	3	2	40586073	
triassic-fast-0	4	3	0	Term0
triassic-fast-0	5	3	2716806	
triassic-fast-0	6	5	0	Term1
triassic-fast-0	7	5	0	Term2
triassic-fast-0	8	2	62325065	
triassic-fast-0	9	8	0	Term6
triassic-fast-0	10	8	60832531	
triassic-fast-0	11	10	0	Term3
triassic-fast-0	12	10	12253733	
triassic-fast-0	13	12	0	Term4
triassic-fast-0	14	12	0	Term5
triassic-fast-0	15	1	179449563	
triassic-fast-0	16	15	96527600	
triassic-fast-0	17	16	0	Term7
triassic-fast-0	18	16	0	Term8
triassic-fast-0	19	15	150456583	
triassic-fast-0	20	19	0	Term39
triassic-fast-0	21	19	125686695	
triassic-fast-0	22	21	0	Term38
triassic-fast-0	23	21	110546697	
triassic-fast-0	24	23	96938932	
triassic-fast-0	25	24	77358447	
triassic-fast-0	26	25	0	Term11
triassic-fast-0	27	25	0	Term12
triassic-fast-0	28	24	66050891	
triassic-fast-0	29	28	0	Term10
triassic-fast-0	30	28	0	Term9
triassic-fast-0	31	23	106036108	
triassic-fast-0	32	31	72405184	
triassic-fast-0	33	32	51036501	
triassic-fast-0	34	33	0	Term36
triassic-fast-0	35	33	0	Term37
triassic-fast-0	36	32	34758912	
triassic-fast-0	37	36	26422091	
triassic-fast-0	38	37	0	Term35
triassic-fast-0	39	37	24149758	
triassic-fast-0	40	39	0	Term33
triassic-fast-0	41	39	0	Term34
triassic-fast-0	42	36	23229143	
triassic-fast-0	43	42	0	Term30
triassic-fast-0	44	42	13687220	
triassic-fast-0	45	44	0	Term31
triassic-fast-0	46	44	0	Term32
triassic-fast-0	47	31	96259187	
triassic-fast-0	48	47	0	Term13
triassic-fast-0	49	47	90749872	
triassic-fast-0	50	49	80326807	
triassic-fast-0	51	50	0	Term19
triassic-fast-0	52	50	66877205	
triassic-fast-0	53	52	3673717	
triassic-fast-0	54	53	0	Term14
triassic-fast-0	55	53	0	Term15
triassic-fast-0	56	52	16999303	
triassic-fast-0	57	56	0	Term18
triassic-fast-0	58	56	4095394	
triassic-fast-0	59	58	0	Term16
triassic-fast-0	60	58	0	Term17
triassic-fast-0	61	49	70657905	
triassic-fast-0	62	61	27330986	
triassic-fast-0	63	62	0	Term29
triassic-fast-0	64	62	25536037	
triassic-fast-0	65	64	0	Term27
triassic-fast-0	66	64	0	Term28
triassic-fast-0	67	61	51834762	
triassic-fast-0	68	67	43512923	
triassic-fast-0	69	68	0	Term20
triassic-fast-0	70	68	0	Term21
triassic-fast-0	71	67	25852253	
triassic-fast-0	72	71	7064487	
triassic-fast-0	73	72	0	Term25
triassic-fast-0	74	72	0	Term26
triassic-fast-0	75	71	22129773	
triassic-fast-0	76	75	0	Term24
triassic-fast-0	77	75	3402281	
triassic-fast-0	78	77	0	Term22
triassic-fast-0	79	77	0	Term23
triassic-fast-0	80	0	223600307	
triassic-fast-0	81	80	124381552	
triassic-fast-0	82	81	87766217	
triassic-fast-0	83	82	0	Term89
triassic-fast-0	84	82	47587182	
triassic-fast-0	85	84	0	Term87
triassic-fast-0	86	84	0	Term88
triassic-fast-0	87	81	120443821	
triassic-fast-0	88	87	11070004	
triassic-fast-0	89	88	0	Term82
triassic-fast-0	90	88	0	Term83
triassic-fast-0	91	87	63368825	
triassic-fast-0	92	91	0	Term84
triassic-fast-0	93	91	7228763	
triassic-fast-0	94	93	0	Term85
triassic-fast-0	95	93	0	Term86
triassic-fast-0	96	80	167734021	
triassic-fast-0	97	96	129288702	
triassic-fast-0	98	97	85111169	
triassic-fast-0	99	98	0	Term44
triassic-fast-0	100	98	56725207	
triassic-fast-0	101	100	0	Term40
triassic-fast-0	102	100	35573790	
triassic-fast-0	103	102	0	Term43
triassic-fast-0	104	102	28539206	
triassic-fast-0	105	104	0	Term41
triassic-fast-0	106	104	0	Term42
triassic-fast-0	107	97	94448503	
triassic-fast-0	108	107	0	Term51
triassic-fast-0	109	107	53287442	
triassic-fast-0	110	109	27763695	
triassic-fast-0	111	110	0	Term49
triassic-fast-0	112	110	0	Term50
triassic-fast-0	113	109	33673342	
triassic-fast-0	114	113	0	Term45
triassic-fast-0	115	113	31177747	
triassic-fast-0	116	115	0	Term46
triassic-fast-0	117	115	24975579	
triassic-fast-0	118	117	0	Term47
triassic-fast-0	119	117	0	Term48
triassic-fast-0	120	96	163680315	
triassic-fast-0	121	120	35680677	
triassic-fast-0	122	121	0	Term54
triassic-fast-0	123	121	20752766	
triassic-fast-0	124	123	0	Term52
triassic-fast-0	125	123	0	Term53
triassic-fast-0	126	120	156583651	
triassic-fast-0	127	126	106350005	
triassic-fast-0	128	127	0	Term81
triassic-fast-0	129	127	55023584	
triassic-fast-0	130	129	0	Term77
triassic-fast-0	131	129	49068019	
triassic-fast-0	132	131	0	Term80
triassic-fast-0	133	131	12201678	
triassic-fast-0	134	133	0	Term78
triassic-fast-0	135	133	0	Term79
triassic-fast-0	136	126	154325940	
triassic-fast-0	137	136	94200052	
triassic-fast-0	138	137	0	Term55
triassic-fast-0	139	137	58252684	
triassic-fast-0	140	139	41833932	
triassic-fast-0	141	140	0	Term60
triassic-fast-0	142	140	0	Term61
triassic-fast-0	143	139	46450478	
triassic-fast-0	144	143	0	Term59
triassic-fast-0	145	143	5919547	
triassic-fast-0	146	145	0	Term58
triassic-fast-0	147	145	3229167	
triassic-fast-0	148	147	0	Term56
triassic-fast-0	149	147	0	Term57
triassic-fast-0	150	136	148733913	
triassic-fast-0	151	150	97962480	
triassic-fast-0	152	151	0	Term76
triassic-fast-0	153	151	51285930	
triassic-fast-0	154	153	0	Term72
triassic-fast-0	155	153	9116813	
triassic-fast-0	156	155	0	Term73
triassic-fast-0	157	155	331247	
triassic-fast-0	158	157	0	Term74
triassic-fast-0	159	157	0	Term75
triassic-fast-0	160	150	142409288	
triassic-fast-0	161	160	114964710	
triassic-fast-0	162	161	0	Term70
triassic-fast-0	163	161	0	Term71
triassic-fast-0	164	160	87820654	
triassic-fast-0	165	164	33440299	
triassic-fast-0	166	165	0	Term62
triassic-fast-0	167	165	0	Term63
triassic-fast-0	168	164	50934614	
triassic-fast-0	169	168	0	Term64
triassic-fast-0	170	168	48699353	
triassic-fast-0	171	170	4321646	
triassic-fast-0	172	171	0	Term68
