# results from simulated data from project "project.tab"
# date: 2024-05-30T11:42:19-03:00
tree	terms	rootAge	lambda	ml-lambda
triassic-slow-0	66	241.293	718.743668	1075.097656
triassic-slow-1	77	225.455	155.624829	403.710938
triassic-slow-10	59	212.448	995.007881	3311.425781
triassic-slow-11	89	222.146	480.070273	1109.765625
triassic-slow-12	58	220.388	533.232958	1084.375000
triassic-slow-13	69	201.051	150.068092	286.035156
triassic-slow-14	75	210.149	730.549871	1288.476562
triassic-slow-15	77	245.085	527.131588	1260.644531
triassic-slow-16	96	231.035	678.561566	1422.753906
triassic-slow-17	63	237.734	880.957011	1002.343750
triassic-slow-18	73	218.902	293.192654	761.132812
triassic-slow-19	56	219.160	677.688592	1069.238281
triassic-slow-2	75	204.381	924.872641	3173.242188
triassic-slow-20	77	234.420	804.823191	1274.316406
triassic-slow-21	57	234.373	267.210818	473.535156
triassic-slow-22	51	245.295	282.651182	524.804688
triassic-slow-23	59	219.232	735.006485	1453.515625
triassic-slow-24	92	224.592	591.255169	750.878906
triassic-slow-25	64	219.276	391.762372	602.929688
triassic-slow-26	64	215.165	796.261408	1403.710938
triassic-slow-27	73	242.323	509.631650	1198.632812
triassic-slow-28	72	234.303	319.738125	979.394531
triassic-slow-29	55	210.242	332.627275	626.855469
triassic-slow-3	50	202.419	887.044222	1979.394531
triassic-slow-30	86	224.941	223.510875	532.617188
triassic-slow-31	89	221.524	998.634185	1818.261719
triassic-slow-32	70	248.863	414.497672	742.578125
triassic-slow-33	64	230.763	731.234665	1731.835938
triassic-slow-34	86	214.364	767.609042	1687.890625
triassic-slow-35	79	210.052	238.613414	649.804688
triassic-slow-36	69	242.696	515.353780	847.558594
triassic-slow-37	57	209.338	239.436571	404.687500
triassic-slow-38	65	228.300	734.869628	1584.375000
triassic-slow-39	53	206.713	295.431481	682.031250
triassic-slow-4	78	227.386	272.586124	476.464844
triassic-slow-40	54	213.735	919.016915	1740.136719
triassic-slow-41	62	208.976	524.404942	1268.945312
triassic-slow-42	73	239.116	252.094794	623.437500
triassic-slow-43	61	245.404	567.679484	1308.007812
triassic-slow-44	59	244.425	920.565141	1481.347656
triassic-slow-45	74	240.121	528.814038	977.441406
triassic-slow-46	60	235.931	596.978388	1546.289062
triassic-slow-47	56	212.237	634.591309	1173.730469
triassic-slow-48	74	248.435	540.770477	1413.964844
triassic-slow-49	57	234.575	671.607213	1064.843750
triassic-slow-5	59	249.334	940.818790	1708.886719
triassic-slow-6	61	235.931	614.565490	1816.308594
triassic-slow-7	56	244.553	667.849203	1209.863281
triassic-slow-8	51	209.437	648.521128	1816.308594
triassic-slow-9	85	213.481	733.202257	1575.585938
