# simulated lambda of project "project.tab"
# date: 2024-05-27T22:00:05-03:00
tree	lambda
triassic-slow-0	718.743668
triassic-slow-1	155.624829
triassic-slow-10	995.007881
triassic-slow-11	480.070273
triassic-slow-12	533.232958
triassic-slow-13	150.068092
triassic-slow-14	730.549871
triassic-slow-15	527.131588
triassic-slow-16	678.561566
triassic-slow-17	880.957011
triassic-slow-18	293.192654
triassic-slow-19	677.688592
triassic-slow-2	924.872641
triassic-slow-20	804.823191
triassic-slow-21	267.210818
triassic-slow-22	282.651182
triassic-slow-23	735.006485
triassic-slow-24	591.255169
triassic-slow-25	391.762372
triassic-slow-26	796.261408
triassic-slow-27	509.631650
triassic-slow-28	319.738125
triassic-slow-29	332.627275
triassic-slow-3	887.044222
triassic-slow-30	223.510875
triassic-slow-31	998.634185
triassic-slow-32	414.497672
triassic-slow-33	731.234665
triassic-slow-34	767.609042
triassic-slow-35	238.613414
triassic-slow-36	515.353780
triassic-slow-37	239.436571
triassic-slow-38	734.869628
triassic-slow-39	295.431481
triassic-slow-4	272.586124
triassic-slow-40	919.016915
triassic-slow-41	524.404942
triassic-slow-42	252.094794
triassic-slow-43	567.679484
triassic-slow-44	920.565141
triassic-slow-45	528.814038
triassic-slow-46	596.978388
triassic-slow-47	634.591309
triassic-slow-48	540.770477
triassic-slow-49	671.607213
triassic-slow-5	940.818790
triassic-slow-6	614.565490
triassic-slow-7	667.849203
triassic-slow-8	648.521128
triassic-slow-9	733.202257
