# results from simulated data from project "project.tab"
# date: 2024-06-11T05:01:38-03:00
tree	terms	rootAge	lambda	ml-lambda
cretaceous-avg-0	56	78.532	24.351854	44.824219
cretaceous-avg-1	72	87.448	57.091346	51.660156
cretaceous-avg-10	67	127.570	51.240853	45.800781
cretaceous-avg-11	54	73.214	75.019387	157.617188
cretaceous-avg-12	75	132.693	14.066012	15.039062
cretaceous-avg-13	82	67.452	37.717312	32.128906
cretaceous-avg-14	62	84.134	20.458935	18.945312
cretaceous-avg-15	65	125.221	66.133924	60.937500
cretaceous-avg-16	62	113.641	80.856472	189.355469
cretaceous-avg-17	74	72.025	82.350788	153.710938
cretaceous-avg-18	99	139.096	14.309715	10.156250
cretaceous-avg-19	90	78.649	60.791954	48.242188
cretaceous-avg-2	84	127.592	87.797383	89.746094
cretaceous-avg-20	90	142.651	71.288325	38.964844
cretaceous-avg-21	83	132.548	82.905789	46.777344
cretaceous-avg-22	60	123.016	70.207821	48.242188
cretaceous-avg-23	86	71.018	12.808305	16.503906
cretaceous-avg-24	73	103.168	68.287704	63.867188
cretaceous-avg-25	83	74.928	50.869835	82.421875
cretaceous-avg-26	75	124.064	48.054605	37.988281
cretaceous-avg-27	81	139.626	32.991197	25.781250
cretaceous-avg-28	88	101.287	54.586177	52.148438
cretaceous-avg-29	66	136.036	27.138410	22.363281
cretaceous-avg-3	57	128.682	43.816200	34.570312
cretaceous-avg-30	78	73.759	42.452866	31.640625
cretaceous-avg-31	85	95.717	83.021605	107.812500
cretaceous-avg-32	51	127.016	39.745464	26.757812
cretaceous-avg-33	69	129.699	38.585930	49.218750
cretaceous-avg-34	83	141.902	87.467105	106.835938
cretaceous-avg-35	72	136.487	28.530978	20.410156
cretaceous-avg-36	62	76.135	95.517038	93.652344
cretaceous-avg-37	56	104.385	89.442673	84.375000
cretaceous-avg-38	67	101.894	80.118389	105.371094
cretaceous-avg-39	53	113.197	98.476945	100.976562
cretaceous-avg-4	61	122.505	77.587056	181.054688
cretaceous-avg-40	53	102.335	41.265900	28.222656
cretaceous-avg-41	83	69.153	55.710210	104.394531
cretaceous-avg-42	74	132.424	69.076511	159.082031
cretaceous-avg-43	50	106.878	25.250883	21.386719
cretaceous-avg-44	59	71.285	31.104182	18.457031
cretaceous-avg-45	98	86.447	30.170928	28.222656
cretaceous-avg-46	60	111.147	42.138381	36.523438
cretaceous-avg-47	78	72.504	79.014575	112.207031
cretaceous-avg-48	71	120.615	61.181088	51.171875
cretaceous-avg-49	60	120.879	66.016022	159.082031
cretaceous-avg-5	61	116.992	79.473790	53.613281
cretaceous-avg-6	62	143.694	25.244563	19.433594
cretaceous-avg-7	50	93.198	84.019918	119.531250
cretaceous-avg-8	69	90.464	93.244858	87.304688
cretaceous-avg-9	73	75.118	91.498295	78.027344
