# time calibrated phylogenetic trees
# data saved on: 2024-05-27T21:33:48-03:00
tree	node	parent	age	taxon
cretaceous-avg-0	0	-1	78532285	
cretaceous-avg-0	1	0	70030742	
cretaceous-avg-0	2	1	62566236	
cretaceous-avg-0	3	2	21244035	
cretaceous-avg-0	4	3	6577007	
cretaceous-avg-0	5	4	0	Term4
cretaceous-avg-0	6	4	0	Term5
cretaceous-avg-0	7	3	17347491	
cretaceous-avg-0	8	7	8288793	
cretaceous-avg-0	9	8	0	Term0
cretaceous-avg-0	10	8	0	Term1
cretaceous-avg-0	11	7	1211564	
cretaceous-avg-0	12	11	0	Term2
cretaceous-avg-0	13	11	0	Term3
cretaceous-avg-0	14	2	20627940	
cretaceous-avg-0	15	14	0	Term6
cretaceous-avg-0	16	14	3876372	
cretaceous-avg-0	17	16	0	Term7
cretaceous-avg-0	18	16	3111939	
cretaceous-avg-0	19	18	0	Term8
cretaceous-avg-0	20	18	2465157	
cretaceous-avg-0	21	20	0	Term9
cretaceous-avg-0	22	20	991520	
cretaceous-avg-0	23	22	0	Term10
cretaceous-avg-0	24	22	0	Term11
cretaceous-avg-0	25	1	41649498	
cretaceous-avg-0	26	25	35199476	
cretaceous-avg-0	27	26	0	Term24
cretaceous-avg-0	28	26	23323190	
cretaceous-avg-0	29	28	0	Term23
cretaceous-avg-0	30	28	5294612	
cretaceous-avg-0	31	30	0	Term21
cretaceous-avg-0	32	30	0	Term22
cretaceous-avg-0	33	25	34455249	
cretaceous-avg-0	34	33	0	Term20
cretaceous-avg-0	35	33	25336226	
cretaceous-avg-0	36	35	0	Term19
cretaceous-avg-0	37	35	21888475	
cretaceous-avg-0	38	37	0	Term18
cretaceous-avg-0	39	37	18063139	
cretaceous-avg-0	40	39	2833146	
cretaceous-avg-0	41	40	0	Term16
cretaceous-avg-0	42	40	0	Term17
cretaceous-avg-0	43	39	4109713	
cretaceous-avg-0	44	43	1866087	
cretaceous-avg-0	45	44	0	Term12
cretaceous-avg-0	46	44	0	Term13
cretaceous-avg-0	47	43	1764176	
cretaceous-avg-0	48	47	0	Term14
cretaceous-avg-0	49	47	0	Term15
cretaceous-avg-0	50	0	43325985	
cretaceous-avg-0	51	50	42870458	
cretaceous-avg-0	52	51	0	Term55
cretaceous-avg-0	53	51	24702026	
cretaceous-avg-0	54	53	18796117	
cretaceous-avg-0	55	54	4560510	
cretaceous-avg-0	56	55	0	Term50
cretaceous-avg-0	57	55	0	Term51
cretaceous-avg-0	58	54	16300877	
cretaceous-avg-0	59	58	0	Term54
cretaceous-avg-0	60	58	1685611	
cretaceous-avg-0	61	60	0	Term52
cretaceous-avg-0	62	60	0	Term53
cretaceous-avg-0	63	53	21689114	
cretaceous-avg-0	64	63	8733877	
cretaceous-avg-0	65	64	0	Term47
cretaceous-avg-0	66	64	7485533	
cretaceous-avg-0	67	66	0	Term48
cretaceous-avg-0	68	66	0	Term49
cretaceous-avg-0	69	63	17737156	
cretaceous-avg-0	70	69	0	Term43
cretaceous-avg-0	71	69	15257992	
cretaceous-avg-0	72	71	0	Term44
cretaceous-avg-0	73	71	3801297	
cretaceous-avg-0	74	73	0	Term45
cretaceous-avg-0	75	73	0	Term46
cretaceous-avg-0	76	50	37530485	
cretaceous-avg-0	77	76	28694536	
cretaceous-avg-0	78	77	0	Term35
cretaceous-avg-0	79	77	25206787	
cretaceous-avg-0	80	79	0	Term42
cretaceous-avg-0	81	79	24739655	
