# simulated lambda of project "project.tab"
# date: 2024-05-27T21:37:45-03:00
tree	lambda
cretaceous-fast-0	8.046940
cretaceous-fast-1	8.417153
cretaceous-fast-10	3.410170
cretaceous-fast-11	7.216258
cretaceous-fast-12	9.825951
cretaceous-fast-13	8.158242
cretaceous-fast-14	1.094394
cretaceous-fast-15	5.810263
cretaceous-fast-16	4.215354
cretaceous-fast-17	1.557539
cretaceous-fast-18	9.105710
cretaceous-fast-19	2.566150
cretaceous-fast-2	6.028074
cretaceous-fast-20	8.622058
cretaceous-fast-21	2.973748
cretaceous-fast-22	1.878197
cretaceous-fast-23	3.760750
cretaceous-fast-24	3.510079
cretaceous-fast-25	5.927494
cretaceous-fast-26	1.996913
cretaceous-fast-27	4.568386
cretaceous-fast-28	2.863864
cretaceous-fast-29	1.187416
cretaceous-fast-3	9.144760
cretaceous-fast-30	2.971423
cretaceous-fast-31	6.813351
cretaceous-fast-32	8.502173
cretaceous-fast-33	4.160397
cretaceous-fast-34	5.186018
cretaceous-fast-35	3.651955
cretaceous-fast-36	4.139323
cretaceous-fast-37	9.081864
cretaceous-fast-38	5.283251
cretaceous-fast-39	8.117547
cretaceous-fast-4	7.069358
cretaceous-fast-40	2.615179
cretaceous-fast-41	2.721092
cretaceous-fast-42	8.483549
cretaceous-fast-43	8.166396
cretaceous-fast-44	4.940268
cretaceous-fast-45	2.371710
cretaceous-fast-46	3.034782
cretaceous-fast-47	9.774215
cretaceous-fast-48	9.321968
cretaceous-fast-49	8.280998
cretaceous-fast-5	3.569570
cretaceous-fast-6	1.205567
cretaceous-fast-7	3.773251
cretaceous-fast-8	9.371942
cretaceous-fast-9	4.467590
