# time calibrated phylogenetic trees
# data saved on: 2024-05-27T21:37:45-03:00
tree	node	parent	age	taxon
cretaceous-fast-0	0	-1	141049335	
cretaceous-fast-0	1	0	62982360	
cretaceous-fast-0	2	1	9313315	
cretaceous-fast-0	3	2	0	Term64
cretaceous-fast-0	4	2	6231190	
cretaceous-fast-0	5	4	0	Term65
cretaceous-fast-0	6	4	0	Term66
cretaceous-fast-0	7	1	60773319	
cretaceous-fast-0	8	7	16604774	
cretaceous-fast-0	9	8	0	Term55
cretaceous-fast-0	10	8	14014583	
cretaceous-fast-0	11	10	0	Term53
cretaceous-fast-0	12	10	0	Term54
cretaceous-fast-0	13	7	33199465	
cretaceous-fast-0	14	13	27614931	
cretaceous-fast-0	15	14	0	Term58
cretaceous-fast-0	16	14	9776381	
cretaceous-fast-0	17	16	0	Term56
cretaceous-fast-0	18	16	0	Term57
cretaceous-fast-0	19	13	31043507	
cretaceous-fast-0	20	19	13871296	
cretaceous-fast-0	21	20	0	Term62
cretaceous-fast-0	22	20	0	Term63
cretaceous-fast-0	23	19	29696359	
cretaceous-fast-0	24	23	0	Term59
cretaceous-fast-0	25	23	14879474	
cretaceous-fast-0	26	25	0	Term60
cretaceous-fast-0	27	25	0	Term61
cretaceous-fast-0	28	0	126399559	
cretaceous-fast-0	29	28	103998220	
cretaceous-fast-0	30	29	52951343	
cretaceous-fast-0	31	30	24521441	
cretaceous-fast-0	32	31	0	Term35
cretaceous-fast-0	33	31	10368767	
cretaceous-fast-0	34	33	0	Term36
cretaceous-fast-0	35	33	7047914	
cretaceous-fast-0	36	35	0	Term37
cretaceous-fast-0	37	35	0	Term38
cretaceous-fast-0	38	30	23975348	
cretaceous-fast-0	39	38	19363209	
cretaceous-fast-0	40	39	0	Term34
cretaceous-fast-0	41	39	8618989	
cretaceous-fast-0	42	41	0	Term32
cretaceous-fast-0	43	41	0	Term33
cretaceous-fast-0	44	38	9945642	
cretaceous-fast-0	45	44	0	Term29
cretaceous-fast-0	46	44	8612454	
cretaceous-fast-0	47	46	0	Term30
cretaceous-fast-0	48	46	0	Term31
cretaceous-fast-0	49	29	57353240	
cretaceous-fast-0	50	49	45230394	
cretaceous-fast-0	51	50	0	Term39
cretaceous-fast-0	52	50	3099040	
cretaceous-fast-0	53	52	0	Term40
cretaceous-fast-0	54	52	0	Term41
cretaceous-fast-0	55	49	55908086	
cretaceous-fast-0	56	55	45110993	
cretaceous-fast-0	57	56	0	Term52
cretaceous-fast-0	58	56	35122470	
cretaceous-fast-0	59	58	0	Term49
cretaceous-fast-0	60	58	13351926	
cretaceous-fast-0	61	60	0	Term50
cretaceous-fast-0	62	60	0	Term51
cretaceous-fast-0	63	55	54124713	
cretaceous-fast-0	64	63	19734315	
cretaceous-fast-0	65	64	0	Term47
cretaceous-fast-0	66	64	0	Term48
cretaceous-fast-0	67	63	37086739	
cretaceous-fast-0	68	67	0	Term42
cretaceous-fast-0	69	67	36689561	
cretaceous-fast-0	70	69	0	Term43
cretaceous-fast-0	71	69	31791355	
cretaceous-fast-0	72	71	0	Term46
cretaceous-fast-0	73	71	1582643	
cretaceous-fast-0	74	73	0	Term44
cretaceous-fast-0	75	73	0	Term45
cretaceous-fast-0	76	28	114168962	
cretaceous-fast-0	77	76	84712503	
cretaceous-fast-0	78	77	68697756	
cretaceous-fast-0	79	78	64524060	
cretaceous-fast-0	80	79	0	Term19
cretaceous-fast-0	81	79	0	Term20
cretaceous-fast-0	82	78	34524652	
cretaceous-fast-0	83	82	0	Term16
cretaceous-fast-0	84	82	19603158	
cretaceous-fast-0	85	84	0	Term17
cretaceous-fast-0	86	84	0	Term18
cretaceous-fast-0	87	77	63385842	
cretaceous-fast-0	88	87	0	Term21
cretaceous-fast-0	89	87	51422685	
cretaceous-fast-0	90	89	16151743	
cretaceous-fast-0	91	90	0	Term22
cretaceous-fast-0	92	90	7437268	
cretaceous-fast-0	93	92	0	Term23
cretaceous-fast-0	94	92	0	Term24
cretaceous-fast-0	95	89	48916025	
cretaceous-fast-0	96	95	0	Term28
cretaceous-fast-0	97	95	46517223	
cretaceous-fast-0	98	97	0	Term27
cretaceous-fast-0	99	97	37424779	
cretaceous-fast-0	100	99	0	Term25
cretaceous-fast-0	101	99	0	Term26
cretaceous-fast-0	102	76	73119774	
cretaceous-fast-0	103	102	0	Term0
cretaceous-fast-0	104	102	70010741	
