# results from simulated data from project "project.tab"
# date: 2024-06-11T02:35:30-03:00
tree	terms	rootAge	lambda	ml-lambda
cretaceous-slow-0	71	136.518	486.061347	869.042969
cretaceous-slow-1	55	133.938	954.538774	869.531250
cretaceous-slow-10	69	98.982	553.077295	1340.234375
cretaceous-slow-11	59	86.806	998.112917	5371.972656
cretaceous-slow-12	59	122.997	838.559595	1222.070312
cretaceous-slow-13	75	127.222	940.433851	467.187500
cretaceous-slow-14	86	83.170	462.081796	730.859375
cretaceous-slow-15	84	76.118	318.656664	1104.882812
cretaceous-slow-16	72	72.150	953.988510	1531.152344
cretaceous-slow-17	72	77.504	655.264563	474.511719
cretaceous-slow-18	50	127.496	754.951487	506.738281
cretaceous-slow-19	66	118.190	961.599462	2538.476562
cretaceous-slow-2	75	134.412	110.484438	134.667969
cretaceous-slow-20	76	108.151	505.374364	835.351562
cretaceous-slow-21	99	111.639	125.621479	217.187500
cretaceous-slow-22	60	144.601	682.819503	1594.140625
cretaceous-slow-23	51	122.739	856.010428	1268.945312
cretaceous-slow-24	72	88.973	942.238290	4105.859375
cretaceous-slow-25	56	140.074	365.422547	433.496094
cretaceous-slow-26	62	133.175	966.610257	1038.476562
cretaceous-slow-27	95	90.802	539.431779	899.804688
cretaceous-slow-28	81	100.060	997.421455	2466.699219
cretaceous-slow-29	67	104.480	481.860043	985.742188
cretaceous-slow-3	74	142.713	814.219131	2192.773438
cretaceous-slow-30	70	78.083	220.047984	474.023438
cretaceous-slow-31	62	88.794	955.989793	1040.917969
cretaceous-slow-32	78	144.781	754.440880	1363.183594
cretaceous-slow-33	58	111.504	586.914606	799.218750
cretaceous-slow-34	54	122.184	848.176021	2580.468750
cretaceous-slow-35	95	78.747	672.164023	538.964844
cretaceous-slow-36	58	118.706	212.064428	194.726562
cretaceous-slow-37	53	92.545	918.384605	1922.753906
cretaceous-slow-38	62	123.038	801.758017	1278.222656
cretaceous-slow-39	71	141.982	758.286290	788.476562
cretaceous-slow-4	54	73.996	960.465043	4715.234375
cretaceous-slow-40	77	75.916	327.288145	778.710938
cretaceous-slow-41	74	91.365	545.140486	849.023438
cretaceous-slow-42	64	141.339	579.076793	904.199219
cretaceous-slow-43	64	70.551	627.660759	1834.375000
cretaceous-slow-44	64	84.709	131.870932	229.882812
cretaceous-slow-45	90	135.553	253.088686	395.898438
cretaceous-slow-46	62	113.222	426.155110	476.464844
cretaceous-slow-47	50	116.980	881.055152	1044.824219
cretaceous-slow-48	60	85.386	490.954807	899.804688
cretaceous-slow-49	80	77.170	624.981426	1356.347656
cretaceous-slow-5	93	79.419	248.422430	562.402344
cretaceous-slow-6	59	70.014	965.391652	5673.242188
cretaceous-slow-7	88	132.008	699.337001	422.753906
cretaceous-slow-8	99	98.341	673.285457	1884.667969
cretaceous-slow-9	67	134.190	718.311110	1069.726562
