# time calibrated phylogenetic trees
# data saved on: 2024-05-27T21:48:16-03:00
tree	node	parent	age	taxon
jurassic-avg-0	0	-1	196051376	
jurassic-avg-0	1	0	156710425	
jurassic-avg-0	2	1	58166994	
jurassic-avg-0	3	2	0	Term53
jurassic-avg-0	4	2	2294296	
jurassic-avg-0	5	4	0	Term54
jurassic-avg-0	6	4	178694	
jurassic-avg-0	7	6	0	Term55
jurassic-avg-0	8	6	0	Term56
jurassic-avg-0	9	1	144469418	
jurassic-avg-0	10	9	20478716	
jurassic-avg-0	11	10	0	Term57
jurassic-avg-0	12	10	0	Term58
jurassic-avg-0	13	9	57987769	
jurassic-avg-0	14	13	8875372	
jurassic-avg-0	15	14	0	Term61
jurassic-avg-0	16	14	0	Term62
jurassic-avg-0	17	13	4992738	
jurassic-avg-0	18	17	0	Term59
jurassic-avg-0	19	17	0	Term60
jurassic-avg-0	20	0	163253916	
jurassic-avg-0	21	20	142797726	
jurassic-avg-0	22	21	34898657	
jurassic-avg-0	23	22	0	Term37
jurassic-avg-0	24	22	0	Term38
jurassic-avg-0	25	21	75888703	
jurassic-avg-0	26	25	73676155	
jurassic-avg-0	27	26	0	Term50
jurassic-avg-0	28	26	63622859	
jurassic-avg-0	29	28	0	Term51
jurassic-avg-0	30	28	0	Term52
jurassic-avg-0	31	25	68533261	
jurassic-avg-0	32	31	18974417	
jurassic-avg-0	33	32	0	Term39
jurassic-avg-0	34	32	8594752	
jurassic-avg-0	35	34	0	Term40
jurassic-avg-0	36	34	3908151	
jurassic-avg-0	37	36	0	Term41
jurassic-avg-0	38	36	0	Term42
jurassic-avg-0	39	31	52833585	
jurassic-avg-0	40	39	30529807	
jurassic-avg-0	41	40	0	Term49
jurassic-avg-0	42	40	6614106	
jurassic-avg-0	43	42	0	Term47
jurassic-avg-0	44	42	0	Term48
jurassic-avg-0	45	39	45954957	
jurassic-avg-0	46	45	0	Term46
jurassic-avg-0	47	45	38627174	
jurassic-avg-0	48	47	0	Term43
jurassic-avg-0	49	47	10155994	
jurassic-avg-0	50	49	0	Term44
jurassic-avg-0	51	49	0	Term45
jurassic-avg-0	52	20	153986557	
jurassic-avg-0	53	52	102587301	
jurassic-avg-0	54	53	70800141	
jurassic-avg-0	55	54	0	Term36
jurassic-avg-0	56	54	42412531	
jurassic-avg-0	57	56	0	Term33
jurassic-avg-0	58	56	15742558	
jurassic-avg-0	59	58	0	Term34
jurassic-avg-0	60	58	0	Term35
jurassic-avg-0	61	53	85149260	
jurassic-avg-0	62	61	51669437	
jurassic-avg-0	63	62	0	Term27
jurassic-avg-0	64	62	0	Term28
jurassic-avg-0	65	61	61997331	
jurassic-avg-0	66	65	0	Term32
jurassic-avg-0	67	65	44270307	
jurassic-avg-0	68	67	0	Term31
jurassic-avg-0	69	67	17727014	
jurassic-avg-0	70	69	0	Term29
jurassic-avg-0	71	69	0	Term30
jurassic-avg-0	72	52	101651619	
jurassic-avg-0	73	72	90301026	
jurassic-avg-0	74	73	28741611	
jurassic-avg-0	75	74	0	Term6
jurassic-avg-0	76	74	8075240	
jurassic-avg-0	77	76	0	Term4
jurassic-avg-0	78	76	0	Term5
jurassic-avg-0	79	73	50074347	
jurassic-avg-0	80	79	23470985	
jurassic-avg-0	81	80	0	Term2
jurassic-avg-0	82	80	0	Term3
jurassic-avg-0	83	79	13722652	
jurassic-avg-0	84	83	0	Term0
jurassic-avg-0	85	83	0	Term1
jurassic-avg-0	86	72	88629390	
jurassic-avg-0	87	86	74230734	
jurassic-avg-0	88	87	0	Term7
jurassic-avg-0	89	87	41751675	
jurassic-avg-0	90	89	0	Term8
jurassic-avg-0	91	89	27804836	
jurassic-avg-0	92	91	6562663	
jurassic-avg-0	93	92	0	Term11
jurassic-avg-0	94	92	0	Term12
jurassic-avg-0	95	91	156153	
jurassic-avg-0	96	95	0	Term10
jurassic-avg-0	97	95	0	Term9
jurassic-avg-0	98	86	88073559	
jurassic-avg-0	99	98	29034165	
jurassic-avg-0	100	99	27931009	
jurassic-avg-0	101	100	0	Term23
jurassic-avg-0	102	100	0	Term24
jurassic-avg-0	103	99	8627066	
jurassic-avg-0	104	103	0	Term25
jurassic-avg-0	105	103	0	Term26
jurassic-avg-0	106	98	69615551	
jurassic-avg-0	107	106	5693344	
jurassic-avg-0	108	107	0	Term21
jurassic-avg-0	109	107	0	Term22
jurassic-avg-0	110	106	55010452	
jurassic-avg-0	111	110	6878633	
jurassic-avg-0	112	111	0	Term18
jurassic-avg-0	113	111	4162779	
jurassic-avg-0	114	113	0	Term19
jurassic-avg-0	115	113	0	Term20
jurassic-avg-0	116	110	54081494	
jurassic-avg-0	117	116	36300948	
jurassic-avg-0	118	117	0	Term16
jurassic-avg-0	119	117	0	Term17
jurassic-avg-0	120	116	26884755	
jurassic-avg-0	121	120	0	Term13
jurassic-avg-0	122	120	14637073	
jurassic-avg-0	123	122	0	Term14
jurassic-avg-0	124	122	0	Term15
jurassic-avg-1	0	-1	169207346	
jurassic-avg-1	1	0	149692874	
jurassic-avg-1	2	1	965828	
jurassic-avg-1	3	2	0	Term40
jurassic-avg-1	4	2	0	Term41
jurassic-avg-1	5	1	112328925	
jurassic-avg-1	6	5	52880734	
jurassic-avg-1	7	6	0	Term44
jurassic-avg-1	8	6	4617707	
jurassic-avg-1	9	8	0	Term42
jurassic-avg-1	10	8	0	Term43
jurassic-avg-1	11	5	80031808	
jurassic-avg-1	12	11	79873265	
jurassic-avg-1	13	12	66598973	
jurassic-avg-1	14	13	0	Term51
jurassic-avg-1	15	13	0	Term52
jurassic-avg-1	16	12	22293011	
jurassic-avg-1	17	16	0	Term49
jurassic-avg-1	18	16	0	Term50
jurassic-avg-1	19	11	42361091	
jurassic-avg-1	20	19	0	Term45
jurassic-avg-1	21	19	27156225	
jurassic-avg-1	22	21	0	Term48
jurassic-avg-1	23	21	8638175	
jurassic-avg-1	24	23	0	Term46
jurassic-avg-1	25	23	0	Term47
jurassic-avg-1	26	0	161767823	
jurassic-avg-1	27	26	87960594	
jurassic-avg-1	28	27	82697648	
jurassic-avg-1	29	28	0	Term37
jurassic-avg-1	30	28	24479906	
jurassic-avg-1	31	30	0	Term38
