# simulated lambda of project "project.tab"
# date: 2024-05-27T21:42:56-03:00
tree	lambda
jurassic-slow-0	305.053792
jurassic-slow-1	842.217049
jurassic-slow-10	735.222728
jurassic-slow-11	648.075543
jurassic-slow-12	884.031370
jurassic-slow-13	924.908455
jurassic-slow-14	797.231428
jurassic-slow-15	547.319070
jurassic-slow-16	192.353520
jurassic-slow-17	198.585964
jurassic-slow-18	802.611473
jurassic-slow-19	919.936168
jurassic-slow-2	116.289531
jurassic-slow-20	991.000228
jurassic-slow-21	404.545613
jurassic-slow-22	759.394026
jurassic-slow-23	967.081800
jurassic-slow-24	749.171514
jurassic-slow-25	506.635732
jurassic-slow-26	300.184984
jurassic-slow-27	162.163309
jurassic-slow-28	648.072776
jurassic-slow-29	579.217439
jurassic-slow-3	202.330781
jurassic-slow-30	360.193393
jurassic-slow-31	987.164374
jurassic-slow-32	421.907181
jurassic-slow-33	803.953026
jurassic-slow-34	337.940292
jurassic-slow-35	390.562261
jurassic-slow-36	253.205940
jurassic-slow-37	346.091955
jurassic-slow-38	171.621357
jurassic-slow-39	223.567513
jurassic-slow-4	303.578295
jurassic-slow-40	243.758930
jurassic-slow-41	777.301114
jurassic-slow-42	920.087435
jurassic-slow-43	735.276718
jurassic-slow-44	606.830214
jurassic-slow-45	784.387192
jurassic-slow-46	814.170974
jurassic-slow-47	735.097104
jurassic-slow-48	564.731259
jurassic-slow-49	372.036123
jurassic-slow-5	232.888707
jurassic-slow-6	959.331434
jurassic-slow-7	176.776647
jurassic-slow-8	836.435179
jurassic-slow-9	315.456939
