# time calibrated phylogenetic trees
# data saved on: 2024-05-27T21:42:56-03:00
tree	node	parent	age	taxon
jurassic-slow-0	0	-1	167330446	
jurassic-slow-0	1	0	151697251	
jurassic-slow-0	2	1	26622999	
jurassic-slow-0	3	2	0	Term34
jurassic-slow-0	4	2	0	Term35
jurassic-slow-0	5	1	118533407	
jurassic-slow-0	6	5	81290774	
jurassic-slow-0	7	6	0	Term36
jurassic-slow-0	8	6	28069650	
jurassic-slow-0	9	8	0	Term37
jurassic-slow-0	10	8	5925792	
jurassic-slow-0	11	10	0	Term38
jurassic-slow-0	12	10	0	Term39
jurassic-slow-0	13	5	84488999	
jurassic-slow-0	14	13	10112148	
jurassic-slow-0	15	14	0	Term55
jurassic-slow-0	16	14	0	Term56
jurassic-slow-0	17	13	74617611	
jurassic-slow-0	18	17	30251524	
jurassic-slow-0	19	18	0	Term42
jurassic-slow-0	20	18	8391539	
jurassic-slow-0	21	20	0	Term40
jurassic-slow-0	22	20	0	Term41
jurassic-slow-0	23	17	68494607	
jurassic-slow-0	24	23	63522393	
jurassic-slow-0	25	24	0	Term54
jurassic-slow-0	26	24	61011677	
jurassic-slow-0	27	26	0	Term52
jurassic-slow-0	28	26	0	Term53
jurassic-slow-0	29	23	30618942	
jurassic-slow-0	30	29	0	Term51
jurassic-slow-0	31	29	28854126	
jurassic-slow-0	32	31	22236146	
jurassic-slow-0	33	32	0	Term43
jurassic-slow-0	34	32	4453862	
jurassic-slow-0	35	34	0	Term46
jurassic-slow-0	36	34	2132200	
jurassic-slow-0	37	36	0	Term44
jurassic-slow-0	38	36	0	Term45
jurassic-slow-0	39	31	15365586	
jurassic-slow-0	40	39	0	Term47
jurassic-slow-0	41	39	629011	
jurassic-slow-0	42	41	0	Term48
jurassic-slow-0	43	41	149649	
jurassic-slow-0	44	43	0	Term49
jurassic-slow-0	45	43	0	Term50
jurassic-slow-0	46	0	134381000	
jurassic-slow-0	47	46	73154776	
jurassic-slow-0	48	47	0	Term0
jurassic-slow-0	49	47	26809751	
jurassic-slow-0	50	49	0	Term1
jurassic-slow-0	51	49	0	Term2
jurassic-slow-0	52	46	127637394	
jurassic-slow-0	53	52	108571032	
jurassic-slow-0	54	53	0	Term16
jurassic-slow-0	55	53	67076828	
jurassic-slow-0	56	55	7708382	
jurassic-slow-0	57	56	0	Term13
jurassic-slow-0	58	56	7368951	
jurassic-slow-0	59	58	0	Term14
jurassic-slow-0	60	58	0	Term15
jurassic-slow-0	61	55	58326452	
jurassic-slow-0	62	61	22342071	
jurassic-slow-0	63	62	0	Term8
jurassic-slow-0	64	62	21477565	
jurassic-slow-0	65	64	12934102	
jurassic-slow-0	66	65	0	Term11
jurassic-slow-0	67	65	0	Term12
jurassic-slow-0	68	64	4362713	
jurassic-slow-0	69	68	0	Term10
jurassic-slow-0	70	68	0	Term9
jurassic-slow-0	71	61	22335087	
jurassic-slow-0	72	71	0	Term7
jurassic-slow-0	73	71	9873565	
jurassic-slow-0	74	73	0	Term3
jurassic-slow-0	75	73	6567558	
jurassic-slow-0	76	75	0	Term4
jurassic-slow-0	77	75	2576539	
jurassic-slow-0	78	77	0	Term5
jurassic-slow-0	79	77	0	Term6
jurassic-slow-0	80	52	75352895	
