# simulated lambda of project "project.tab"
# date: 2024-05-27T21:19:31-03:00
tree	lambda
neogene-avg-0	60.200359
neogene-avg-1	27.324837
neogene-avg-10	33.634352
neogene-avg-11	88.111338
neogene-avg-12	59.081984
neogene-avg-13	39.840249
neogene-avg-14	65.084932
neogene-avg-15	42.550906
neogene-avg-16	42.095552
neogene-avg-17	10.471979
neogene-avg-18	97.459506
neogene-avg-19	98.825463
neogene-avg-2	86.973604
neogene-avg-20	14.633475
neogene-avg-21	49.690956
neogene-avg-22	57.854530
neogene-avg-23	63.685163
neogene-avg-24	63.074670
neogene-avg-25	26.554588
neogene-avg-26	69.923662
neogene-avg-27	30.989863
neogene-avg-28	39.534754
neogene-avg-29	26.164953
neogene-avg-3	76.783528
neogene-avg-30	44.488880
neogene-avg-31	13.923256
neogene-avg-32	68.524424
neogene-avg-33	27.316054
neogene-avg-34	47.631066
neogene-avg-35	63.562188
neogene-avg-36	98.598751
neogene-avg-37	44.978227
neogene-avg-38	12.988589
neogene-avg-39	19.459195
neogene-avg-4	23.780434
neogene-avg-40	82.051853
neogene-avg-41	58.371217
neogene-avg-42	22.420440
neogene-avg-43	78.416992
neogene-avg-44	81.937053
neogene-avg-45	87.223509
neogene-avg-46	80.075210
neogene-avg-47	27.909911
neogene-avg-48	56.284523
neogene-avg-49	46.520804
neogene-avg-5	11.435710
neogene-avg-6	77.679035
neogene-avg-7	10.463460
neogene-avg-8	68.397170
neogene-avg-9	92.731660
