# time calibrated phylogenetic trees
# data saved on: 2024-05-27T21:19:31-03:00
tree	node	parent	age	taxon
neogene-avg-0	0	-1	7765059	
neogene-avg-0	1	0	7412327	
neogene-avg-0	2	1	2775695	
neogene-avg-0	3	2	0	Term0
neogene-avg-0	4	2	622429	
neogene-avg-0	5	4	0	Term1
neogene-avg-0	6	4	489262	
neogene-avg-0	7	6	0	Term2
neogene-avg-0	8	6	70225	
neogene-avg-0	9	8	0	Term3
neogene-avg-0	10	8	0	Term4
neogene-avg-0	11	1	5599926	
neogene-avg-0	12	11	5337356	
neogene-avg-0	13	12	0	Term5
neogene-avg-0	14	12	1913220	
neogene-avg-0	15	14	1014550	
neogene-avg-0	16	15	0	Term10
neogene-avg-0	17	15	0	Term9
neogene-avg-0	18	14	434007	
neogene-avg-0	19	18	0	Term6
neogene-avg-0	20	18	275187	
neogene-avg-0	21	20	0	Term7
neogene-avg-0	22	20	0	Term8
neogene-avg-0	23	11	2783127	
neogene-avg-0	24	23	1806507	
neogene-avg-0	25	24	0	Term18
neogene-avg-0	26	24	1420331	
neogene-avg-0	27	26	0	Term15
neogene-avg-0	28	26	161244	
neogene-avg-0	29	28	0	Term16
neogene-avg-0	30	28	0	Term17
neogene-avg-0	31	23	1794290	
neogene-avg-0	32	31	1737888	
neogene-avg-0	33	32	0	Term11
neogene-avg-0	34	32	0	Term12
neogene-avg-0	35	31	114845	
neogene-avg-0	36	35	0	Term13
neogene-avg-0	37	35	0	Term14
neogene-avg-0	38	0	6867327	
neogene-avg-0	39	38	3954516	
neogene-avg-0	40	39	0	Term19
neogene-avg-0	41	39	2778363	
neogene-avg-0	42	41	2271416	
neogene-avg-0	43	42	1862754	
neogene-avg-0	44	43	0	Term20
neogene-avg-0	45	43	0	Term21
neogene-avg-0	46	42	1308494	
neogene-avg-0	47	46	0	Term24
neogene-avg-0	48	46	213181	
neogene-avg-0	49	48	0	Term22
neogene-avg-0	50	48	0	Term23
neogene-avg-0	51	41	1873559	
neogene-avg-0	52	51	877324	
neogene-avg-0	53	52	0	Term30
neogene-avg-0	54	52	213970	
neogene-avg-0	55	54	0	Term31
neogene-avg-0	56	54	0	Term32
neogene-avg-0	57	51	1332519	
neogene-avg-0	58	57	0	Term29
neogene-avg-0	59	57	1247170	
neogene-avg-0	60	59	0	Term25
neogene-avg-0	61	59	737971	
neogene-avg-0	62	61	0	Term28
neogene-avg-0	63	61	263915	
neogene-avg-0	64	63	0	Term26
neogene-avg-0	65	63	0	Term27
neogene-avg-0	66	38	4648245	
neogene-avg-0	67	66	580371	
neogene-avg-0	68	67	0	Term38
neogene-avg-0	69	67	505110	
neogene-avg-0	70	69	0	Term37
neogene-avg-0	71	69	392055	
neogene-avg-0	72	71	0	Term33
neogene-avg-0	73	71	179806	
neogene-avg-0	74	73	0	Term34
neogene-avg-0	75	73	140092	
neogene-avg-0	76	75	0	Term35
neogene-avg-0	77	75	0	Term36
neogene-avg-0	78	66	4538713	
neogene-avg-0	79	78	3207631	
neogene-avg-0	80	79	0	Term59
neogene-avg-0	81	79	1077909	
neogene-avg-0	82	81	463371	
neogene-avg-0	83	82	0	Term53
neogene-avg-0	84	82	0	Term54
neogene-avg-0	85	81	1037951	
neogene-avg-0	86	85	0	Term55
neogene-avg-0	87	85	283249	
neogene-avg-0	88	87	0	Term56
neogene-avg-0	89	87	218495	
neogene-avg-0	90	89	0	Term57
neogene-avg-0	91	89	0	Term58
neogene-avg-0	92	78	4122756	
neogene-avg-0	93	92	1942591	
neogene-avg-0	94	93	0	Term39
neogene-avg-0	95	93	0	Term40
neogene-avg-0	96	92	2674650	
neogene-avg-0	97	96	46575	
neogene-avg-0	98	97	0	Term51
