# results from simulated data from project "project.tab"
# date: 2024-06-10T20:41:41-03:00
tree	terms	rootAge	lambda	ml-lambda
neogene-slow-0	78	22.334	264.883733	1222.070312
neogene-slow-1	77	10.345	946.329179	23850.000000
neogene-slow-10	81	10.225	811.945937	6656.640625
neogene-slow-11	65	18.976	842.777786	23850.000000
neogene-slow-12	93	9.753	287.915011	1016.992188
neogene-slow-13	70	9.874	995.990424	23850.000000
neogene-slow-14	70	10.921	142.130145	347.558594
neogene-slow-15	93	17.638	603.969541	4703.027344
neogene-slow-16	50	17.598	360.875596	953.027344
neogene-slow-17	65	11.371	318.251907	1267.480469
neogene-slow-18	77	21.264	659.886606	5536.523438
neogene-slow-19	98	20.227	896.065493	2549.218750
neogene-slow-2	61	8.770	835.030270	23850.000000
neogene-slow-20	62	8.952	185.784328	1203.515625
neogene-slow-21	99	6.006	668.834419	23850.000000
neogene-slow-22	66	13.382	613.797565	1836.816406
neogene-slow-23	75	11.437	763.373345	23850.000000
neogene-slow-24	85	15.770	372.705192	3804.589844
neogene-slow-25	65	18.650	674.020735	1673.730469
neogene-slow-26	72	9.596	428.015702	1509.667969
neogene-slow-27	66	7.224	419.919341	23850.000000
neogene-slow-28	66	22.667	385.718462	2111.230469
neogene-slow-29	62	10.473	597.884644	4488.183594
neogene-slow-3	60	16.184	107.125322	437.402344
neogene-slow-30	78	6.512	651.735380	13843.652344
neogene-slow-31	91	5.499	703.615657	23850.000000
neogene-slow-32	100	16.315	733.251104	23850.000000
neogene-slow-33	69	18.974	729.907102	6245.507812
neogene-slow-34	95	8.045	752.807667	23850.000000
neogene-slow-35	89	15.458	528.454586	5163.964844
neogene-slow-36	88	21.301	483.517231	1752.832031
neogene-slow-37	83	9.289	599.238751	5343.164062
neogene-slow-38	55	17.001	814.540139	9741.601562
neogene-slow-39	62	17.236	460.261043	3526.269531
neogene-slow-4	86	9.209	262.141639	2324.609375
neogene-slow-40	74	18.049	820.200254	6293.847656
neogene-slow-41	51	6.497	847.841505	23850.000000
neogene-slow-42	83	22.543	833.569818	4914.453125
neogene-slow-43	89	5.536	204.323398	1299.707031
neogene-slow-44	63	10.119	463.328876	2598.046875
neogene-slow-45	59	22.610	478.362015	2131.738281
neogene-slow-46	96	13.897	580.506458	4644.921875
neogene-slow-47	58	7.768	591.642493	23850.000000
neogene-slow-48	55	12.269	753.678378	10548.730469
neogene-slow-49	92	19.289	569.090090	2297.753906
neogene-slow-5	74	22.638	199.807451	477.929688
neogene-slow-6	66	21.304	512.570596	3885.156250
neogene-slow-7	93	19.800	217.749853	366.113281
neogene-slow-8	53	16.751	397.556566	1844.628906
neogene-slow-9	52	15.662	899.001881	5605.859375
