# results from simulated data from project "project.tab"
# date: 2024-06-11T00:43:29-03:00
tree	terms	rootAge	lambda	ml-lambda
paleogene-avg-0	77	52.950	17.489943	17.480469
paleogene-avg-1	94	40.861	53.110230	89.746094
paleogene-avg-10	61	39.413	55.493254	55.078125
paleogene-avg-11	100	61.055	39.668359	30.664062
paleogene-avg-12	63	27.469	39.836620	41.406250
paleogene-avg-13	66	47.533	78.564204	102.929688
paleogene-avg-14	57	51.699	70.648552	138.574219
paleogene-avg-15	51	32.240	93.513761	196.191406
paleogene-avg-16	95	50.510	48.492575	50.683594
paleogene-avg-17	80	27.360	14.652745	22.363281
paleogene-avg-18	73	39.825	42.498296	52.636719
paleogene-avg-19	93	47.030	88.747209	141.992188
paleogene-avg-2	84	64.221	89.679623	125.390625
paleogene-avg-20	73	37.554	31.390995	30.175781
paleogene-avg-21	54	45.330	66.618415	133.691406
paleogene-avg-22	87	31.819	22.530941	30.664062
paleogene-avg-23	55	47.859	20.222308	16.992188
paleogene-avg-24	66	33.641	57.035652	72.167969
paleogene-avg-25	87	50.031	90.669867	160.058594
paleogene-avg-26	68	56.841	14.827432	10.644531
paleogene-avg-27	64	47.858	82.072208	116.601562
paleogene-avg-28	78	48.232	86.586683	155.664062
paleogene-avg-29	81	41.532	31.869747	51.660156
paleogene-avg-3	80	41.268	16.795200	16.015625
paleogene-avg-30	51	43.971	85.428397	141.992188
paleogene-avg-31	54	52.284	49.271170	56.542969
paleogene-avg-32	53	60.563	93.711092	173.242188
paleogene-avg-33	71	51.358	22.273073	19.433594
paleogene-avg-34	78	59.983	96.363492	150.292969
paleogene-avg-35	77	29.431	82.783705	116.601562
paleogene-avg-36	74	24.206	41.882543	82.421875
paleogene-avg-37	53	38.081	13.008520	16.503906
paleogene-avg-38	99	44.222	18.784518	19.921875
paleogene-avg-39	80	46.218	47.576212	105.371094
paleogene-avg-4	94	33.414	21.807363	23.828125
paleogene-avg-40	56	50.214	66.835963	78.515625
paleogene-avg-41	69	37.225	29.362335	52.148438
paleogene-avg-42	56	62.583	79.907846	78.515625
paleogene-avg-43	60	35.804	71.362544	143.945312
paleogene-avg-44	63	45.708	58.762885	87.792969
paleogene-avg-45	57	53.253	36.111842	36.523438
paleogene-avg-46	50	25.440	71.902153	180.566406
paleogene-avg-47	68	40.238	13.140845	11.132812
paleogene-avg-48	100	34.535	79.703734	174.218750
paleogene-avg-49	73	46.156	95.598429	150.781250
paleogene-avg-5	62	46.819	55.248307	96.093750
paleogene-avg-6	63	46.515	89.438573	97.070312
paleogene-avg-7	90	60.660	17.538483	24.316406
paleogene-avg-8	54	55.365	90.572345	112.695312
paleogene-avg-9	69	34.903	84.325758	126.367188
