# time calibrated phylogenetic trees
# data saved on: 2024-05-27T21:26:40-03:00
tree	node	parent	age	taxon
paleogene-fast-0	0	-1	60249280	
paleogene-fast-0	1	0	21304540	
paleogene-fast-0	2	1	0	Term10
paleogene-fast-0	3	1	21198987	
paleogene-fast-0	4	3	14890563	
paleogene-fast-0	5	4	0	Term9
paleogene-fast-0	6	4	6785135	
paleogene-fast-0	7	6	0	Term6
paleogene-fast-0	8	6	1339013	
paleogene-fast-0	9	8	0	Term7
paleogene-fast-0	10	8	0	Term8
paleogene-fast-0	11	3	17797076	
paleogene-fast-0	12	11	0	Term0
paleogene-fast-0	13	11	12928780	
paleogene-fast-0	14	13	9392450	
paleogene-fast-0	15	14	0	Term4
paleogene-fast-0	16	14	0	Term5
paleogene-fast-0	17	13	11162854	
paleogene-fast-0	18	17	0	Term1
paleogene-fast-0	19	17	6200136	
paleogene-fast-0	20	19	0	Term2
paleogene-fast-0	21	19	0	Term3
paleogene-fast-0	22	0	59622879	
paleogene-fast-0	23	22	32290896	
paleogene-fast-0	24	23	5449463	
paleogene-fast-0	25	24	0	Term57
paleogene-fast-0	26	24	5170481	
paleogene-fast-0	27	26	0	Term54
paleogene-fast-0	28	26	5629	
paleogene-fast-0	29	28	0	Term55
paleogene-fast-0	30	28	0	Term56
paleogene-fast-0	31	23	27925262	
paleogene-fast-0	32	31	4167238	
paleogene-fast-0	33	32	0	Term47
paleogene-fast-0	34	32	881000	
paleogene-fast-0	35	34	0	Term45
paleogene-fast-0	36	34	0	Term46
paleogene-fast-0	37	31	17797908	
paleogene-fast-0	38	37	3351793	
paleogene-fast-0	39	38	0	Term52
paleogene-fast-0	40	38	0	Term53
paleogene-fast-0	41	37	11124692	
paleogene-fast-0	42	41	8705970	
paleogene-fast-0	43	42	0	Term48
paleogene-fast-0	44	42	0	Term49
paleogene-fast-0	45	41	1623996	
paleogene-fast-0	46	45	0	Term50
paleogene-fast-0	47	45	0	Term51
paleogene-fast-0	48	22	49633982	
paleogene-fast-0	49	48	30909069	
paleogene-fast-0	50	49	22529714	
paleogene-fast-0	51	50	0	Term44
paleogene-fast-0	52	50	1648617	
paleogene-fast-0	53	52	0	Term42
paleogene-fast-0	54	52	0	Term43
paleogene-fast-0	55	49	21222042	
paleogene-fast-0	56	55	14255130	
paleogene-fast-0	57	56	0	Term34
paleogene-fast-0	58	56	9084776	
paleogene-fast-0	59	58	0	Term32
paleogene-fast-0	60	58	0	Term33
paleogene-fast-0	61	55	14811943	
paleogene-fast-0	62	61	8185910	
paleogene-fast-0	63	62	0	Term35
paleogene-fast-0	64	62	0	Term36
paleogene-fast-0	65	61	3490389	
paleogene-fast-0	66	65	576888	
paleogene-fast-0	67	66	0	Term37
paleogene-fast-0	68	66	0	Term38
paleogene-fast-0	69	65	3155776	
paleogene-fast-0	70	69	0	Term39
paleogene-fast-0	71	69	1412081	
paleogene-fast-0	72	71	0	Term40
paleogene-fast-0	73	71	0	Term41
paleogene-fast-0	74	48	31383850	
paleogene-fast-0	75	74	280231	
paleogene-fast-0	76	75	0	Term11
paleogene-fast-0	77	75	0	Term12
paleogene-fast-0	78	74	29672585	
paleogene-fast-0	79	78	28408815	
paleogene-fast-0	80	79	7828973	
paleogene-fast-0	81	80	0	Term31
paleogene-fast-0	82	80	6797509	
paleogene-fast-0	83	82	0	Term29
paleogene-fast-0	84	82	0	Term30
paleogene-fast-0	85	79	25093217	
paleogene-fast-0	86	85	16463748	
paleogene-fast-0	87	86	0	Term27
paleogene-fast-0	88	86	0	Term28
paleogene-fast-0	89	85	11923765	
paleogene-fast-0	90	89	0	Term25
paleogene-fast-0	91	89	0	Term26
paleogene-fast-0	92	78	28406643	
paleogene-fast-0	93	92	0	Term24
paleogene-fast-0	94	92	9959246	
paleogene-fast-0	95	94	0	Term13
paleogene-fast-0	96	94	9448029	
paleogene-fast-0	97	96	6276533	
paleogene-fast-0	98	97	3718969	
paleogene-fast-0	99	98	0	Term22
paleogene-fast-0	100	98	0	Term23
paleogene-fast-0	101	97	3394680	
paleogene-fast-0	102	101	0	Term20
paleogene-fast-0	103	101	0	Term21
paleogene-fast-0	104	96	7940315	
paleogene-fast-0	105	104	7466683	
paleogene-fast-0	106	105	0	Term19
paleogene-fast-0	107	105	1263476	
paleogene-fast-0	108	107	0	Term17
paleogene-fast-0	109	107	0	Term18
paleogene-fast-0	110	104	4002939	
paleogene-fast-0	111	110	0	Term16
paleogene-fast-0	112	110	2547838	
paleogene-fast-0	113	112	0	Term14
paleogene-fast-0	114	112	0	Term15
paleogene-fast-1	0	-1	52579307	
paleogene-fast-1	1	0	0	Term0
paleogene-fast-1	2	0	49400145	
paleogene-fast-1	3	2	22023417	
paleogene-fast-1	4	3	13211029	
paleogene-fast-1	5	4	0	Term88
paleogene-fast-1	6	4	3731708	
paleogene-fast-1	7	6	0	Term86
paleogene-fast-1	8	6	0	Term87
paleogene-fast-1	9	3	16720715	
paleogene-fast-1	10	9	6328734	
paleogene-fast-1	11	10	0	Term79
paleogene-fast-1	12	10	0	Term80
paleogene-fast-1	13	9	11675652	
paleogene-fast-1	14	13	7289546	
paleogene-fast-1	15	14	0	Term81
paleogene-fast-1	16	14	0	Term82
paleogene-fast-1	17	13	3973818	
paleogene-fast-1	18	17	0	Term83
paleogene-fast-1	19	17	2252247	
paleogene-fast-1	20	19	0	Term84
paleogene-fast-1	21	19	0	Term85
paleogene-fast-1	22	2	47876944	
paleogene-fast-1	23	22	46771002	
paleogene-fast-1	24	23	42080229	
paleogene-fast-1	25	24	16858458	
paleogene-fast-1	26	25	0	Term5
paleogene-fast-1	27	25	4210416	
paleogene-fast-1	28	27	0	Term8
paleogene-fast-1	29	27	1995874	
paleogene-fast-1	30	29	0	Term6
paleogene-fast-1	31	29	0	Term7
paleogene-fast-1	32	24	6982707	
paleogene-fast-1	33	32	0	Term4
paleogene-fast-1	34	32	5622889	
paleogene-fast-1	35	34	0	Term3
paleogene-fast-1	36	34	3323048	
paleogene-fast-1	37	36	0	Term1
paleogene-fast-1	38	36	0	Term2
paleogene-fast-1	39	23	36355908	
paleogene-fast-1	40	39	7528116	
paleogene-fast-1	41	40	0	Term12
paleogene-fast-1	42	40	4294618	
paleogene-fast-1	43	42	0	Term11
paleogene-fast-1	44	42	1990141	
paleogene-fast-1	45	44	0	Term10
paleogene-fast-1	46	44	0	Term9
paleogene-fast-1	47	39	26722917	
paleogene-fast-1	48	47	24384119	
paleogene-fast-1	49	48	0	Term31
paleogene-fast-1	50	48	332014	
paleogene-fast-1	51	50	0	Term32
paleogene-fast-1	52	50	0	Term33
paleogene-fast-1	53	47	26005260	
paleogene-fast-1	54	53	17221425	
paleogene-fast-1	55	54	1584074	
paleogene-fast-1	56	55	0	Term18
paleogene-fast-1	57	55	0	Term19
paleogene-fast-1	58	54	16106553	
paleogene-fast-1	59	58	7275598	
paleogene-fast-1	60	59	0	Term13
paleogene-fast-1	61	59	0	Term14
paleogene-fast-1	62	58	725761	
paleogene-fast-1	63	62	0	Term15
paleogene-fast-1	64	62	502959	
paleogene-fast-1	65	64	0	Term16
paleogene-fast-1	66	64	0	Term17
paleogene-fast-1	67	53	23681354	
paleogene-fast-1	68	67	19632538	
paleogene-fast-1	69	68	0	Term30
paleogene-fast-1	70	68	7256400	
paleogene-fast-1	71	70	832972	
paleogene-fast-1	72	71	0	Term26
paleogene-fast-1	73	71	0	Term27
paleogene-fast-1	74	70	166952	
paleogene-fast-1	75	74	0	Term28
paleogene-fast-1	76	74	0	Term29
paleogene-fast-1	77	67	14835570	
paleogene-fast-1	78	77	0	Term25
paleogene-fast-1	79	77	13867801	
paleogene-fast-1	80	79	0	Term20
paleogene-fast-1	81	79	4366272	
paleogene-fast-1	82	81	3034086	
paleogene-fast-1	83	82	0	Term21
paleogene-fast-1	84	82	0	Term22
paleogene-fast-1	85	81	1342825	
paleogene-fast-1	86	85	0	Term23
paleogene-fast-1	87	85	0	Term24
paleogene-fast-1	88	22	31005036	
paleogene-fast-1	89	88	29156704	
paleogene-fast-1	90	89	16654585	
paleogene-fast-1	91	90	0	Term54
paleogene-fast-1	92	90	13591677	
paleogene-fast-1	93	92	0	Term53
paleogene-fast-1	94	92	6915479	
paleogene-fast-1	95	94	0	Term49
paleogene-fast-1	96	94	1304008	
paleogene-fast-1	97	96	0	Term50
paleogene-fast-1	98	96	386460	
paleogene-fast-1	99	98	0	Term51
paleogene-fast-1	100	98	0	Term52
paleogene-fast-1	101	89	24104546	
paleogene-fast-1	102	101	14580260	
paleogene-fast-1	103	102	9447061	
paleogene-fast-1	104	103	0	Term40
paleogene-fast-1	105	103	6821966	
paleogene-fast-1	106	105	0	Term38
paleogene-fast-1	107	105	0	Term39
paleogene-fast-1	108	102	10313574	
