# simulated lambda of project "project.tab"
# date: 2024-05-27T21:22:44-03:00
tree	lambda
paleogene-slow-0	856.009925
paleogene-slow-1	978.534987
paleogene-slow-10	858.568045
paleogene-slow-11	567.513121
paleogene-slow-12	663.547604
paleogene-slow-13	947.849764
paleogene-slow-14	589.726821
paleogene-slow-15	964.380888
paleogene-slow-16	115.234814
paleogene-slow-17	497.892104
paleogene-slow-18	803.688622
paleogene-slow-19	756.233460
paleogene-slow-2	252.205706
paleogene-slow-20	233.149106
paleogene-slow-21	807.999326
paleogene-slow-22	978.622219
paleogene-slow-23	923.939485
paleogene-slow-24	335.848512
paleogene-slow-25	765.419049
paleogene-slow-26	246.635071
paleogene-slow-27	562.677015
paleogene-slow-28	339.715325
paleogene-slow-29	304.058820
paleogene-slow-3	444.651221
paleogene-slow-30	480.001872
paleogene-slow-31	479.033379
paleogene-slow-32	831.690704
paleogene-slow-33	606.402288
paleogene-slow-34	989.250103
paleogene-slow-35	460.880249
paleogene-slow-36	260.597326
paleogene-slow-37	783.415929
paleogene-slow-38	754.701478
paleogene-slow-39	270.364925
paleogene-slow-4	698.421094
paleogene-slow-40	946.302627
paleogene-slow-41	982.218768
paleogene-slow-42	546.291986
paleogene-slow-43	751.883728
paleogene-slow-44	620.443799
paleogene-slow-45	417.019923
paleogene-slow-46	565.274544
paleogene-slow-47	543.992594
paleogene-slow-48	125.261128
paleogene-slow-49	515.597289
paleogene-slow-5	876.639575
paleogene-slow-6	469.964529
paleogene-slow-7	781.911137
paleogene-slow-8	376.144494
paleogene-slow-9	272.199132
