# time calibrated phylogenetic trees
# data saved on: 2024-05-27T21:22:44-03:00
tree	node	parent	age	taxon
paleogene-slow-0	0	-1	24432119	
paleogene-slow-0	1	0	16063170	
paleogene-slow-0	2	1	14710081	
paleogene-slow-0	3	2	0	Term0
paleogene-slow-0	4	2	11336347	
paleogene-slow-0	5	4	0	Term1
paleogene-slow-0	6	4	2020974	
paleogene-slow-0	7	6	0	Term2
paleogene-slow-0	8	6	0	Term3
paleogene-slow-0	9	1	11783342	
paleogene-slow-0	10	9	3770223	
paleogene-slow-0	11	10	1401141	
paleogene-slow-0	12	11	0	Term8
paleogene-slow-0	13	11	0	Term9
paleogene-slow-0	14	10	605171	
paleogene-slow-0	15	14	0	Term10
paleogene-slow-0	16	14	0	Term11
paleogene-slow-0	17	9	1725150	
paleogene-slow-0	18	17	0	Term7
paleogene-slow-0	19	17	681299	
paleogene-slow-0	20	19	0	Term4
paleogene-slow-0	21	19	56166	
paleogene-slow-0	22	21	0	Term5
paleogene-slow-0	23	21	0	Term6
paleogene-slow-0	24	0	15714164	
paleogene-slow-0	25	24	9244525	
paleogene-slow-0	26	25	8440464	
paleogene-slow-0	27	26	5179494	
paleogene-slow-0	28	27	0	Term12
paleogene-slow-0	29	27	0	Term13
paleogene-slow-0	30	26	356379	
paleogene-slow-0	31	30	0	Term14
paleogene-slow-0	32	30	0	Term15
paleogene-slow-0	33	25	9154821	
paleogene-slow-0	34	33	5823654	
paleogene-slow-0	35	34	0	Term20
paleogene-slow-0	36	34	1543737	
paleogene-slow-0	37	36	0	Term21
paleogene-slow-0	38	36	0	Term22
paleogene-slow-0	39	33	3571458	
paleogene-slow-0	40	39	0	Term19
paleogene-slow-0	41	39	2989735	
paleogene-slow-0	42	41	0	Term18
paleogene-slow-0	43	41	200123	
paleogene-slow-0	44	43	0	Term16
paleogene-slow-0	45	43	0	Term17
paleogene-slow-0	46	24	15415908	
paleogene-slow-0	47	46	14926189	
paleogene-slow-0	48	47	11640816	
paleogene-slow-0	49	48	0	Term26
paleogene-slow-0	50	48	7066387	
paleogene-slow-0	51	50	0	Term25
paleogene-slow-0	52	50	3832866	
paleogene-slow-0	53	52	0	Term23
paleogene-slow-0	54	52	0	Term24
paleogene-slow-0	55	47	7205660	
paleogene-slow-0	56	55	0	Term38
paleogene-slow-0	57	55	5916211	
paleogene-slow-0	58	57	3058202	
paleogene-slow-0	59	58	0	Term33
paleogene-slow-0	60	58	2912134	
paleogene-slow-0	61	60	0	Term37
paleogene-slow-0	62	60	1492191	
paleogene-slow-0	63	62	0	Term34
paleogene-slow-0	64	62	556306	
paleogene-slow-0	65	64	0	Term35
paleogene-slow-0	66	64	0	Term36
paleogene-slow-0	67	57	5565979	
paleogene-slow-0	68	67	0	Term32
paleogene-slow-0	69	67	2282869	
paleogene-slow-0	70	69	2034192	
paleogene-slow-0	71	70	0	Term27
paleogene-slow-0	72	70	0	Term28
paleogene-slow-0	73	69	558606	
paleogene-slow-0	74	73	0	Term29
paleogene-slow-0	75	73	441686	
paleogene-slow-0	76	75	0	Term30
paleogene-slow-0	77	75	0	Term31
paleogene-slow-0	78	46	13974155	
paleogene-slow-0	79	78	4638485	
paleogene-slow-0	80	79	0	Term56
paleogene-slow-0	81	79	4384059	
paleogene-slow-0	82	81	0	Term52
paleogene-slow-0	83	81	1400239	
paleogene-slow-0	84	83	0	Term53
paleogene-slow-0	85	83	390701	
paleogene-slow-0	86	85	0	Term54
paleogene-slow-0	87	85	0	Term55
paleogene-slow-0	88	78	10277616	
paleogene-slow-0	89	88	4484687	
paleogene-slow-0	90	89	4306995	
paleogene-slow-0	91	90	0	Term39
paleogene-slow-0	92	90	1727734	
paleogene-slow-0	93	92	0	Term40
paleogene-slow-0	94	92	0	Term41
paleogene-slow-0	95	89	2791158	
paleogene-slow-0	96	95	0	Term44
paleogene-slow-0	97	95	1214580	
paleogene-slow-0	98	97	0	Term42
paleogene-slow-0	99	97	0	Term43
paleogene-slow-0	100	88	4890559	
paleogene-slow-0	101	100	836513	
paleogene-slow-0	102	101	0	Term45
paleogene-slow-0	103	101	430604	
paleogene-slow-0	104	103	0	Term46
paleogene-slow-0	105	103	0	Term47
paleogene-slow-0	106	100	1266985	
paleogene-slow-0	107	106	0	Term51
paleogene-slow-0	108	106	1172192	
paleogene-slow-0	109	108	0	Term48
paleogene-slow-0	110	108	1007865	
paleogene-slow-0	111	110	0	Term49
paleogene-slow-0	112	110	0	Term50
paleogene-slow-1	0	-1	33161173	
paleogene-slow-1	1	0	29645806	
paleogene-slow-1	2	1	13908542	
paleogene-slow-1	3	2	0	Term32
paleogene-slow-1	4	2	7369859	
paleogene-slow-1	5	4	0	Term31
paleogene-slow-1	6	4	2963858	
paleogene-slow-1	7	6	2051899	
paleogene-slow-1	8	7	0	Term25
paleogene-slow-1	9	7	0	Term26
paleogene-slow-1	10	6	1383395	
paleogene-slow-1	11	10	957127	
paleogene-slow-1	12	11	0	Term27
paleogene-slow-1	13	11	0	Term28
paleogene-slow-1	14	10	269074	
paleogene-slow-1	15	14	0	Term29
paleogene-slow-1	16	14	0	Term30
paleogene-slow-1	17	1	28375860	
paleogene-slow-1	18	17	24589316	
paleogene-slow-1	19	18	11232698	
paleogene-slow-1	20	19	0	Term23
paleogene-slow-1	21	19	0	Term24
paleogene-slow-1	22	18	20363499	
paleogene-slow-1	23	22	0	Term22
paleogene-slow-1	24	22	18527136	
paleogene-slow-1	25	24	0	Term17
paleogene-slow-1	26	24	9438717	
paleogene-slow-1	27	26	0	Term18
paleogene-slow-1	28	26	2652976	
paleogene-slow-1	29	28	0	Term19
paleogene-slow-1	30	28	253557	
paleogene-slow-1	31	30	0	Term20
paleogene-slow-1	32	30	0	Term21
paleogene-slow-1	33	17	18674570	
paleogene-slow-1	34	33	3289398	
paleogene-slow-1	35	34	0	Term0
paleogene-slow-1	36	34	0	Term1
paleogene-slow-1	37	33	17631653	
paleogene-slow-1	38	37	4974008	
paleogene-slow-1	39	38	0	Term16
paleogene-slow-1	40	38	1338487	
paleogene-slow-1	41	40	0	Term14
paleogene-slow-1	42	40	0	Term15
paleogene-slow-1	43	37	10813682	
paleogene-slow-1	44	43	1791551	
paleogene-slow-1	45	44	0	Term2
paleogene-slow-1	46	44	0	Term3
paleogene-slow-1	47	43	6592694	
paleogene-slow-1	48	47	0	Term4
paleogene-slow-1	49	47	6316790	
paleogene-slow-1	50	49	4088479	
paleogene-slow-1	51	50	0	Term13
paleogene-slow-1	52	50	3850820	
paleogene-slow-1	53	52	0	Term11
paleogene-slow-1	54	52	0	Term12
paleogene-slow-1	55	49	5522514	
paleogene-slow-1	56	55	3900184	
paleogene-slow-1	57	56	0	Term7
paleogene-slow-1	58	56	3412667	
paleogene-slow-1	59	58	0	Term5
paleogene-slow-1	60	58	0	Term6
paleogene-slow-1	61	55	2997704	
paleogene-slow-1	62	61	0	Term8
paleogene-slow-1	63	61	1473662	
paleogene-slow-1	64	63	0	Term10
paleogene-slow-1	65	63	0	Term9
paleogene-slow-1	66	0	26463814	
paleogene-slow-1	67	66	18001082	
paleogene-slow-1	68	67	7109576	
paleogene-slow-1	69	68	0	Term79
paleogene-slow-1	70	68	0	Term80
paleogene-slow-1	71	67	15473968	
paleogene-slow-1	72	71	0	Term69
paleogene-slow-1	73	71	11878061	
paleogene-slow-1	74	73	6537849	
paleogene-slow-1	75	74	0	Term78
paleogene-slow-1	76	74	3142651	
paleogene-slow-1	77	76	0	Term75
paleogene-slow-1	78	76	1796940	
paleogene-slow-1	79	78	0	Term76
paleogene-slow-1	80	78	0	Term77
paleogene-slow-1	81	73	6278023	
paleogene-slow-1	82	81	0	Term74
paleogene-slow-1	83	81	4019850	
paleogene-slow-1	84	83	0	Term70
paleogene-slow-1	85	83	1481289	
paleogene-slow-1	86	85	0	Term73
paleogene-slow-1	87	85	853171	
paleogene-slow-1	88	87	0	Term71
paleogene-slow-1	89	87	0	Term72
paleogene-slow-1	90	66	12815484	
paleogene-slow-1	91	90	12069133	
paleogene-slow-1	92	91	285004	
paleogene-slow-1	93	92	0	Term63
paleogene-slow-1	94	92	0	Term64
paleogene-slow-1	95	91	11045223	
paleogene-slow-1	96	95	0	Term68
paleogene-slow-1	97	95	4841495	
paleogene-slow-1	98	97	0	Term65
paleogene-slow-1	99	97	2674105	
paleogene-slow-1	100	99	0	Term66
paleogene-slow-1	101	99	0	Term67
paleogene-slow-1	102	90	11440189	
paleogene-slow-1	103	102	9335563	
paleogene-slow-1	104	103	0	Term61
paleogene-slow-1	105	103	0	Term62
paleogene-slow-1	106	102	7487590	
paleogene-slow-1	107	106	4593473	
paleogene-slow-1	108	107	0	Term35
paleogene-slow-1	109	107	3066866	
paleogene-slow-1	110	109	0	Term33
paleogene-slow-1	111	109	0	Term34
paleogene-slow-1	112	106	6718597	
paleogene-slow-1	113	112	3682168	
paleogene-slow-1	114	113	0	Term51
paleogene-slow-1	115	113	3287765	
paleogene-slow-1	116	115	2212635	
paleogene-slow-1	117	116	1940183	
paleogene-slow-1	118	117	0	Term59
paleogene-slow-1	119	117	0	Term60
paleogene-slow-1	120	116	76055	
paleogene-slow-1	121	120	0	Term57
paleogene-slow-1	122	120	0	Term58
paleogene-slow-1	123	115	2367168	
paleogene-slow-1	124	123	0	Term52
paleogene-slow-1	125	123	1329234	
paleogene-slow-1	126	125	0	Term56
paleogene-slow-1	127	125	1243271	
