# results from simulated data from project "project.tab"
# date: 2024-06-12T14:53:01-03:00
tree	node	age	pixels	farthest
cretaceous-avg-0	0	78532285	0.635593	0.054434
cretaceous-avg-0	1	70030742	0.048077	0.230812
cretaceous-avg-0	2	62566236	0.140187	0.211247
cretaceous-avg-0	3	21244035	1.000000	0.000000
cretaceous-avg-0	4	6577007	0.110000	0.190528
cretaceous-avg-0	7	17347491	0.514563	0.190958
cretaceous-avg-0	8	8288793	1.000000	0.000000
cretaceous-avg-0	11	1211564	0.870000	0.221631
cretaceous-avg-0	14	20627940	1.000000	0.000000
cretaceous-avg-0	16	3876372	0.950000	0.122930
cretaceous-avg-0	18	3111939	1.000000	0.000000
cretaceous-avg-0	20	2465157	0.980000	0.052401
cretaceous-avg-0	22	991520	0.950000	0.107294
cretaceous-avg-0	25	41649498	0.000000	0.927939
cretaceous-avg-0	26	35199476	0.000000	1.059513
cretaceous-avg-0	28	23323190	0.210000	0.209619
cretaceous-avg-0	30	5294612	1.000000	0.000000
cretaceous-avg-0	33	34455249	0.161616	0.176489
cretaceous-avg-0	35	25336226	0.813725	0.277057
cretaceous-avg-0	37	21888475	0.082192	0.366089
cretaceous-avg-0	39	18063139	0.127451	0.356590
cretaceous-avg-0	40	2833146	0.600000	0.146309
cretaceous-avg-0	43	4109713	0.980000	0.055720
cretaceous-avg-0	44	1866087	0.990000	0.077113
cretaceous-avg-0	47	1764176	0.980000	0.052546
cretaceous-avg-0	50	43325985	0.980769	0.052362
cretaceous-avg-0	51	42870458	1.000000	0.000000
cretaceous-avg-0	53	24702026	1.000000	0.000000
cretaceous-avg-0	54	18796117	1.000000	0.000000
cretaceous-avg-0	55	4560510	0.820000	0.217859
cretaceous-avg-0	58	16300877	0.740385	0.113907
cretaceous-avg-0	60	1685611	0.940000	0.164163
cretaceous-avg-0	63	21689114	1.000000	0.000000
cretaceous-avg-0	64	8733877	1.000000	0.000000
cretaceous-avg-0	66	7485533	0.930000	0.052501
cretaceous-avg-0	69	17737156	1.000000	0.000000
cretaceous-avg-0	71	15257992	1.000000	0.000000
cretaceous-avg-0	73	3801297	1.000000	0.000000
