# results from simulated data from project "project.tab"
# date: 2024-06-12T14:53:22-03:00
tree	node	age	pixels	farthest
cretaceous-fast-0	0	141049335	1.000000	0.000000
cretaceous-fast-0	1	62982360	0.846154	0.068726
cretaceous-fast-0	2	9313315	0.880000	0.071654
cretaceous-fast-0	4	6231190	0.484211	0.106385
cretaceous-fast-0	7	60773319	0.897959	0.058536
cretaceous-fast-0	8	16604774	0.730000	0.109557
cretaceous-fast-0	10	14014583	0.790000	0.106926
cretaceous-fast-0	13	33199465	0.936937	0.052401
cretaceous-fast-0	14	27614931	1.000000	0.000000
cretaceous-fast-0	16	9776381	0.950000	0.159271
cretaceous-fast-0	19	31043507	0.880734	0.064914
cretaceous-fast-0	20	13871296	1.000000	0.000000
cretaceous-fast-0	23	29696359	0.720430	0.052501
cretaceous-fast-0	25	14879474	0.830000	0.060520
cretaceous-fast-0	28	126399559	0.775862	0.135367
cretaceous-fast-0	29	103998220	1.000000	0.000000
cretaceous-fast-0	30	52951343	0.517483	0.113446
cretaceous-fast-0	31	24521441	0.940000	0.052319
cretaceous-fast-0	33	10368767	0.980198	0.052801
cretaceous-fast-0	35	7047914	0.629630	0.104995
cretaceous-fast-0	38	23975348	1.000000	0.000000
cretaceous-fast-0	39	19363209	0.970000	0.052263
cretaceous-fast-0	41	8618989	1.000000	0.000000
cretaceous-fast-0	44	9945642	0.941176	0.056200
cretaceous-fast-0	46	8612454	0.976744	0.058253
cretaceous-fast-0	49	57353240	0.630252	0.080585
cretaceous-fast-0	50	45230394	0.978261	0.052459
cretaceous-fast-0	52	3099040	0.900000	0.052419
cretaceous-fast-0	55	55908086	0.469565	0.185519
cretaceous-fast-0	56	45110993	0.786408	0.112683
cretaceous-fast-0	58	35122470	0.731183	0.052373
cretaceous-fast-0	60	13351926	0.400000	0.104862
cretaceous-fast-0	63	54124713	0.685714	0.101883
cretaceous-fast-0	64	19734315	0.990000	0.052501
cretaceous-fast-0	67	37086739	0.884956	0.098001
cretaceous-fast-0	69	36689561	0.730000	0.112783
cretaceous-fast-0	71	31791355	0.920000	0.052511
cretaceous-fast-0	73	1582643	1.000000	0.000000
cretaceous-fast-0	76	114168962	0.890909	0.069033
