# results from simulated data from project "project.tab"
# date: 2024-06-12T14:52:50-03:00
tree	node	age	pixels	farthest
cretaceous-slow-0	0	136517518	0.000000	0.635290
cretaceous-slow-0	1	119882431	0.000000	0.692333
cretaceous-slow-0	2	65494478	0.654412	0.278579
cretaceous-slow-0	4	46040918	0.382353	0.240228
cretaceous-slow-0	6	13935909	0.850000	0.107805
cretaceous-slow-0	7	12405458	0.890000	0.107156
cretaceous-slow-0	10	6597564	0.767677	0.105193
cretaceous-slow-0	13	107119214	0.000000	0.469967
cretaceous-slow-0	14	12627068	0.960000	0.060132
cretaceous-slow-0	16	4771297	0.960000	0.102474
cretaceous-slow-0	19	104541294	0.000000	0.480886
cretaceous-slow-0	21	29625117	0.972222	0.052633
cretaceous-slow-0	23	8658724	0.960000	0.057843
cretaceous-slow-0	25	6633809	0.940000	0.093853
cretaceous-slow-0	28	123958461	0.000000	0.552870
cretaceous-slow-0	29	88007651	0.096491	0.460642
cretaceous-slow-0	30	33501482	0.445312	0.290452
cretaceous-slow-0	31	23609095	0.320000	0.306144
cretaceous-slow-0	34	4862813	0.480000	0.163345
cretaceous-slow-0	37	47109835	0.461538	0.166621
cretaceous-slow-0	38	36070425	0.820312	0.198302
cretaceous-slow-0	41	46604012	0.512397	0.196044
cretaceous-slow-0	43	38469075	0.470000	0.194869
cretaceous-slow-0	44	32447075	0.642105	0.210676
cretaceous-slow-0	46	20477525	0.395833	0.233099
cretaceous-slow-0	48	19344971	0.380000	0.194495
cretaceous-slow-0	50	17926318	0.570000	0.194495
cretaceous-slow-0	53	17256739	0.431373	0.192114
cretaceous-slow-0	55	14314936	0.530000	0.173279
cretaceous-slow-0	57	8208205	0.900000	0.108218
cretaceous-slow-0	59	87666	0.780000	0.153643
cretaceous-slow-0	62	77172475	0.854167	0.090646
cretaceous-slow-0	63	70995295	0.873786	0.197234
cretaceous-slow-0	64	28406791	0.960000	0.052633
cretaceous-slow-0	66	4916333	0.970000	0.073683
cretaceous-slow-0	68	943875	0.980000	0.121238
cretaceous-slow-0	71	70600015	0.882353	0.197234
cretaceous-slow-0	72	24284291	0.630000	0.100533
cretaceous-slow-0	73	21496692	0.445652	0.118615
cretaceous-slow-0	76	17339425	0.770833	0.155660
cretaceous-slow-0	79	62638049	0.818182	0.251876
cretaceous-slow-0	81	17375697	0.990099	0.052503
cretaceous-slow-0	83	12566802	0.953271	0.053881
cretaceous-slow-0	85	11090474	0.960396	0.142828
cretaceous-slow-0	88	67167008	0.832000	0.093989
cretaceous-slow-0	89	51575662	0.698113	0.323402
cretaceous-slow-0	90	23721483	0.766355	0.129203
cretaceous-slow-0	92	12852561	0.893204	0.157189
cretaceous-slow-0	94	5647468	0.925234	0.157189
cretaceous-slow-0	97	28874246	0.912621	0.056878
cretaceous-slow-0	99	26322095	0.921348	0.076909
cretaceous-slow-0	101	24602736	0.952381	0.093556
cretaceous-slow-0	103	22977038	0.877358	0.122332
cretaceous-slow-0	105	12241380	0.771930	0.104744
cretaceous-slow-0	107	5425163	0.895238	0.108648
cretaceous-slow-0	110	64180161	0.787611	0.209779
cretaceous-slow-0	111	17914577	1.000000	0.000000
cretaceous-slow-0	114	50054347	0.730000	0.211922
cretaceous-slow-0	116	35984966	0.558824	0.175211
cretaceous-slow-0	117	17581078	0.726316	0.141661
cretaceous-slow-0	119	11430000	0.920000	0.078765
cretaceous-slow-0	122	35591135	0.623762	0.160325
cretaceous-slow-0	123	11969008	0.613861	0.157425
cretaceous-slow-0	125	8329197	0.930000	0.105170
cretaceous-slow-0	128	23742009	0.699187	0.149047
cretaceous-slow-0	130	22107642	0.690476	0.149047
cretaceous-slow-0	131	19766683	0.683168	0.166711
cretaceous-slow-0	134	9269853	0.730000	0.109713
cretaceous-slow-0	136	8282037	0.740000	0.142038
cretaceous-slow-0	138	5313665	0.890000	0.105939
cretaceous-slow-1	0	133937982	0.096154	0.572547
cretaceous-slow-1	1	103001503	0.405063	0.593366
cretaceous-slow-1	2	58934065	0.114035	0.680723
cretaceous-slow-1	4	29239772	0.598214	0.126830
cretaceous-slow-1	6	25532913	0.714286	0.107097
cretaceous-slow-1	9	89828218	0.162791	0.371934
cretaceous-slow-1	11	86402615	0.347826	0.482789
cretaceous-slow-1	12	26542280	0.830000	0.055592
cretaceous-slow-1	15	77718331	0.766355	0.374408
cretaceous-slow-1	16	77633128	0.764151	0.374408
cretaceous-slow-1	18	15262826	0.810000	0.421039
cretaceous-slow-1	20	3791236	0.980000	0.408505
cretaceous-slow-1	22	2272951	0.980000	0.383365
cretaceous-slow-1	25	65355364	0.911765	0.109719
cretaceous-slow-1	27	52195273	0.838384	0.055901
cretaceous-slow-1	29	47256139	0.920000	0.052529
cretaceous-slow-1	31	22974687	0.990099	0.052319
