# results from simulated data from project "project.tab"
# date: 2024-06-12T14:53:49-03:00
tree	node	age	pixels	farthest
jurassic-avg-0	0	196051376	0.656085	0.218284
jurassic-avg-0	1	156710425	0.263158	0.380162
jurassic-avg-0	2	58166994	0.990099	0.052401
jurassic-avg-0	4	2294296	0.560000	0.121198
jurassic-avg-0	6	178694	0.930000	0.058536
jurassic-avg-0	9	144469418	0.434286	0.527014
jurassic-avg-0	10	20478716	0.080460	0.284222
jurassic-avg-0	13	57987769	0.000000	1.195740
jurassic-avg-0	14	8875372	0.764706	0.105202
jurassic-avg-0	17	4992738	0.970000	0.084504
jurassic-avg-0	20	163253916	0.158730	1.417274
jurassic-avg-0	21	142797726	0.149123	0.618906
jurassic-avg-0	22	34898657	0.010000	0.581295
jurassic-avg-0	25	75888703	0.000000	0.448397
jurassic-avg-0	26	73676155	0.340000	0.264108
jurassic-avg-0	28	63622859	0.828283	0.104636
jurassic-avg-0	31	68533261	0.954198	0.158733
jurassic-avg-0	32	18974417	0.000000	0.630758
jurassic-avg-0	34	8594752	1.000000	0.000000
jurassic-avg-0	36	3908151	0.950000	0.111749
jurassic-avg-0	39	52833585	0.876190	0.214254
jurassic-avg-0	40	30529807	0.776699	0.105047
jurassic-avg-0	42	6614106	0.860000	0.209477
jurassic-avg-0	45	45954957	0.070000	0.307847
jurassic-avg-0	47	38627174	0.081818	0.377487
jurassic-avg-0	49	10155994	0.455556	0.196404
jurassic-avg-0	52	153986557	0.027778	1.207819
jurassic-avg-0	53	102587301	0.961905	0.568334
jurassic-avg-0	54	70800141	0.685185	0.194823
jurassic-avg-0	56	42412531	1.000000	0.000000
jurassic-avg-0	58	15742558	0.990099	0.052180
jurassic-avg-0	61	85149260	0.878261	0.484910
jurassic-avg-0	62	51669437	0.980000	0.052397
jurassic-avg-0	65	61997331	0.111111	0.534544
jurassic-avg-0	67	44270307	0.890000	0.059688
jurassic-avg-0	69	17727014	0.990000	0.051502
jurassic-avg-0	72	101651619	0.000000	0.970542
jurassic-avg-0	73	90301026	0.970000	0.052417
jurassic-avg-0	74	28741611	0.549020	0.207352
jurassic-avg-0	76	8075240	0.590000	0.155842
jurassic-avg-0	79	50074347	1.000000	0.000000
jurassic-avg-0	80	23470985	1.000000	0.000000
jurassic-avg-0	83	13722652	0.921569	0.084552
jurassic-avg-0	86	88629390	0.990385	0.424226
jurassic-avg-0	87	74230734	0.933962	0.052360
jurassic-avg-0	89	41751675	0.980198	0.052529
jurassic-avg-0	91	27804836	1.000000	0.000000
jurassic-avg-0	92	6562663	1.000000	0.000000
jurassic-avg-0	95	156153	0.950000	0.094370
jurassic-avg-0	98	88073559	1.000000	0.000000
jurassic-avg-0	99	29034165	0.931373	0.104850
jurassic-avg-0	100	27931009	0.989474	0.052417
jurassic-avg-0	103	8627066	1.000000	0.000000
jurassic-avg-0	106	69615551	0.990196	0.052180
jurassic-avg-0	107	5693344	0.970000	0.052288
jurassic-avg-0	110	55010452	0.581818	0.107504
jurassic-avg-0	111	6878633	0.910000	0.052437
jurassic-avg-0	113	4162779	0.810000	0.188124
jurassic-avg-0	116	54081494	0.669811	0.090580
jurassic-avg-0	117	36300948	0.790000	0.069777
jurassic-avg-0	120	26884755	0.881188	0.143789
jurassic-avg-0	122	14637073	0.970000	0.052417
jurassic-avg-1	0	169207346	0.990385	0.052401
jurassic-avg-1	1	149692874	0.196970	0.418981
jurassic-avg-1	2	965828	1.000000	0.000000
jurassic-avg-1	5	112328925	0.946809	0.052320
jurassic-avg-1	6	52880734	0.825243	0.057730
jurassic-avg-1	8	4617707	1.000000	0.000000
jurassic-avg-1	11	80031808	0.980000	0.052125
jurassic-avg-1	12	79873265	1.000000	0.000000
jurassic-avg-1	13	66598973	0.927928	0.080585
jurassic-avg-1	16	22293011	0.000000	0.529131
jurassic-avg-1	19	42361091	1.000000	0.000000
jurassic-avg-1	21	27156225	0.960000	0.055720
jurassic-avg-1	23	8638175	0.910000	0.116783
jurassic-avg-1	26	161767823	0.988235	0.052402
jurassic-avg-1	27	87960594	1.000000	0.000000
jurassic-avg-1	28	82697648	0.967391	0.052501
jurassic-avg-1	30	24479906	0.852273	0.157453
jurassic-avg-1	33	38142954	1.000000	0.000000
jurassic-avg-1	35	230335	1.000000	0.000000
jurassic-avg-1	38	129868115	0.254902	0.104859
jurassic-avg-1	39	109170772	0.257143	0.085079
jurassic-avg-1	41	46303145	1.000000	0.000000
jurassic-avg-1	42	23083456	1.000000	0.000000
jurassic-avg-1	45	35462997	1.000000	0.000000
jurassic-avg-1	47	6181628	1.000000	0.000000
jurassic-avg-1	50	121943610	0.420561	0.103985
jurassic-avg-1	51	46058028	0.970000	0.052459
jurassic-avg-1	53	19296025	0.805825	0.054265
jurassic-avg-1	54	8634345	1.000000	0.000000
jurassic-avg-1	57	9627539	1.000000	0.000000
jurassic-avg-1	59	5795399	0.987654	0.052319
jurassic-avg-1	62	110717553	1.000000	0.000000
jurassic-avg-1	63	73503223	1.000000	0.000000
jurassic-avg-1	65	48073672	1.000000	0.000000
jurassic-avg-1	67	16572433	1.000000	0.000000
jurassic-avg-1	70	95052934	0.982759	0.052375
jurassic-avg-1	71	17532099	0.910891	0.072135
jurassic-avg-1	74	81538351	0.990654	0.052419
jurassic-avg-1	75	64558934	1.000000	0.000000
jurassic-avg-1	76	17104906	1.000000	0.000000
jurassic-avg-1	79	60311553	1.000000	0.000000
jurassic-avg-1	81	26417576	0.500000	0.155842
jurassic-avg-1	83	18835138	1.000000	0.000000
jurassic-avg-1	86	58783544	0.302083	0.158570
jurassic-avg-1	87	27156709	0.879630	0.107800
jurassic-avg-1	89	7926784	1.000000	0.000000
jurassic-avg-1	92	39890068	0.970000	0.052801
jurassic-avg-1	94	29963909	1.000000	0.000000
jurassic-avg-1	95	22121406	1.000000	0.000000
jurassic-avg-1	97	20785289	1.000000	0.000000
jurassic-avg-1	100	21533465	1.000000	0.000000
jurassic-avg-1	102	16764162	1.000000	0.000000
jurassic-avg-10	0	170260250	0.895652	0.077102
jurassic-avg-10	1	95360691	0.849462	0.056017
jurassic-avg-10	4	139454919	0.954128	0.132893
jurassic-avg-10	5	21561458	0.294737	0.153234
jurassic-avg-10	8	130765350	0.781818	0.149220
jurassic-avg-10	9	73670601	0.990196	0.052801
jurassic-avg-10	10	61585803	0.831933	0.081258
jurassic-avg-10	11	35622670	0.976471	0.052324
jurassic-avg-10	13	10289141	0.904255	0.052511
jurassic-avg-10	16	53802313	1.000000	0.000000
jurassic-avg-10	17	52663929	0.990291	0.052401
jurassic-avg-10	20	13970648	0.230000	0.193412
jurassic-avg-10	23	45805085	0.745614	0.086159
jurassic-avg-10	24	32255650	0.765957	0.063057
jurassic-avg-10	26	10848874	0.600000	0.135073
jurassic-avg-10	28	281104	1.000000	0.000000
jurassic-avg-10	31	41603313	1.000000	0.000000
jurassic-avg-10	32	7094142	0.930000	0.055013
jurassic-avg-10	35	30672635	0.941748	0.060857
jurassic-avg-10	37	27052509	0.660000	0.155842
jurassic-avg-10	40	112476359	1.000000	0.000000
jurassic-avg-10	42	99442481	1.000000	0.000000
jurassic-avg-10	44	98580517	1.000000	0.000000
jurassic-avg-10	45	71577105	0.540000	0.104831
jurassic-avg-10	46	34565501	0.989796	0.052459
jurassic-avg-10	48	32859055	0.936170	0.054368
jurassic-avg-10	51	55166729	0.654545	0.152969
jurassic-avg-10	53	21697335	0.828571	0.097666
jurassic-avg-10	55	14667054	0.393939	0.100842
jurassic-avg-10	58	89600544	1.000000	0.000000
jurassic-avg-10	59	79443803	0.300813	0.123956
jurassic-avg-10	61	73097839	0.757009	0.070139
jurassic-avg-10	62	44179779	0.633663	0.157080
jurassic-avg-10	64	7861658	1.000000	0.000000
