# results from simulated data from project "project.tab"
# date: 2024-06-12T14:54:19-03:00
tree	node	age	pixels	farthest
jurassic-fast-0	0	168199166	1.000000	0.000000
jurassic-fast-0	1	162445733	0.861386	0.078765
jurassic-fast-0	2	90202427	1.000000	0.000000
jurassic-fast-0	3	76179540	0.990099	0.052019
jurassic-fast-0	4	34222582	0.525253	0.081790
jurassic-fast-0	7	7837412	0.564356	0.108090
jurassic-fast-0	10	59134879	0.673913	0.085555
jurassic-fast-0	11	33195235	1.000000	0.000000
jurassic-fast-0	14	45339307	0.470588	0.632267
jurassic-fast-0	16	25989028	0.090000	0.188501
jurassic-fast-0	19	142069882	0.935185	0.083840
jurassic-fast-0	20	80269520	0.981132	0.052778
jurassic-fast-0	22	38052827	0.805556	0.103168
jurassic-fast-0	24	13990934	1.000000	0.000000
jurassic-fast-0	27	73696911	0.870000	0.106128
jurassic-fast-0	29	60676158	0.953271	0.052801
jurassic-fast-0	30	42341764	0.960784	0.052546
jurassic-fast-0	31	13375194	1.000000	0.000000
jurassic-fast-0	33	3652642	0.760000	0.155749
jurassic-fast-0	36	40580847	0.732759	0.103199
jurassic-fast-0	37	23984861	0.990000	0.052342
jurassic-fast-0	40	14688425	0.313043	0.186133
jurassic-fast-0	43	40121575	0.395161	0.107880
jurassic-fast-0	44	23775569	0.000000	0.886535
jurassic-fast-0	46	19238989	0.970000	0.052459
jurassic-fast-0	49	13625305	0.633663	0.144087
jurassic-fast-0	50	13026703	0.292453	0.106063
jurassic-fast-0	53	10752322	1.000000	0.000000
jurassic-fast-0	54	5688892	0.980000	0.052342
jurassic-fast-0	57	3483764	1.000000	0.000000
jurassic-fast-0	60	142940466	0.452632	0.085635
jurassic-fast-0	61	125037703	0.386555	0.251369
jurassic-fast-0	62	8246911	1.000000	0.000000
jurassic-fast-0	65	86670483	0.943396	0.090545
jurassic-fast-0	67	67425589	0.981818	0.052501
jurassic-fast-0	69	3425109	0.940000	0.052529
jurassic-fast-0	72	141301135	0.945652	0.052529
jurassic-fast-0	73	107589609	0.586207	0.190741
jurassic-fast-0	74	69272423	0.601695	0.203240
jurassic-fast-0	76	61634505	0.387324	0.152693
jurassic-fast-0	78	11872561	0.938144	0.052401
jurassic-fast-0	80	7735904	0.902913	0.052801
jurassic-fast-0	83	99097781	1.000000	0.000000
jurassic-fast-0	84	64006528	0.959596	0.104354
jurassic-fast-0	85	21972054	1.000000	0.000000
jurassic-fast-0	88	27566131	0.948980	0.083107
jurassic-fast-0	89	12661829	0.623762	0.093448
jurassic-fast-0	92	2930131	0.960000	0.052633
jurassic-fast-0	95	81775916	0.881720	0.089979
jurassic-fast-0	96	37175506	0.891089	0.107861
jurassic-fast-0	97	22037074	0.855670	0.063057
jurassic-fast-0	100	17723978	0.950000	0.052511
jurassic-fast-0	103	19649508	0.950000	0.080143
jurassic-fast-0	104	1048863	1.000000	0.000000
jurassic-fast-0	107	10399046	0.989130	0.052401
jurassic-fast-0	109	5581141	0.566038	0.061952
jurassic-fast-0	111	4317761	0.150000	0.164140
jurassic-fast-0	114	133480057	0.145455	0.811933
jurassic-fast-0	115	103559455	1.000000	0.000000
jurassic-fast-0	116	15462204	0.815534	0.101662
jurassic-fast-0	119	51425095	0.000000	0.845112
jurassic-fast-0	120	5252204	0.930000	0.056779
jurassic-fast-0	123	24165368	0.957143	0.070749
jurassic-fast-0	125	9750919	0.990000	0.052501
jurassic-fast-0	127	1196289	1.000000	0.000000
jurassic-fast-0	130	113843458	0.000000	0.796429
jurassic-fast-0	131	74543488	0.000000	0.751081
jurassic-fast-0	133	7390178	0.731959	0.087755
jurassic-fast-0	135	114310	0.970000	0.104918
jurassic-fast-0	138	108479464	0.074713	0.695515
jurassic-fast-0	139	8588165	0.500000	0.105024
jurassic-fast-0	142	80009540	0.657407	0.105179
