# results from simulated data from project "project.tab"
# date: 2024-06-12T14:53:29-03:00
tree	node	age	pixels	farthest
jurassic-slow-0	0	167330446	0.000000	1.179148
jurassic-slow-0	1	151697251	0.000000	0.984316
jurassic-slow-0	2	26622999	1.000000	0.000000
jurassic-slow-0	5	118533407	0.104000	0.701015
jurassic-slow-0	6	81290774	0.059829	0.426909
jurassic-slow-0	8	28069650	1.000000	0.000000
jurassic-slow-0	10	5925792	0.850467	0.156864
jurassic-slow-0	13	84488999	0.000000	0.813117
jurassic-slow-0	14	10112148	1.000000	0.000000
jurassic-slow-0	17	74617611	0.019802	0.837808
jurassic-slow-0	18	30251524	0.990000	0.472146
jurassic-slow-0	20	8391539	1.000000	0.000000
jurassic-slow-0	23	68494607	0.245098	0.342074
jurassic-slow-0	24	63522393	0.875000	0.063533
jurassic-slow-0	26	61011677	0.958763	0.148459
jurassic-slow-0	29	30618942	0.460784	0.221496
jurassic-slow-0	31	28854126	0.509615	0.261854
jurassic-slow-0	32	22236146	0.570093	0.244148
jurassic-slow-0	34	4453862	0.990000	0.056388
jurassic-slow-0	36	2132200	0.990000	0.102838
jurassic-slow-0	39	15365586	0.990000	0.052319
jurassic-slow-0	41	629011	0.990000	0.083774
jurassic-slow-0	43	149649	1.000000	0.000000
jurassic-slow-0	46	134381000	0.000000	1.047696
jurassic-slow-0	47	73154776	0.950980	0.472146
jurassic-slow-0	49	26809751	0.970000	0.419991
jurassic-slow-0	52	127637394	0.000000	0.892637
jurassic-slow-0	53	108571032	0.870588	0.134483
jurassic-slow-0	55	67076828	0.481818	0.157666
jurassic-slow-0	56	7708382	0.895238	0.115075
jurassic-slow-0	58	7368951	0.875000	0.115075
jurassic-slow-0	61	58326452	0.756098	0.421618
jurassic-slow-0	62	22342071	0.902913	0.052501
jurassic-slow-0	64	21477565	0.913462	0.052501
jurassic-slow-0	65	12934102	0.880000	0.052501
jurassic-slow-0	68	4362713	0.980000	0.052319
jurassic-slow-0	71	22335087	0.950000	0.105810
jurassic-slow-0	73	9873565	1.000000	0.000000
jurassic-slow-0	75	6567558	0.980392	0.069739
jurassic-slow-0	77	2576539	1.000000	0.000000
jurassic-slow-0	80	75352895	0.990000	0.052320
jurassic-slow-0	81	45689400	0.933962	0.106257
jurassic-slow-0	82	6089460	1.000000	0.000000
jurassic-slow-0	84	1320173	0.960000	0.157154
jurassic-slow-0	87	5142535	1.000000	0.000000
jurassic-slow-0	89	189881	0.980000	0.052320
jurassic-slow-0	92	70578275	0.877358	0.057046
jurassic-slow-0	93	41176928	0.927273	0.053119
jurassic-slow-0	94	30039299	1.000000	0.000000
jurassic-slow-0	97	5359836	0.950000	0.093528
jurassic-slow-0	100	54969523	1.000000	0.000000
jurassic-slow-0	101	16325599	1.000000	0.000000
jurassic-slow-0	103	9424146	1.000000	0.000000
jurassic-slow-0	106	17512522	1.000000	0.000000
jurassic-slow-0	108	6247245	0.980000	0.110106
jurassic-slow-0	110	1485722	0.970000	0.057837
jurassic-slow-1	0	172661044	0.150000	0.200439
jurassic-slow-1	1	86228527	0.979592	0.052459
jurassic-slow-1	3	74857084	0.960396	0.078454
jurassic-slow-1	4	57529561	0.961905	0.105047
jurassic-slow-1	6	3364532	0.960000	0.055175
jurassic-slow-1	9	33264791	0.960000	0.103985
jurassic-slow-1	10	24459146	0.970000	0.090452
jurassic-slow-1	13	4945292	0.960000	0.090761
jurassic-slow-1	16	153488923	0.488636	0.157833
jurassic-slow-1	17	89875347	0.864000	0.155998
jurassic-slow-1	18	87588731	0.839623	0.155998
jurassic-slow-1	19	66882849	0.904255	0.053185
jurassic-slow-1	22	15363130	0.914894	0.107816
jurassic-slow-1	25	75783255	0.935780	0.103950
jurassic-slow-1	26	34410678	0.037383	0.354902
jurassic-slow-1	28	24014389	0.300000	0.255261
jurassic-slow-1	31	23968847	0.880000	0.138317
jurassic-slow-1	33	16503430	0.876289	0.089050
jurassic-slow-1	35	14482555	0.833333	0.104727
jurassic-slow-1	37	13111313	0.828283	0.157833
jurassic-slow-1	39	1409274	0.870000	0.080920
jurassic-slow-1	42	124708141	0.247619	0.257957
jurassic-slow-1	43	105451179	0.286822	0.291803
jurassic-slow-1	44	6848390	0.920000	0.148382
jurassic-slow-1	47	33400944	0.363636	0.209694
jurassic-slow-1	49	20347548	0.720000	0.110352
jurassic-slow-1	51	5359084	0.710000	0.090172
jurassic-slow-1	54	116057462	0.427350	0.257957
jurassic-slow-1	55	115200671	0.393443	0.210666
jurassic-slow-1	56	63952874	0.584000	0.173355
jurassic-slow-1	58	43152444	0.889908	0.155842
jurassic-slow-1	59	12718474	0.690000	0.161482
jurassic-slow-1	62	12234547	0.950000	0.103985
jurassic-slow-1	64	3465124	0.940000	0.139365
jurassic-slow-1	67	63891572	0.633663	0.157458
jurassic-slow-1	68	47433312	0.586207	0.223688
jurassic-slow-1	70	24857952	0.728395	0.211525
jurassic-slow-1	72	2019199	0.900000	0.052531
jurassic-slow-1	75	59005211	0.699029	0.146577
jurassic-slow-1	76	35162294	0.898990	0.136562
jurassic-slow-1	78	15943006	0.948454	0.137894
jurassic-slow-1	81	50323860	0.883929	0.136562
jurassic-slow-1	82	2661016	0.950000	0.105057
jurassic-slow-1	85	31735243	0.936842	0.107197
jurassic-slow-1	87	19309510	0.978495	0.052501
jurassic-slow-1	90	100812694	0.740000	0.173022
jurassic-slow-1	91	44950126	0.525253	0.175807
jurassic-slow-1	92	39445244	0.801724	0.168667
jurassic-slow-1	93	14354563	0.754902	0.105207
jurassic-slow-1	96	23546867	0.434343	0.314406
jurassic-slow-1	97	21401375	0.565657	0.161364
jurassic-slow-1	100	624284	0.890000	0.104982
jurassic-slow-1	103	41167976	0.715686	0.157261
jurassic-slow-1	104	12702924	0.936842	0.106060
jurassic-slow-1	107	36601551	0.793651	0.111177
jurassic-slow-1	108	36196441	0.814516	0.111177
jurassic-slow-1	111	32413187	0.747664	0.197962
jurassic-slow-1	113	26918034	0.860000	0.155172
jurassic-slow-1	115	16068284	0.860000	0.116339
jurassic-slow-1	118	67291328	0.761905	0.159271
jurassic-slow-1	119	33771063	0.885417	0.301848
jurassic-slow-1	121	30556991	0.782178	0.250693
jurassic-slow-1	122	6828920	0.430000	0.234857
jurassic-slow-1	125	7188645	0.900000	0.104576
jurassic-slow-1	127	2535644	0.950000	0.149864
jurassic-slow-1	130	66908623	0.796748	0.159271
jurassic-slow-1	131	25782858	0.953271	0.053372
jurassic-slow-1	133	14794871	0.930000	0.128452
jurassic-slow-1	135	1168016	0.960000	0.155998
jurassic-slow-1	138	60490090	0.785714	0.155842
jurassic-slow-1	139	11585399	0.834951	0.164362
jurassic-slow-1	142	43797888	0.754237	0.155842
jurassic-slow-1	144	2659191	0.920000	0.060952
jurassic-slow-1	146	2115454	0.930000	0.060952
jurassic-slow-10	0	197401007	0.005208	0.811174
jurassic-slow-10	1	135290547	0.018519	0.342314
jurassic-slow-10	2	92568180	0.229167	0.259176
jurassic-slow-10	3	65945429	0.593220	0.161351
jurassic-slow-10	5	47824185	0.669065	0.524511
jurassic-slow-10	6	23383786	0.987013	0.050036
jurassic-slow-10	9	887195	0.990000	0.085237
jurassic-slow-10	12	89713516	0.397163	0.247073
jurassic-slow-10	13	51369266	0.670213	0.094370
jurassic-slow-10	16	88129477	0.311111	0.220922
jurassic-slow-10	17	60434407	0.942623	0.052424
jurassic-slow-10	19	22574028	0.794118	0.457954
jurassic-slow-10	22	17983803	1.000000	0.000000
jurassic-slow-10	24	643919	0.980000	0.052373
jurassic-slow-10	27	113730244	0.679612	0.145450
jurassic-slow-10	28	7280895	0.982143	0.052459
jurassic-slow-10	31	103702713	0.905983	0.367209
jurassic-slow-10	32	95821924	0.769231	0.524301
jurassic-slow-10	33	67382174	0.970000	0.441323
jurassic-slow-10	36	79069877	0.859649	0.530475
jurassic-slow-10	37	54365406	0.917431	0.053364
jurassic-slow-10	39	8018509	0.991453	0.052529
jurassic-slow-10	42	69555749	0.911765	0.053364
jurassic-slow-10	44	51550496	0.880000	0.052373
jurassic-slow-10	46	14862133	0.970000	0.052171
jurassic-slow-10	49	91547601	0.555556	0.632994
jurassic-slow-10	51	90655986	0.555556	0.632994
jurassic-slow-10	52	25974159	1.000000	0.000000
jurassic-slow-10	54	2894707	0.990000	0.052319
jurassic-slow-10	57	83561719	0.633333	0.524301
jurassic-slow-10	59	72731119	0.645669	0.148220
jurassic-slow-10	61	39023004	0.880000	0.052501
jurassic-slow-10	63	22267227	0.954128	0.052501
jurassic-slow-10	66	154082743	0.000000	1.148306
jurassic-slow-10	67	60920997	0.893617	0.459726
jurassic-slow-10	68	28125932	0.990000	0.052417
jurassic-slow-10	71	54523130	0.965217	0.052711
jurassic-slow-10	72	39512655	0.980000	0.052417
jurassic-slow-10	74	15725976	0.990000	0.052529
jurassic-slow-10	77	7615139	0.990000	0.052361
jurassic-slow-10	79	5258604	1.000000	0.000000
jurassic-slow-10	81	1770195	1.000000	0.000000
jurassic-slow-10	84	133408432	0.194030	0.838081
jurassic-slow-10	85	111060481	0.605263	0.576139
jurassic-slow-10	86	95963191	0.824242	0.095255
jurassic-slow-10	89	97199918	0.493827	0.535967
jurassic-slow-10	90	43439010	0.980000	0.050036
jurassic-slow-10	92	16571333	0.990000	0.052122
jurassic-slow-10	94	10956151	0.910000	0.103053
jurassic-slow-10	97	88401510	0.629834	0.453085
jurassic-slow-10	98	10648257	0.950000	0.052122
jurassic-slow-10	101	8954582	1.000000	0.000000
jurassic-slow-10	103	1448705	1.000000	0.000000
jurassic-slow-10	106	119815141	0.778571	0.628458
jurassic-slow-10	107	38149306	1.000000	0.000000
jurassic-slow-10	109	664270	1.000000	0.000000
jurassic-slow-10	112	100911771	0.681034	0.576481
jurassic-slow-10	113	75299891	0.285714	0.206709
jurassic-slow-10	114	3299179	0.990000	0.053628
jurassic-slow-10	117	58300801	0.960396	0.519145
jurassic-slow-10	118	52531341	0.945946	0.052997
jurassic-slow-10	121	34904025	0.910000	0.053664
jurassic-slow-10	124	95440106	0.700000	0.524387
jurassic-slow-10	125	23949584	0.960000	0.105606
jurassic-slow-10	127	8948629	1.000000	0.000000
jurassic-slow-10	130	73837981	0.778846	0.157080
jurassic-slow-10	131	13780293	0.810000	0.052419
jurassic-slow-10	133	101712	1.000000	0.000000
jurassic-slow-10	136	40874167	0.970000	0.070303
jurassic-slow-10	138	28010109	1.000000	0.000000
jurassic-slow-10	140	12023663	1.000000	0.000000
jurassic-slow-11	0	187008563	0.349515	0.204350
jurassic-slow-11	1	121443509	0.603960	0.303885
jurassic-slow-11	2	110984199	0.500000	0.161137
jurassic-slow-11	4	33114076	0.465517	0.262419
jurassic-slow-11	7	60056291	0.981982	0.053657
jurassic-slow-11	9	41100395	0.830000	0.106635
jurassic-slow-11	10	6202696	0.827957	0.140940
jurassic-slow-11	13	15200407	0.883495	0.122456
jurassic-slow-11	15	14361721	0.877358	0.122456
jurassic-slow-11	17	1587237	1.000000	0.000000
jurassic-slow-11	20	155733577	0.240385	0.239669
jurassic-slow-11	21	120588238	0.944954	0.107476
jurassic-slow-11	22	115362392	0.950980	0.052546
jurassic-slow-11	24	46893150	0.980952	0.052459
jurassic-slow-11	26	35837123	0.929293	0.104978
jurassic-slow-11	28	25686530	0.956044	0.052401
jurassic-slow-11	30	24425525	0.989247	0.052319
jurassic-slow-11	33	120343378	0.944954	0.107476
jurassic-slow-11	34	117579257	0.973684	0.107476
jurassic-slow-11	36	19764381	0.938776	0.092575
jurassic-slow-11	39	96077567	0.286957	0.307964
jurassic-slow-11	40	88933377	0.500000	0.180955
jurassic-slow-11	41	3963688	1.000000	0.000000
jurassic-slow-11	44	60171673	0.194444	0.270978
jurassic-slow-11	46	16628187	0.985075	0.060205
