# results from simulated data from project "project.tab"
# date: 2024-06-12T14:52:32-03:00
tree	node	age	pixels	farthest
neogene-fast-0	0	9945457	0.669492	0.104800
neogene-fast-0	2	9901130	0.575000	0.081620
neogene-fast-0	3	9715928	0.347826	0.180765
neogene-fast-0	4	1551906	1.000000	0.000000
neogene-fast-0	6	996201	0.930000	0.190443
neogene-fast-0	9	2945687	0.270000	0.186493
neogene-fast-0	10	429710	1.000000	0.000000
neogene-fast-0	13	1811525	1.000000	0.000000
neogene-fast-0	15	18528	0.950000	0.106552
neogene-fast-0	18	6928803	0.590000	0.208651
neogene-fast-0	19	6728030	0.100000	0.290795
neogene-fast-0	20	5969007	0.310000	0.106485
neogene-fast-0	21	5332472	0.960000	0.052319
neogene-fast-0	23	5282800	0.840000	0.052888
neogene-fast-0	24	3623560	1.000000	0.000000
neogene-fast-0	27	1856961	0.640000	0.116251
neogene-fast-0	30	1663828	1.000000	0.000000
neogene-fast-0	31	483493	0.980000	0.145459
neogene-fast-0	34	1239722	1.000000	0.000000
neogene-fast-0	36	920953	1.000000	0.000000
neogene-fast-0	38	776098	0.990000	0.054231
neogene-fast-0	41	5753215	0.980769	0.052501
neogene-fast-0	42	3991727	1.000000	0.000000
neogene-fast-0	44	3326261	0.960000	0.052324
neogene-fast-0	45	1441227	0.860000	0.091597
neogene-fast-0	48	19785	0.880000	0.105981
neogene-fast-0	51	4729232	1.000000	0.000000
neogene-fast-0	52	2816670	1.000000	0.000000
neogene-fast-0	55	3081925	1.000000	0.000000
neogene-fast-0	56	802351	0.990000	0.052419
neogene-fast-0	58	325802	1.000000	0.000000
neogene-fast-0	61	2568811	1.000000	0.000000
neogene-fast-0	63	1886214	1.000000	0.000000
neogene-fast-0	65	889748	1.000000	0.000000
neogene-fast-0	68	5223420	0.000000	0.380069
neogene-fast-0	69	2665071	0.140000	0.235185
neogene-fast-0	71	2124270	0.330000	0.158000
neogene-fast-0	73	1279604	0.980000	0.071257
neogene-fast-0	75	844042	0.890000	0.074280
neogene-fast-0	77	110658	0.990000	0.052501
neogene-fast-0	80	4806548	0.220000	0.213737
neogene-fast-0	81	2128218	1.000000	0.000000
neogene-fast-0	82	120846	0.890000	0.195574
neogene-fast-0	85	1429024	0.960000	0.067252
neogene-fast-0	87	1310665	1.000000	0.000000
neogene-fast-0	90	4342759	0.430000	0.154923
neogene-fast-0	91	3240535	1.000000	0.000000
neogene-fast-0	93	329813	0.930000	0.052399
neogene-fast-0	94	175706	0.980000	0.052320
neogene-fast-0	97	19460	0.960000	0.076928
neogene-fast-0	100	4149798	0.050000	0.495008
neogene-fast-0	101	2598112	1.000000	0.000000
neogene-fast-0	102	1655913	1.000000	0.000000
neogene-fast-0	104	405576	0.200000	0.333568
neogene-fast-0	107	2248760	1.000000	0.000000
neogene-fast-0	109	1667812	1.000000	0.000000
neogene-fast-0	111	1161740	0.390000	0.184668
neogene-fast-0	113	121361	0.970000	0.057837
neogene-fast-0	116	4048548	0.240000	0.237152
neogene-fast-0	117	1700340	1.000000	0.000000
neogene-fast-0	119	1685458	1.000000	0.000000
neogene-fast-0	121	961592	1.000000	0.000000
neogene-fast-0	123	952952	1.000000	0.000000
neogene-fast-0	125	662595	0.550000	0.262711
neogene-fast-0	126	549250	0.410000	0.271082
neogene-fast-0	129	483325	0.930000	0.106926
neogene-fast-0	132	3743113	0.460000	0.267581
neogene-fast-0	133	3697156	0.330000	0.248064
neogene-fast-0	136	3475986	0.140000	0.264359
neogene-fast-0	137	2801175	0.700000	0.111018
neogene-fast-0	139	2104569	0.970000	0.052399
neogene-fast-0	141	566814	1.000000	0.000000
neogene-fast-0	144	3263100	0.520000	0.157699
neogene-fast-0	146	1963425	0.690000	0.292084
neogene-fast-0	147	556806	1.000000	0.000000
neogene-fast-0	150	701919	0.850000	0.131436
neogene-fast-0	151	294558	1.000000	0.000000
neogene-fast-0	154	564292	0.190000	0.325603
neogene-fast-0	156	198505	0.990000	0.053073
neogene-fast-1	0	15102241	0.950000	0.052319
neogene-fast-1	1	9474301	0.720721	0.104788
neogene-fast-1	3	6563928	1.000000	0.000000
neogene-fast-1	4	1009552	1.000000	0.000000
neogene-fast-1	7	2167098	1.000000	0.000000
neogene-fast-1	9	700369	0.990000	0.056200
neogene-fast-1	12	14775671	1.000000	0.000000
neogene-fast-1	13	5868624	0.237624	0.121720
neogene-fast-1	14	4397014	0.000000	0.814212
neogene-fast-1	16	3194275	0.800000	0.094370
neogene-fast-1	18	2023438	0.840000	0.052627
neogene-fast-1	20	1760754	0.960000	0.052319
neogene-fast-1	22	450459	1.000000	0.000000
neogene-fast-1	25	5699990	0.443396	0.113088
neogene-fast-1	27	5301534	0.640777	0.157769
neogene-fast-1	28	4858250	0.620000	0.105668
neogene-fast-1	30	1530545	0.990000	0.052263
neogene-fast-1	31	1170203	1.000000	0.000000
neogene-fast-1	34	250364	1.000000	0.000000
neogene-fast-1	37	3832727	0.950000	0.052401
neogene-fast-1	38	2259750	1.000000	0.000000
neogene-fast-1	41	2824011	1.000000	0.000000
neogene-fast-1	43	2229375	1.000000	0.000000
neogene-fast-1	45	2079109	1.000000	0.000000
neogene-fast-1	48	13201273	0.906542	0.066238
neogene-fast-1	49	5903664	0.705263	0.177217
neogene-fast-1	50	2739404	1.000000	0.000000
neogene-fast-1	53	4013836	0.990000	0.052417
neogene-fast-1	55	1169021	0.970000	0.052019
neogene-fast-1	58	12221004	0.760000	0.094370
neogene-fast-1	59	7223759	0.960000	0.073187
neogene-fast-1	60	3017145	1.000000	0.000000
neogene-fast-1	62	1915925	0.910000	0.052529
neogene-fast-1	65	5989430	1.000000	0.000000
neogene-fast-1	66	3022475	1.000000	0.000000
neogene-fast-1	68	1433513	1.000000	0.000000
neogene-fast-1	70	1094933	1.000000	0.000000
neogene-fast-1	72	551430	1.000000	0.000000
neogene-fast-1	74	94735	1.000000	0.000000
neogene-fast-1	77	4619296	1.000000	0.000000
neogene-fast-1	78	2581471	1.000000	0.000000
neogene-fast-1	80	356368	0.980000	0.052320
neogene-fast-1	83	3832934	0.600000	0.104298
neogene-fast-1	84	3274593	1.000000	0.000000
neogene-fast-1	86	2010291	1.000000	0.000000
neogene-fast-1	89	1837189	1.000000	0.000000
neogene-fast-1	90	1478294	1.000000	0.000000
neogene-fast-1	93	1459065	1.000000	0.000000
neogene-fast-1	96	10905138	0.610000	0.105175
neogene-fast-1	97	6432988	0.333333	0.119669
neogene-fast-1	98	3732917	1.000000	0.000000
neogene-fast-1	99	3384948	1.000000	0.000000
neogene-fast-1	102	3533310	0.820000	0.077638
neogene-fast-1	104	3239807	0.990000	0.052529
neogene-fast-1	107	5500891	0.980198	0.127169
neogene-fast-1	108	3086064	0.680000	0.120543
neogene-fast-1	111	3385476	1.000000	0.000000
neogene-fast-1	112	3229158	1.000000	0.000000
neogene-fast-1	115	1909948	0.940000	0.052005
neogene-fast-1	118	9938182	0.659341	0.071426
neogene-fast-1	119	7565658	0.973214	0.052417
neogene-fast-1	121	4706136	1.000000	0.000000
neogene-fast-1	124	8775486	0.642105	0.104831
neogene-fast-1	125	4999830	0.000000	0.781890
neogene-fast-1	127	2443796	1.000000	0.000000
neogene-fast-1	129	333266	0.920000	0.105485
neogene-fast-1	132	6139442	0.890000	0.052150
neogene-fast-1	134	4864918	0.930000	0.054939
neogene-fast-1	136	3825231	0.120000	0.210964
neogene-fast-1	137	3654203	0.230000	0.094370
neogene-fast-1	140	2907480	0.690000	0.087532
neogene-fast-1	142	2428235	1.000000	0.000000
neogene-fast-10	0	16441643	0.702970	0.094363
neogene-fast-10	1	13704944	0.673469	0.156910
neogene-fast-10	2	4796742	1.000000	0.000000
neogene-fast-10	4	3681933	0.880000	0.104889
neogene-fast-10	5	2998885	0.920000	0.066162
neogene-fast-10	8	2477738	0.680000	0.058065
neogene-fast-10	10	705953	0.920000	0.054677
neogene-fast-10	13	12541072	0.261364	0.127984
neogene-fast-10	14	10492371	1.000000	0.000000
neogene-fast-10	15	4826736	0.960000	0.052801
neogene-fast-10	17	3191452	1.000000	0.000000
neogene-fast-10	18	1546959	1.000000	0.000000
neogene-fast-10	21	2884400	1.000000	0.000000
neogene-fast-10	23	1166095	1.000000	0.000000
neogene-fast-10	25	149855	1.000000	0.000000
neogene-fast-10	28	10397512	1.000000	0.000000
neogene-fast-10	29	6285329	0.980769	0.052501
neogene-fast-10	31	1173557	1.000000	0.000000
neogene-fast-10	33	1131368	1.000000	0.000000
neogene-fast-10	36	2689948	0.910000	0.134140
neogene-fast-10	37	1284767	1.000000	0.000000
neogene-fast-10	40	2487510	0.680000	0.104576
neogene-fast-10	42	1680370	1.000000	0.000000
neogene-fast-10	45	9640363	0.000000	0.751228
neogene-fast-10	46	7745062	0.810000	0.053785
neogene-fast-10	47	159566	0.710000	0.197409
neogene-fast-10	50	3533939	1.000000	0.000000
neogene-fast-10	51	1633735	1.000000	0.000000
neogene-fast-10	54	2699252	1.000000	0.000000
neogene-fast-10	56	1347353	0.770000	0.095145
neogene-fast-10	59	6342404	0.409091	0.094370
neogene-fast-10	60	5471643	0.099010	0.156948
neogene-fast-10	62	2322013	1.000000	0.000000
neogene-fast-10	64	1485683	1.000000	0.000000
neogene-fast-10	67	5302925	0.851485	0.074951
neogene-fast-10	68	4874001	0.800000	0.076432
neogene-fast-10	70	3808667	0.970000	0.052417
neogene-fast-10	73	500192	1.000000	0.000000
neogene-fast-10	75	205142	1.000000	0.000000
neogene-fast-10	78	13706828	0.773585	0.065254
neogene-fast-10	79	5084003	0.850000	0.053991
neogene-fast-10	80	2061372	1.000000	0.000000
neogene-fast-10	83	4512872	1.000000	0.000000
neogene-fast-10	84	4000446	1.000000	0.000000
neogene-fast-10	86	776461	1.000000	0.000000
neogene-fast-10	89	2634714	0.660000	0.104722
neogene-fast-10	91	1136019	1.000000	0.000000
neogene-fast-10	94	10235940	0.980000	0.052835
neogene-fast-10	95	5830067	0.050000	0.173416
neogene-fast-10	96	3057492	1.000000	0.000000
neogene-fast-10	98	1167267	1.000000	0.000000
neogene-fast-10	100	836403	1.000000	0.000000
neogene-fast-10	103	4243352	0.740000	0.052417
neogene-fast-10	105	3522114	1.000000	0.000000
neogene-fast-10	106	3000911	1.000000	0.000000
neogene-fast-10	109	2960211	1.000000	0.000000
neogene-fast-10	112	8385290	0.990000	0.052320
neogene-fast-10	113	7954081	0.980198	0.068271
neogene-fast-10	114	7357241	1.000000	0.000000
neogene-fast-10	115	3096998	0.990000	0.052401
neogene-fast-10	118	1823995	1.000000	0.000000
neogene-fast-10	120	941916	1.000000	0.000000
neogene-fast-10	123	3806262	0.960000	0.058280
neogene-fast-10	124	1963485	1.000000	0.000000
neogene-fast-10	127	1358546	0.490000	0.105056
neogene-fast-10	129	500605	0.970000	0.053883
neogene-fast-10	132	8062028	0.343434	0.124978
neogene-fast-10	133	6893880	1.000000	0.000000
neogene-fast-10	134	5952814	0.666667	0.104636
neogene-fast-10	136	5462672	0.783019	0.141181
neogene-fast-10	138	528353	1.000000	0.000000
neogene-fast-10	141	3908370	1.000000	0.000000
neogene-fast-10	143	3031437	1.000000	0.000000
neogene-fast-10	145	603003	1.000000	0.000000
neogene-fast-10	147	290098	1.000000	0.000000
neogene-fast-10	150	7169793	1.000000	0.000000
neogene-fast-10	151	6148939	0.980000	0.052401
neogene-fast-10	153	1890359	1.000000	0.000000
neogene-fast-10	155	55798	0.970000	0.112785
neogene-fast-10	158	4567909	0.120000	0.220872
neogene-fast-10	159	3084655	1.000000	0.000000
neogene-fast-10	161	1137793	1.000000	0.000000
neogene-fast-10	164	1890410	0.980000	0.052501
neogene-fast-10	166	800711	0.960000	0.055629
neogene-fast-11	0	6633279	0.616162	0.212093
neogene-fast-11	1	5010039	0.400000	0.227617
neogene-fast-11	2	1821165	0.990000	0.058535
neogene-fast-11	4	355797	0.910000	0.106185
neogene-fast-11	6	299222	0.930000	0.103944
neogene-fast-11	9	1274449	0.930000	0.119890
neogene-fast-11	10	501258	0.860000	0.157833
neogene-fast-11	13	1179164	0.930000	0.073072
neogene-fast-11	15	471767	0.790000	0.164081
neogene-fast-11	18	5695384	0.500000	0.244148
neogene-fast-11	19	5201435	0.867347	0.094370
neogene-fast-11	20	859613	0.970000	0.052801
neogene-fast-11	22	495422	1.000000	0.000000
neogene-fast-11	25	3461335	1.000000	0.000000
neogene-fast-11	26	3119917	1.000000	0.000000
neogene-fast-11	28	1078293	0.970000	0.140940
neogene-fast-11	31	3069473	1.000000	0.000000
