# results from simulated data from project "project.tab"
# date: 2024-06-12T14:52:27-03:00
tree	node	age	pixels	farthest
neogene-slow-0	0	22333806	0.579545	0.220599
neogene-slow-0	1	19467470	0.690000	0.130634
neogene-slow-0	2	18506545	0.790000	0.210849
neogene-slow-0	3	4093660	0.830000	0.156948
neogene-slow-0	5	519181	0.910000	0.105056
neogene-slow-0	8	12061987	0.890000	0.104743
neogene-slow-0	9	2761091	0.880000	0.157740
neogene-slow-0	11	2388411	0.830000	0.162373
neogene-slow-0	14	8758536	0.840000	0.115619
neogene-slow-0	15	3925341	0.900000	0.080027
neogene-slow-0	18	5675929	0.820000	0.157115
neogene-slow-0	19	1812695	0.850000	0.094261
neogene-slow-0	21	264951	0.940000	0.094610
neogene-slow-0	24	2633030	0.890000	0.093718
neogene-slow-0	26	569914	0.910000	0.105056
neogene-slow-0	28	238527	0.880000	0.140940
neogene-slow-0	31	18337792	0.550000	0.157085
neogene-slow-0	32	9123688	0.900000	0.056442
neogene-slow-0	33	4671464	0.880000	0.105375
neogene-slow-0	36	5857965	0.712871	0.176966
neogene-slow-0	37	1485012	0.700000	0.147095
neogene-slow-0	40	4014858	0.760000	0.228067
neogene-slow-0	42	3297364	0.810000	0.165446
neogene-slow-0	45	14114702	0.540000	0.260057
neogene-slow-0	46	8918774	0.870000	0.137880
neogene-slow-0	48	5721181	0.680000	0.144756
neogene-slow-0	49	3300091	0.900000	0.057609
neogene-slow-0	52	2994673	0.960000	0.059727
neogene-slow-0	53	269154	0.970000	0.060419
neogene-slow-0	56	33086	0.900000	0.052417
neogene-slow-0	59	10262864	0.800000	0.192619
neogene-slow-0	60	7079309	0.870000	0.146486
neogene-slow-0	62	5570838	0.910000	0.094501
neogene-slow-0	65	3980283	0.930000	0.104740
neogene-slow-0	67	1400331	0.870000	0.052529
neogene-slow-0	68	1184885	0.870000	0.093098
neogene-slow-0	71	64945	0.980000	0.052529
neogene-slow-0	74	18873937	0.680000	0.164989
neogene-slow-0	75	13188049	0.740000	0.108541
neogene-slow-0	76	829677	0.960000	0.052469
neogene-slow-0	79	13173767	0.740000	0.108541
neogene-slow-0	81	10954284	0.920000	0.105207
neogene-slow-0	83	10039564	0.830000	0.071347
neogene-slow-0	85	3840730	0.550000	0.220749
neogene-slow-0	87	1845605	0.820000	0.156864
neogene-slow-0	90	18122236	0.620000	0.166189
neogene-slow-0	91	13638403	0.790000	0.140940
neogene-slow-0	93	11452675	0.772277	0.250094
neogene-slow-0	95	1577327	0.560000	0.157595
neogene-slow-0	98	16327424	0.580000	0.210098
neogene-slow-0	99	10248982	0.613861	0.165446
neogene-slow-0	101	6355209	0.683168	0.176966
neogene-slow-0	102	2714421	0.770000	0.127346
neogene-slow-0	104	72860	0.700000	0.182684
neogene-slow-0	107	6329060	0.683168	0.176966
neogene-slow-0	108	3112019	0.820000	0.156921
neogene-slow-0	111	5425825	0.680000	0.133587
neogene-slow-0	112	3592316	0.850000	0.083116
neogene-slow-0	115	5338628	0.690000	0.133587
neogene-slow-0	116	4892994	0.600000	0.178555
neogene-slow-0	119	1860678	0.870000	0.126428
neogene-slow-0	122	16004402	0.560000	0.210098
neogene-slow-0	123	7790772	0.420000	0.209812
neogene-slow-0	124	154731	0.590000	0.209151
neogene-slow-0	127	6446665	0.560000	0.209602
neogene-slow-0	128	6195130	0.700000	0.209478
neogene-slow-0	130	5436893	0.720000	0.162644
neogene-slow-0	133	2317647	0.580000	0.210328
neogene-slow-0	135	592647	0.710000	0.199176
neogene-slow-0	138	14306149	0.540000	0.232426
neogene-slow-0	139	9279027	0.840000	0.145907
neogene-slow-0	141	1370738	0.920000	0.072377
neogene-slow-0	144	12760506	0.683168	0.165877
neogene-slow-0	146	8859874	0.700000	0.157579
neogene-slow-0	148	2081602	0.830000	0.184429
neogene-slow-0	150	1872012	0.810000	0.184429
neogene-slow-0	152	1449796	0.850000	0.132405
neogene-slow-1	0	10344965	0.430000	0.164214
neogene-slow-1	1	9769513	0.460000	0.164214
neogene-slow-1	2	7201218	0.480000	0.164475
neogene-slow-1	4	783390	0.720000	0.123184
neogene-slow-1	7	8314542	0.420000	0.166988
neogene-slow-1	8	2842455	0.850000	0.160458
neogene-slow-1	11	3258858	0.640000	0.164214
neogene-slow-1	13	2863442	0.640000	0.164214
neogene-slow-1	15	554430	0.650000	0.164214
neogene-slow-1	18	9676613	0.420000	0.164214
neogene-slow-1	19	6655268	0.490000	0.119402
neogene-slow-1	20	6216282	0.470000	0.166988
neogene-slow-1	21	4144582	0.560000	0.164214
neogene-slow-1	24	1002822	0.690000	0.129461
neogene-slow-1	27	5823732	0.500000	0.164214
neogene-slow-1	28	3070655	0.700000	0.164214
neogene-slow-1	31	5083248	0.510000	0.164214
neogene-slow-1	32	22655	0.740000	0.164214
neogene-slow-1	35	3434002	0.710000	0.164214
neogene-slow-1	36	1848263	0.720000	0.164214
neogene-slow-1	38	866404	0.710000	0.164214
neogene-slow-1	41	2228876	0.720000	0.164214
neogene-slow-1	43	1999146	0.720000	0.164214
neogene-slow-1	44	1891243	0.720000	0.164214
neogene-slow-1	47	998802	0.700000	0.164214
neogene-slow-1	48	854482	0.700000	0.164214
neogene-slow-1	51	119144	0.690000	0.164214
neogene-slow-1	54	7463023	0.510000	0.119402
neogene-slow-1	55	5337486	0.630000	0.204353
neogene-slow-1	56	4787647	0.640000	0.129461
neogene-slow-1	58	2569620	0.670000	0.123184
neogene-slow-1	60	7132	0.580000	0.123184
neogene-slow-1	63	4349343	0.740000	0.129461
neogene-slow-1	64	3513627	0.740000	0.129461
neogene-slow-1	66	1941563	0.690000	0.164214
neogene-slow-1	68	1273629	0.670000	0.164214
neogene-slow-1	71	2807295	0.740000	0.157244
neogene-slow-1	73	1391160	0.730000	0.123184
neogene-slow-1	74	326385	0.720000	0.104496
neogene-slow-1	77	1199514	0.730000	0.123184
neogene-slow-1	79	432840	0.740000	0.123184
neogene-slow-1	82	7342491	0.510000	0.119402
neogene-slow-1	83	1257390	0.720000	0.129461
neogene-slow-1	86	5467834	0.650000	0.129461
neogene-slow-1	87	3949309	0.740000	0.104496
neogene-slow-1	89	1119725	0.730000	0.157244
neogene-slow-1	92	5216303	0.650000	0.129461
neogene-slow-1	93	4114623	0.690000	0.129461
neogene-slow-1	95	452619	0.700000	0.129461
neogene-slow-1	98	4812054	0.650000	0.129461
neogene-slow-1	99	3780178	0.660000	0.123184
neogene-slow-1	100	2223324	0.670000	0.129461
neogene-slow-1	102	67858	0.670000	0.157244
neogene-slow-1	105	2196858	0.670000	0.129461
neogene-slow-1	107	1832970	0.670000	0.129461
neogene-slow-1	109	708609	0.650000	0.129461
neogene-slow-1	112	4003928	0.680000	0.129461
neogene-slow-1	113	2980240	0.700000	0.129461
neogene-slow-1	114	2466694	0.700000	0.129461
neogene-slow-1	117	2514226	0.690000	0.129461
neogene-slow-1	118	2441926	0.690000	0.129461
neogene-slow-1	121	2236243	0.690000	0.129461
neogene-slow-1	123	919821	0.710000	0.129461
neogene-slow-1	126	3275409	0.680000	0.129461
neogene-slow-1	127	1192030	0.750000	0.129461
neogene-slow-1	129	1171613	0.750000	0.129461
neogene-slow-1	131	941839	0.750000	0.129461
neogene-slow-1	133	664103	0.750000	0.129461
neogene-slow-1	135	226411	0.750000	0.129461
neogene-slow-1	138	2216281	0.680000	0.157244
neogene-slow-1	139	2197955	0.680000	0.157244
neogene-slow-1	142	1809806	0.680000	0.157244
neogene-slow-1	144	1359250	0.670000	0.157244
neogene-slow-1	145	41815	0.700000	0.211361
neogene-slow-1	148	1293173	0.670000	0.157244
neogene-slow-1	150	18734	0.700000	0.157244
neogene-slow-10	0	10225262	0.444444	0.276589
neogene-slow-10	1	9576489	0.402174	0.214571
neogene-slow-10	2	73283	0.390000	0.224872
neogene-slow-10	5	7930270	0.585106	0.159855
neogene-slow-10	6	2424689	0.760000	0.157492
neogene-slow-10	7	656646	0.710000	0.165937
neogene-slow-10	10	2358924	0.760000	0.157492
neogene-slow-10	11	1116524	0.740000	0.156424
neogene-slow-10	14	1964348	0.750000	0.157492
neogene-slow-10	16	1152761	0.760000	0.140928
neogene-slow-10	19	4459446	0.560000	0.189838
neogene-slow-10	20	1406495	0.580000	0.188726
neogene-slow-10	23	2630422	0.500000	0.185234
neogene-slow-10	25	2200328	0.500000	0.185234
neogene-slow-10	26	2171067	0.500000	0.185234
neogene-slow-10	29	2175929	0.500000	0.185234
neogene-slow-10	31	1268724	0.350000	0.185234
neogene-slow-10	34	9304155	0.458333	0.217856
neogene-slow-10	36	9228003	0.458333	0.217856
neogene-slow-10	37	4488894	0.880000	0.124902
neogene-slow-10	38	1773307	0.900000	0.148062
neogene-slow-10	41	4358790	0.880000	0.124902
neogene-slow-10	42	2365029	0.870000	0.105779
neogene-slow-10	44	1003985	0.930000	0.105842
neogene-slow-10	47	3068477	0.920000	0.105842
neogene-slow-10	48	138390	0.950000	0.058535
neogene-slow-10	51	1599967	0.930000	0.105842
neogene-slow-10	53	892175	0.910000	0.140940
neogene-slow-10	56	9137449	0.468085	0.217856
neogene-slow-10	57	5535211	0.527473	0.209592
neogene-slow-10	58	3369493	0.470000	0.162615
neogene-slow-10	60	3074593	0.470000	0.162615
neogene-slow-10	63	4982638	0.570000	0.160187
neogene-slow-10	64	3984447	0.560000	0.157492
neogene-slow-10	66	3198128	0.620000	0.157525
