# results from simulated data from project "project.tab"
# date: 2024-06-12T14:52:38-03:00
tree	node	age	pixels	farthest
paleogene-avg-0	0	52949969	0.862745	0.060857
paleogene-avg-0	1	48010921	1.000000	0.000000
paleogene-avg-0	2	36325410	0.988889	0.052417
paleogene-avg-0	3	28033735	0.968421	0.055308
paleogene-avg-0	6	20503932	0.177305	0.168474
paleogene-avg-0	8	10553898	0.930693	0.052417
paleogene-avg-0	11	30372771	0.685185	0.104298
paleogene-avg-0	12	22828374	1.000000	0.000000
paleogene-avg-0	14	10906104	0.980000	0.052319
paleogene-avg-0	15	3278573	1.000000	0.000000
paleogene-avg-0	18	755475	0.980000	0.140940
paleogene-avg-0	21	27268911	0.990196	0.052401
paleogene-avg-0	22	25850282	0.864583	0.052501
paleogene-avg-0	23	192767	0.970000	0.085719
paleogene-avg-0	26	12935253	0.780000	0.057327
paleogene-avg-0	28	6506544	0.980000	0.052459
paleogene-avg-0	31	5661206	0.940000	0.106926
paleogene-avg-0	32	3837249	0.980000	0.060397
paleogene-avg-0	35	2173584	1.000000	0.000000
paleogene-avg-0	37	1588254	1.000000	0.000000
paleogene-avg-0	40	41824698	0.120000	0.156038
paleogene-avg-0	41	32013117	1.000000	0.000000
paleogene-avg-0	42	4040445	1.000000	0.000000
paleogene-avg-0	44	1602633	1.000000	0.000000
paleogene-avg-0	47	25799897	0.970874	0.052401
paleogene-avg-0	48	998423	0.970000	0.055271
paleogene-avg-0	51	21505381	1.000000	0.000000
paleogene-avg-0	52	18444786	0.830000	0.053828
paleogene-avg-0	54	6533491	1.000000	0.000000
paleogene-avg-0	56	5947956	1.000000	0.000000
paleogene-avg-0	57	4342054	0.990000	0.052342
paleogene-avg-0	60	2428730	0.900000	0.081124
paleogene-avg-0	63	20657311	0.990000	0.052324
paleogene-avg-0	64	17817094	0.900990	0.072704
paleogene-avg-0	66	14122083	1.000000	0.000000
paleogene-avg-0	67	7828188	0.735043	0.140940
paleogene-avg-0	70	9379404	0.952830	0.052360
paleogene-avg-0	71	9197271	0.983607	0.052360
paleogene-avg-0	74	2955442	0.480000	0.306468
paleogene-avg-0	76	868133	0.960000	0.104405
paleogene-avg-0	79	17440079	0.813725	0.109823
paleogene-avg-0	80	13351603	0.120000	0.206709
paleogene-avg-0	82	8267134	0.300000	0.212850
paleogene-avg-0	84	6570455	0.830000	0.065465
paleogene-avg-0	87	13879800	1.000000	0.000000
paleogene-avg-0	89	11574908	0.990000	0.052019
paleogene-avg-0	91	6346512	0.980000	0.052801
paleogene-avg-0	93	6285107	1.000000	0.000000
paleogene-avg-0	96	34183661	0.280000	0.105179
paleogene-avg-0	97	29403608	0.031579	0.215155
paleogene-avg-0	99	27882235	0.130000	0.232552
paleogene-avg-0	101	368355	0.950000	0.175839
paleogene-avg-0	104	29853161	0.530612	0.104576
paleogene-avg-0	105	8214010	1.000000	0.000000
paleogene-avg-0	106	8163926	1.000000	0.000000
paleogene-avg-0	109	1811376	1.000000	0.000000
paleogene-avg-0	112	23503565	0.720000	0.052801
paleogene-avg-0	113	19098703	0.763441	0.052528
paleogene-avg-0	114	5549991	1.000000	0.000000
paleogene-avg-0	117	12693286	0.720000	0.104247
paleogene-avg-0	118	3313205	0.990000	0.052019
paleogene-avg-0	121	7639092	0.840426	0.052844
paleogene-avg-0	122	3363374	0.730000	0.137572
paleogene-avg-0	125	5215448	0.880000	0.157408
paleogene-avg-0	127	4539012	0.900000	0.104576
paleogene-avg-0	130	19828330	1.000000	0.000000
paleogene-avg-0	131	17807131	0.885417	0.113523
paleogene-avg-0	132	16489981	0.738095	0.157212
paleogene-avg-0	135	16626272	0.847059	0.080585
paleogene-avg-0	137	4655597	1.000000	0.000000
paleogene-avg-0	139	280676	0.990000	0.052501
paleogene-avg-0	142	14603044	0.800000	0.105047
paleogene-avg-0	144	7930487	0.490385	0.151622
paleogene-avg-0	145	3974984	0.770000	0.074443
paleogene-avg-0	148	6706699	0.580000	0.105220
paleogene-avg-0	150	2297930	1.000000	0.000000
paleogene-avg-1	0	40861091	0.936937	0.052511
paleogene-avg-1	1	30057595	0.962264	0.052417
paleogene-avg-1	2	7595560	1.000000	0.000000
paleogene-avg-1	4	5802860	0.944444	0.106167
paleogene-avg-1	7	29706299	1.000000	0.000000
paleogene-avg-1	8	10797759	0.656863	0.162565
paleogene-avg-1	11	21473946	1.000000	0.000000
paleogene-avg-1	12	13453941	0.990000	0.051502
paleogene-avg-1	13	9500237	0.864865	0.059254
paleogene-avg-1	15	402315	0.990000	0.052180
paleogene-avg-1	18	12577528	0.970000	0.052324
paleogene-avg-1	19	12024159	0.880000	0.052324
paleogene-avg-1	21	7692966	0.990000	0.085501
paleogene-avg-1	24	2913118	0.570000	0.281727
paleogene-avg-1	26	2825147	0.590000	0.224013
paleogene-avg-1	29	11116067	0.949495	0.062188
paleogene-avg-1	30	11090129	0.970874	0.052511
paleogene-avg-1	31	5911089	0.942857	0.055291
paleogene-avg-1	34	3803152	1.000000	0.000000
paleogene-avg-1	36	1410065	0.990000	0.052422
paleogene-avg-1	39	5410410	0.875000	0.055728
paleogene-avg-1	41	5402282	0.888889	0.055728
paleogene-avg-1	43	4277904	0.970000	0.207035
paleogene-avg-1	45	3949568	0.990000	0.176785
paleogene-avg-1	48	34739449	0.970297	0.113571
paleogene-avg-1	49	23649512	0.235955	0.226005
paleogene-avg-1	50	18690387	0.828358	0.213795
paleogene-avg-1	51	8327665	0.924528	0.052529
paleogene-avg-1	54	12757607	0.989583	0.052150
paleogene-avg-1	56	4767653	0.960000	0.085202
paleogene-avg-1	59	23461215	0.108911	0.238835
