# results from simulated data from project "project.tab"
# date: 2024-06-12T14:52:46-03:00
tree	node	age	pixels	farthest
paleogene-fast-0	0	60249280	0.747368	0.087376
paleogene-fast-0	1	21304540	0.943925	0.058535
paleogene-fast-0	3	21198987	0.875000	0.052529
paleogene-fast-0	4	14890563	1.000000	0.000000
paleogene-fast-0	6	6785135	0.680000	0.317311
paleogene-fast-0	8	1339013	1.000000	0.000000
paleogene-fast-0	11	17797076	0.732673	0.210340
paleogene-fast-0	13	12928780	0.950495	0.059032
paleogene-fast-0	14	9392450	0.830000	0.157629
paleogene-fast-0	17	11162854	1.000000	0.000000
paleogene-fast-0	19	6200136	0.643564	0.197813
paleogene-fast-0	22	59622879	0.624000	0.133754
paleogene-fast-0	23	32290896	0.307692	0.157237
paleogene-fast-0	24	5449463	0.910000	0.052546
paleogene-fast-0	26	5170481	0.900000	0.054712
paleogene-fast-0	28	5629	0.960000	0.139850
paleogene-fast-0	31	27925262	0.270000	0.112981
paleogene-fast-0	32	4167238	1.000000	0.000000
paleogene-fast-0	34	881000	1.000000	0.000000
paleogene-fast-0	37	17797908	1.000000	0.000000
paleogene-fast-0	38	3351793	1.000000	0.000000
paleogene-fast-0	41	11124692	1.000000	0.000000
paleogene-fast-0	42	8705970	1.000000	0.000000
paleogene-fast-0	45	1623996	1.000000	0.000000
paleogene-fast-0	48	49633982	0.933333	0.057616
paleogene-fast-0	49	30909069	0.780488	0.106421
paleogene-fast-0	50	22529714	0.742268	0.100922
paleogene-fast-0	52	1648617	1.000000	0.000000
paleogene-fast-0	55	21222042	0.094488	0.217425
paleogene-fast-0	56	14255130	0.987805	0.052373
paleogene-fast-0	58	9084776	1.000000	0.000000
paleogene-fast-0	61	14811943	1.000000	0.000000
paleogene-fast-0	62	8185910	0.656863	0.116749
paleogene-fast-0	65	3490389	1.000000	0.000000
paleogene-fast-0	66	576888	1.000000	0.000000
paleogene-fast-0	69	3155776	1.000000	0.000000
paleogene-fast-0	71	1412081	1.000000	0.000000
paleogene-fast-0	74	31383850	0.947917	0.066131
paleogene-fast-0	75	280231	0.960000	0.157309
paleogene-fast-0	78	29672585	0.145455	0.157833
paleogene-fast-0	79	28408815	0.792453	0.105412
paleogene-fast-0	80	7828973	0.930000	0.052801
paleogene-fast-0	82	6797509	1.000000	0.000000
paleogene-fast-0	85	25093217	0.759259	0.077283
paleogene-fast-0	86	16463748	0.950000	0.054779
paleogene-fast-0	89	11923765	0.960396	0.075021
paleogene-fast-0	92	28406643	0.601626	0.167771
paleogene-fast-0	94	9959246	0.978723	0.052180
paleogene-fast-0	96	9448029	0.973913	0.052417
paleogene-fast-0	97	6276533	0.970000	0.069489
paleogene-fast-0	98	3718969	1.000000	0.000000
paleogene-fast-0	101	3394680	1.000000	0.000000
paleogene-fast-0	104	7940315	1.000000	0.000000
paleogene-fast-0	105	7466683	0.990099	0.052529
paleogene-fast-0	107	1263476	1.000000	0.000000
paleogene-fast-0	110	4002939	1.000000	0.000000
paleogene-fast-0	112	2547838	0.740000	0.121437
paleogene-fast-1	0	52579307	0.843750	0.056017
paleogene-fast-1	2	49400145	0.990566	0.052288
paleogene-fast-1	3	22023417	1.000000	0.000000
paleogene-fast-1	4	13211029	0.690000	0.090654
paleogene-fast-1	6	3731708	1.000000	0.000000
paleogene-fast-1	9	16720715	1.000000	0.000000
paleogene-fast-1	10	6328734	0.980392	0.085320
paleogene-fast-1	13	11675652	0.685393	0.112342
paleogene-fast-1	14	7289546	0.970000	0.052801
paleogene-fast-1	17	3973818	1.000000	0.000000
paleogene-fast-1	19	2252247	0.590000	0.161504
paleogene-fast-1	22	47876944	0.901961	0.052501
paleogene-fast-1	23	46771002	0.971429	0.052501
paleogene-fast-1	24	42080229	0.364407	0.104636
paleogene-fast-1	25	16858458	0.747368	0.062894
paleogene-fast-1	27	4210416	0.540000	0.103944
paleogene-fast-1	29	1995874	1.000000	0.000000
paleogene-fast-1	32	6982707	1.000000	0.000000
paleogene-fast-1	34	5622889	1.000000	0.000000
paleogene-fast-1	36	3323048	0.940000	0.052459
paleogene-fast-1	39	36355908	0.258278	0.138742
paleogene-fast-1	40	7528116	1.000000	0.000000
paleogene-fast-1	42	4294618	1.000000	0.000000
paleogene-fast-1	44	1990141	1.000000	0.000000
paleogene-fast-1	47	26722917	0.744444	0.113352
paleogene-fast-1	48	24384119	1.000000	0.000000
paleogene-fast-1	50	332014	1.000000	0.000000
paleogene-fast-1	53	26005260	0.742268	0.078025
paleogene-fast-1	54	17221425	0.981132	0.052150
paleogene-fast-1	55	1584074	1.000000	0.000000
paleogene-fast-1	58	16106553	0.859813	0.119372
paleogene-fast-1	59	7275598	0.962617	0.052150
paleogene-fast-1	62	725761	1.000000	0.000000
paleogene-fast-1	64	502959	1.000000	0.000000
paleogene-fast-1	67	23681354	0.886598	0.106621
paleogene-fast-1	68	19632538	0.971698	0.052401
paleogene-fast-1	70	7256400	0.946903	0.052501
paleogene-fast-1	71	832972	1.000000	0.000000
paleogene-fast-1	74	166952	1.000000	0.000000
paleogene-fast-1	77	14835570	0.930000	0.055488
paleogene-fast-1	79	13867801	0.820755	0.104800
paleogene-fast-1	81	4366272	1.000000	0.000000
paleogene-fast-1	82	3034086	1.000000	0.000000
paleogene-fast-1	85	1342825	0.970000	0.095287
paleogene-fast-1	88	31005036	0.789916	0.053584
paleogene-fast-1	89	29156704	0.404762	0.106881
paleogene-fast-1	90	16654585	0.848485	0.052633
paleogene-fast-1	92	13591677	0.810000	0.054939
paleogene-fast-1	94	6915479	0.964602	0.052469
paleogene-fast-1	96	1304008	0.870000	0.058536
paleogene-fast-1	98	386460	0.990000	0.052150
paleogene-fast-1	101	24104546	0.990000	0.052482
paleogene-fast-1	102	14580260	1.000000	0.000000
paleogene-fast-1	103	9447061	0.075472	0.160431
paleogene-fast-1	105	6821966	1.000000	0.000000
paleogene-fast-1	108	10313574	0.990476	0.068030
paleogene-fast-1	109	7223622	0.990000	0.052417
paleogene-fast-1	112	2364400	1.000000	0.000000
paleogene-fast-1	115	17806995	0.920000	0.052678
paleogene-fast-1	117	8550302	0.960396	0.052367
paleogene-fast-1	119	6318044	0.987654	0.054130
paleogene-fast-1	121	5636284	0.900000	0.053226
paleogene-fast-1	123	4716736	1.000000	0.000000
paleogene-fast-1	125	1440753	1.000000	0.000000
paleogene-fast-1	127	473689	1.000000	0.000000
paleogene-fast-1	130	29059543	0.247423	0.152242
paleogene-fast-1	131	13148537	0.833333	0.144763
paleogene-fast-1	133	10022267	0.834951	0.094370
paleogene-fast-1	134	2748144	1.000000	0.000000
paleogene-fast-1	137	7060395	1.000000	0.000000
paleogene-fast-1	139	5206511	0.980769	0.052180
paleogene-fast-1	141	261655	1.000000	0.000000
paleogene-fast-1	144	17247831	0.913462	0.052501
paleogene-fast-1	145	11675292	1.000000	0.000000
paleogene-fast-1	146	7478850	0.925926	0.052417
paleogene-fast-1	149	2850234	1.000000	0.000000
paleogene-fast-1	152	12809375	0.147368	0.142610
paleogene-fast-1	153	9549442	0.062500	0.187349
paleogene-fast-1	155	2638572	1.000000	0.000000
paleogene-fast-1	158	11942168	0.500000	0.112658
paleogene-fast-1	160	8118055	0.020000	0.535771
paleogene-fast-1	161	1533853	1.000000	0.000000
paleogene-fast-1	163	526370	1.000000	0.000000
paleogene-fast-1	166	7829877	0.000000	0.582611
paleogene-fast-1	167	7076742	0.030000	0.380772
paleogene-fast-1	169	3810309	0.200000	0.084294
paleogene-fast-1	172	4032146	0.260000	0.067005
paleogene-fast-1	174	3517856	0.650000	0.153942
paleogene-fast-10	0	35463660	0.950000	0.058536
paleogene-fast-10	1	18138639	0.980198	0.105072
paleogene-fast-10	3	14032446	0.852941	0.140940
paleogene-fast-10	4	5315194	0.700000	0.083840
paleogene-fast-10	7	13455247	0.987952	0.052180
paleogene-fast-10	9	13003099	1.000000	0.000000
paleogene-fast-10	10	9204677	0.780000	0.199328
paleogene-fast-10	12	8150672	1.000000	0.000000
paleogene-fast-10	15	10188335	0.903846	0.054200
paleogene-fast-10	16	9629149	0.933962	0.052373
paleogene-fast-10	18	1670583	1.000000	0.000000
paleogene-fast-10	20	1448277	1.000000	0.000000
paleogene-fast-10	22	710954	1.000000	0.000000
paleogene-fast-10	24	341351	0.990000	0.052150
paleogene-fast-10	26	219944	1.000000	0.000000
paleogene-fast-10	29	9130013	0.970000	0.052501
paleogene-fast-10	30	8723786	0.942308	0.055238
paleogene-fast-10	31	6916482	1.000000	0.000000
paleogene-fast-10	34	2139355	1.000000	0.000000
paleogene-fast-10	36	441652	1.000000	0.000000
paleogene-fast-10	39	8716940	0.960000	0.052501
paleogene-fast-10	41	4620348	1.000000	0.000000
paleogene-fast-10	42	1399201	1.000000	0.000000
paleogene-fast-10	45	2348262	1.000000	0.000000
paleogene-fast-10	47	2069593	1.000000	0.000000
paleogene-fast-10	50	24952558	0.900000	0.094370
paleogene-fast-10	51	7251430	0.990196	0.052401
paleogene-fast-10	53	4414318	1.000000	0.000000
paleogene-fast-10	55	909930	1.000000	0.000000
paleogene-fast-10	58	24312830	1.000000	0.000000
paleogene-fast-10	59	10250191	0.970297	0.106926
paleogene-fast-10	61	6083113	0.830000	0.054142
paleogene-fast-10	62	5737593	0.490000	0.132397
paleogene-fast-10	64	1479615	1.000000	0.000000
paleogene-fast-10	67	3123169	0.990000	0.053022
paleogene-fast-10	69	2122579	1.000000	0.000000
paleogene-fast-10	72	15826776	0.974359	0.052417
paleogene-fast-10	73	14862979	1.000000	0.000000
paleogene-fast-10	74	2610558	1.000000	0.000000
paleogene-fast-10	77	5047629	1.000000	0.000000
paleogene-fast-10	79	2256185	1.000000	0.000000
paleogene-fast-10	82	13923129	0.890000	0.052360
paleogene-fast-10	83	12177903	0.720000	0.052511
paleogene-fast-10	85	3364852	0.300000	0.155998
paleogene-fast-10	88	12895029	0.983333	0.052511
paleogene-fast-10	89	10270492	0.943925	0.105972
paleogene-fast-10	91	6118298	0.800000	0.125362
paleogene-fast-10	93	6064091	0.870000	0.177217
paleogene-fast-10	95	3214857	0.980000	0.052554
paleogene-fast-10	98	3292706	1.000000	0.000000
paleogene-fast-10	99	1548684	0.910000	0.106969
paleogene-fast-10	102	1302435	1.000000	0.000000
paleogene-fast-10	104	515120	1.000000	0.000000
paleogene-fast-11	0	58375362	1.000000	0.000000
paleogene-fast-11	1	32121236	0.000000	0.164151
paleogene-fast-11	3	22874257	0.950495	0.052801
