# results from simulated data from project "project.tab"
# date: 2024-06-12T14:54:58-03:00
tree	node	age	pixels	farthest
triassic-avg-0	0	250814088	1.000000	0.000000
triassic-avg-0	1	151843995	0.861111	0.060857
triassic-avg-0	2	143325933	0.666667	0.192465
triassic-avg-0	4	32360007	1.000000	0.000000
triassic-avg-0	6	3327392	1.000000	0.000000
triassic-avg-0	9	105546366	0.934579	0.078960
triassic-avg-0	10	45896999	0.925926	0.077102
triassic-avg-0	12	18557343	0.860000	0.056514
triassic-avg-0	15	95526460	0.977778	0.052459
triassic-avg-0	17	50019458	0.814159	0.090124
triassic-avg-0	18	30700270	1.000000	0.000000
triassic-avg-0	21	30832276	1.000000	0.000000
triassic-avg-0	22	6277609	0.990000	0.052801
triassic-avg-0	25	3885399	1.000000	0.000000
triassic-avg-0	28	208467413	1.000000	0.000000
triassic-avg-0	29	101338255	1.000000	0.000000
triassic-avg-0	30	2816313	0.970000	0.081949
triassic-avg-0	33	82408931	0.633028	0.110688
triassic-avg-0	34	79535813	0.937500	0.164362
triassic-avg-0	35	50149995	0.990000	0.052324
triassic-avg-0	38	40414897	1.000000	0.000000
triassic-avg-0	41	50020643	0.888889	0.054068
triassic-avg-0	43	17997759	1.000000	0.000000
triassic-avg-0	45	11823634	1.000000	0.000000
triassic-avg-0	48	186273686	0.456897	0.174079
triassic-avg-0	49	93662171	0.156250	0.190303
triassic-avg-0	52	183899349	0.557692	0.105349
triassic-avg-0	53	156259529	0.096774	0.245706
triassic-avg-0	54	103616242	0.000000	1.050112
triassic-avg-0	55	13977011	1.000000	0.000000
triassic-avg-0	57	2829191	1.000000	0.000000
triassic-avg-0	60	60954264	0.000000	1.131246
triassic-avg-0	61	27299829	1.000000	0.000000
triassic-avg-0	64	57018571	0.343434	0.104354
triassic-avg-0	66	32102102	0.945946	0.052529
triassic-avg-0	69	153378697	0.064935	0.269674
triassic-avg-0	70	30234124	0.872549	0.062717
triassic-avg-0	73	115119921	1.000000	0.000000
triassic-avg-0	74	4137653	1.000000	0.000000
triassic-avg-0	77	48130241	1.000000	0.000000
triassic-avg-0	78	24084806	0.988506	0.052019
triassic-avg-0	80	13095040	0.960000	0.052801
triassic-avg-0	83	35752716	0.980952	0.052342
triassic-avg-0	84	12165009	1.000000	0.000000
triassic-avg-0	86	10039326	0.990196	0.052263
triassic-avg-0	89	30237508	1.000000	0.000000
triassic-avg-0	91	17006790	1.000000	0.000000
triassic-avg-0	93	15175285	1.000000	0.000000
triassic-avg-0	96	158060694	0.663462	0.206977
