# results from simulated data from project "project.tab"
# date: 2024-06-12T14:55:37-03:00
tree	node	age	pixels	farthest
triassic-fast-0	0	235396318	1.000000	0.000000
triassic-fast-0	1	202240711	0.243902	0.218343
triassic-fast-0	2	160068752	0.872549	0.052653
triassic-fast-0	3	40586073	0.980769	0.052180
triassic-fast-0	5	2716806	0.930000	0.168482
triassic-fast-0	8	62325065	1.000000	0.000000
triassic-fast-0	10	60832531	1.000000	0.000000
triassic-fast-0	12	12253733	0.296703	0.142363
triassic-fast-0	15	179449563	0.961165	0.085230
triassic-fast-0	16	96527600	0.233766	0.568423
triassic-fast-0	19	150456583	0.757009	0.107746
triassic-fast-0	21	125686695	0.000000	0.836422
triassic-fast-0	23	110546697	0.750000	0.052511
triassic-fast-0	24	96938932	0.222892	0.086330
triassic-fast-0	25	77358447	0.713043	0.104918
triassic-fast-0	28	66050891	0.922078	0.094370
triassic-fast-0	31	106036108	0.570175	0.104917
triassic-fast-0	32	72405184	0.855769	0.193330
triassic-fast-0	33	51036501	0.978495	0.052501
triassic-fast-0	36	34758912	0.967391	0.052501
triassic-fast-0	37	26422091	0.378378	0.183271
triassic-fast-0	39	24149758	0.940594	0.059327
triassic-fast-0	42	23229143	0.385965	0.152472
triassic-fast-0	44	13687220	0.930000	0.098373
triassic-fast-0	47	96259187	0.447154	0.076753
triassic-fast-0	49	90749872	0.779817	0.052546
triassic-fast-0	50	80326807	0.809091	0.104808
triassic-fast-0	52	66877205	0.834862	0.146409
triassic-fast-0	53	3673717	0.720000	0.122109
triassic-fast-0	56	16999303	1.000000	0.000000
triassic-fast-0	58	4095394	1.000000	0.000000
triassic-fast-0	61	70657905	0.782946	0.193330
triassic-fast-0	62	27330986	0.590000	0.105021
triassic-fast-0	64	25536037	0.300000	0.106216
triassic-fast-0	67	51834762	0.327273	0.120662
triassic-fast-0	68	43512923	1.000000	0.000000
triassic-fast-0	71	25852253	1.000000	0.000000
triassic-fast-0	72	7064487	0.989899	0.052171
triassic-fast-0	75	22129773	0.931818	0.052373
triassic-fast-0	77	3402281	0.990000	0.052459
triassic-fast-0	80	223600307	0.677419	0.156513
triassic-fast-0	81	124381552	0.454545	0.158434
triassic-fast-0	82	87766217	0.000000	0.855361
triassic-fast-0	84	47587182	1.000000	0.000000
triassic-fast-0	87	120443821	0.632812	0.078765
triassic-fast-0	88	11070004	0.920792	0.052417
triassic-fast-0	91	63368825	1.000000	0.000000
triassic-fast-0	93	7228763	0.326733	0.124954
triassic-fast-0	96	167734021	0.800000	0.110335
triassic-fast-0	97	129288702	0.967742	0.052417
triassic-fast-0	98	85111169	0.981651	0.060857
triassic-fast-0	100	56725207	0.654867	0.156948
triassic-fast-0	102	35573790	0.792079	0.104907
triassic-fast-0	104	28539206	0.780000	0.106761
triassic-fast-0	107	94448503	0.747826	0.071353
triassic-fast-0	109	53287442	0.806452	0.090291
triassic-fast-0	110	27763695	0.433962	0.156407
triassic-fast-0	113	33673342	0.990000	0.052288
triassic-fast-0	115	31177747	0.935484	0.052401
triassic-fast-0	117	24975579	0.938776	0.052401
